search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/gala,https://cdn.tasteatlas.com//images/ingredients/c5d2a872328f406789602786e078def2.jpg?mw=660,Apple,Gala,New Zealand
https://www.tasteatlas.com/manuka-honey,https://cdn.tasteatlas.com//images/ingredients/dfc3871d2b7040b98ea526c09bdac160.jpg?mw=660,Honey,MÄnuka Honey,New Zealand
https://www.tasteatlas.com/braeburn,https://cdn.tasteatlas.com//images/ingredients/fa1bb0238b1d4073803fe52d8dffc2df.jpg?mw=660,Apple,Braeburn,New Zealand
https://www.tasteatlas.com/queen-apples,https://cdn.tasteatlas.com//images/ingredients/3dec8d3fe2b54f7d9e92b75ec232e751.jpg?mw=660,Apple,Queen Apples,New Zealand
https://www.tasteatlas.com/tuatua,https://cdn.tasteatlas.com//images/ingredients/df4c85178fbe4755950dfba6d7cb44c1.jpg?mw=660,Clams,Tuatua,New Zealand
https://www.tasteatlas.com/jazz,https://cdn.tasteatlas.com//images/ingredients/7882deada1df4976846ba3c300386858.jpg?mw=660,Apple,Jazz,New Zealand
https://www.tasteatlas.com/mainland-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cheese,Mainland Cheese,New Zealand
https://www.tasteatlas.com/pacific-rose,https://cdn.tasteatlas.com//images/ingredients/888560c88d9d413cab6b34d55eb4f247.jpg?mw=660,Apple,Pacific Rose,New Zealand
https://www.tasteatlas.com/elephant-shark,https://cdn.tasteatlas.com//images/ingredients/57bfa7b0c44249688deed2cf8af36e30.jpg?mw=660,White Fish,Elephant Shark,New Zealand
https://www.tasteatlas.com/airedale,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Airedale,New Zealand
https://www.tasteatlas.com/whitestone-farmhouse-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,Whitestone Farmhouse Cheese,New Zealand
https://www.tasteatlas.com/bluff-oyster,https://cdn.tasteatlas.com//images/ingredients/83870a3d5af74f1c910e18b3e518f471.jpg?mw=660,Oysters,Bluff Oyster,New Zealand
https://www.tasteatlas.com/envy,https://cdn.tasteatlas.com//images/ingredients/00f8ebc9334f49d9a731f49276e1f0ba.jpg?mw=660,Apple,Envy,New Zealand
https://www.tasteatlas.com/green-lipped-mussel,https://cdn.tasteatlas.com//images/ingredients/ceb223ae742a4a63a789535b4d38845a.jpg?mw=660,Mussels,Green-Lipped Mussel,New Zealand
https://www.tasteatlas.com/meyer-vintage-gouda,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,Meyer Vintage Gouda,New Zealand
https://www.tasteatlas.com/mahoe-aged-gouda,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,Mahoe Aged Gouda,New Zealand
https://www.tasteatlas.com/evansdale-farmhouse-brie,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Evansdale Farmhouse Brie,New Zealand
https://www.tasteatlas.com/karengo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Seaweed,Karengo,New Zealand
https://www.tasteatlas.com/dazzle-apples,https://cdn.tasteatlas.com//images/ingredients/23be7475cecc4a5cbd4524a7dec7da4a.jpg?mw=660,Apple,Dazzle Apples,New Zealand
https://www.tasteatlas.com/kidds-orange-red,https://cdn.tasteatlas.com//images/ingredients/9427110289564ad5a78db35dcf54f8fa.jpg?mw=660,Apple,Kidd's Orange Red,New Zealand
https://www.tasteatlas.com/red-dougherty,https://cdn.tasteatlas.com//images/ingredients/24098cba61e1480083a642c8efd235b9.jpg?mw=660,Apple,Red Dougherty,New Zealand
https://www.tasteatlas.com/breeze-apples,https://cdn.tasteatlas.com//images/ingredients/4c680b2b4818479285476093dc103a00.jpg?mw=660,Apple,Breeze Apples,New Zealand
https://www.tasteatlas.com/huti-huti,https://cdn.tasteatlas.com//images/ingredients/7b9918ef91cb47479e6b16739a384e00.jpg?mw=660,Sweet Potato,Huti Huti,New Zealand
https://www.tasteatlas.com/new-zealand-longfin-eel,https://cdn.tasteatlas.com//images/ingredients/65657befcddb44828e89fc78f1d00eee.jpg?mw=660,Eel,New Zealand Longfin Eel,New Zealand
https://www.tasteatlas.com/huhu-beetle,https://cdn.tasteatlas.com//images/ingredients/04045debcee4476791faca75b8017424.jpg?mw=660,Insect,Huhu Beetle,New Zealand
https://www.tasteatlas.com/noke,https://cdn.tasteatlas.com//images/ingredients/ff0a7450a25747aeb5191bc86f2c522a.jpg?mw=660,Worm,Noke,New Zealand
https://www.tasteatlas.com/rekamaroa,https://cdn.tasteatlas.com//images/ingredients/57f4210b84c1476f9e42b48ca7cb4fcd.jpg?mw=660,Sweet Potato,Rekamaroa,New Zealand
https://www.tasteatlas.com/taputini,https://cdn.tasteatlas.com//images/ingredients/c607b42049e446028fb171e6df4e8203.jpg?mw=660,Sweet Potato,Taputini,New Zealand
https://www.tasteatlas.com/telstar,https://cdn.tasteatlas.com//images/ingredients/9bf0a7aee68b446899e1b41aa4bd639d.jpg?mw=660,Apple,Telstar,New Zealand
https://www.tasteatlas.com/sonya-apple,https://cdn.tasteatlas.com//images/ingredients/28b40e73b56d4403805235e7751c6350.jpg?mw=660,Apple,Sonya Apple,New Zealand
https://www.tasteatlas.com/splendour,https://cdn.tasteatlas.com//images/ingredients/c089d63da86b42c9915fc008b2bffd75.jpg?mw=660,Apple,Splendour,New Zealand
