search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/tres-leches-cake,https://cdn.tasteatlas.com//images/dishes/cf06fff9022b46c6bf6e975d7875f7bc.jpg?mw=660,Cake,Tres Leches Cake,Nicaragua
https://www.tasteatlas.com/berenjenas-rellenas,https://cdn.tasteatlas.com//images/dishes/ff5d052b4409413da5563f713771e6b7.jpg?mw=660,Vegetable Dish,Berenjenas rellenas,Nicaragua
https://www.tasteatlas.com/nacatamal,https://cdn.tasteatlas.com//images/dishes/29ac80ccbb11435c90b3f85e3171ce00.jpg?mw=660,Wrap,Nacatamal,Nicaragua
https://www.tasteatlas.com/sopa-de-cola,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Meat Soup,Sopa de cola,Nicaragua
https://www.tasteatlas.com/gallo-pinto-nicaragua,https://cdn.tasteatlas.com//Images/Dishes/139333a2eb264050a43f4a5e44cc0c8e.jpg?mw=660,Side Dish,Gallo pinto,Nicaragua
https://www.tasteatlas.com/vaho,https://cdn.tasteatlas.com//images/dishes/b125361c162e4381839d6a6512dd172c.jpg?mw=660,Beef Dish,Vaho,Nicaragua
https://www.tasteatlas.com/arroz-a-la-plancha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Rice Dish,Arroz a la plancha,Nicaragua
https://www.tasteatlas.com/indio-viejo,https://cdn.tasteatlas.com//images/dishes/9bd00d01db57450e9f6cf8cae62ce5d8.jpg?mw=660,Stew,Indio viejo,Nicaragua
https://www.tasteatlas.com/vigoron,https://cdn.tasteatlas.com//images/dishes/5fdbf48648044942bbb44ce975193d4f.jpg?mw=660,Street Food,VigorÃ³n,Nicaragua
https://www.tasteatlas.com/arroz-con-pescado,https://cdn.tasteatlas.com//images/dishes/45e77b7c7e584a5194f174f310a3e77a.jpg?mw=660,Rice Dish,Arroz con pescado,Nicaragua
https://www.tasteatlas.com/rosquillas-nicaragua,https://cdn.tasteatlas.com//images/dishes/4bbb29f3ccb04b8a991107d57b458e46.jpg?mw=660,Sweet Pastry,Rosquillas,Nicaragua
https://www.tasteatlas.com/pio-quinto,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cake,Pio quinto,Nicaragua
https://www.tasteatlas.com/arroz-aguado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Arroz aguado,Nicaragua
https://www.tasteatlas.com/atolillo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Custard,Atolillo,Nicaragua
https://www.tasteatlas.com/carne-desmenuzada,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meat Dish,Carne desmenuzada,Nicaragua
https://www.tasteatlas.com/maduro-en-gloria,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Casserole,Maduro en gloria,Nicaragua
https://www.tasteatlas.com/cosa-de-horno,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sweet Bread,Cosa de horno,Nicaragua
https://www.tasteatlas.com/guirila,https://cdn.tasteatlas.com//images/dishes/5e0b348cb32b49d9947e13260b917287.jpg?mw=660,Snack,GÅ±irila,Nicaragua
