search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/jollof-rice,https://cdn.tasteatlas.com//images/dishes/41ca6dfc48714647a813a6c1333a9e94.jpg?mw=660,Rice Dish,Jollof Rice,Nigeria
https://www.tasteatlas.com/moin-moin,https://cdn.tasteatlas.com//images/dishes/87f9257608154f22bbdceea7d2f95fc9.jpg?mw=660,Vegetable Dish,Moin moin,Nigeria
https://www.tasteatlas.com/suya,https://cdn.tasteatlas.com//images/dishes/5fa52d69fe99480b8d390bbd255818b5.jpg?mw=660,Street Food,Suya,Nigeria
https://www.tasteatlas.com/eba,https://cdn.tasteatlas.com//Images/Dishes/f59bce2295b94f928c5a2210c9d664c7.jpg?mw=660,Side Dish,Eba,Nigeria
https://www.tasteatlas.com/afang-soup,https://cdn.tasteatlas.com//images/dishes/662c50d9d8ec4760bb12d705f64897d6.jpg?mw=660,Soup,Afang Soup,Nigeria
https://www.tasteatlas.com/banga-soup,https://cdn.tasteatlas.com//images/dishes/2ca9862fc6ad46d299a714c04109903c.jpg?mw=660,Soup,Banga Soup,Nigeria
https://www.tasteatlas.com/ogbono-soup,https://cdn.tasteatlas.com//images/dishes/37c09186ae7b4af381856edc41bf65b4.jpg?mw=660,Vegetable Soup,Ogbono Soup,Nigeria
https://www.tasteatlas.com/efo-riro,https://cdn.tasteatlas.com//images/dishes/fcb3b8f9956d424c95c45557aa7f1a67.jpg?mw=660,Soup,Efo-Riro,Nigeria
https://www.tasteatlas.com/nkwobi,https://cdn.tasteatlas.com//images/dishes/0f62083c7aac4acaba9b894dea8e9486.jpg?mw=660,Meat Dish,Nkwobi,Nigeria
https://www.tasteatlas.com/tuwo-shinkafa,https://cdn.tasteatlas.com//images/dishes/b567d96cdb894af28c335ff26c3fb393.jpg?mw=660,Side Dish,Tuwo shinkafa,Nigeria
https://www.tasteatlas.com/kokoro,https://cdn.tasteatlas.com//images/dishes/c8215c51e4e64b39b018a518f045b1cf.jpg?mw=660,Snack,Kokoro,Nigeria
https://www.tasteatlas.com/chin-chin,https://cdn.tasteatlas.com//images/dishes/ec75aeede60945ce8b55ba9aa9d63472.jpg?mw=660,Snack,Chin Chin,Nigeria
https://www.tasteatlas.com/ekuru,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Vegetarian Dish,Ekuru,Nigeria
https://www.tasteatlas.com/gbegiri-soup,https://cdn.tasteatlas.com//images/dishes/4c20eb692bdd4e1d9b01115b95e0c165.jpg?mw=660,Soup,Gbegiri,Nigeria
https://www.tasteatlas.com/edikaikong,https://cdn.tasteatlas.com//images/dishes/3378caff26be48df9704efd6b9911499.jpg?mw=660,Soup,Edikaikong,Nigeria
https://www.tasteatlas.com/nigerian-fried-rice,https://cdn.tasteatlas.com//images/dishes/5a5d6344f7d842929817f999c8ada42f.jpg?mw=660,Rice Dish,Nigerian Fried Rice,Nigeria
https://www.tasteatlas.com/point--kill,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Seafood Soup,Point & Kill,Nigeria
https://www.tasteatlas.com/ofe-onugbu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Soup,Ofe onugbu,Nigeria
https://www.tasteatlas.com/ewedu-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Vegetable Soup,Ewedu Soup,Nigeria
https://www.tasteatlas.com/miyan-kuka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Soup,Miyan kuka,Nigeria
https://www.tasteatlas.com/gizdodo,https://cdn.tasteatlas.com//images/dishes/f3a4ef8509a34f99b073241ce9b6894f.jpg?mw=660,Offal Dish,Gizdodo,Nigeria
