search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/ajvar,https://cdn.tasteatlas.com//Images/Dishes/10967d0363a14e9791b730051f043630.jpg?mw=660,Relish,Ajvar,North Macedonia
https://www.tasteatlas.com/zelnik,https://cdn.tasteatlas.com//images/dishes/18755490d65247478ad578094cae7213.jpg?mw=660,Savory Pastry,Zelnik,North Macedonia
https://www.tasteatlas.com/tarator-north-macedonia,https://cdn.tasteatlas.com//images/dishes/7cc9413cc3c048dca52f498fea84743c.jpg?mw=660,Cold Soup,Tarator,North Macedonia
https://www.tasteatlas.com/lyutenitsa-north-macedonia,https://cdn.tasteatlas.com//Images/Dishes/347aaa680c4c406c87cbc9a9125947b2.jpg?mw=660,Relish,Lyutenitsa,North Macedonia
https://www.tasteatlas.com/pastrmajlija,https://cdn.tasteatlas.com//images/dishes/a5f462aa82344d359d317019d5ee86cd.jpg?mw=660,Savory Pie,Pastrmajlija,North Macedonia
https://www.tasteatlas.com/sarma-north-macedonia,https://cdn.tasteatlas.com//images/dishes/abbef07b6054405a8b2305db7beca93e.jpg?mw=660,Ground Meat Dish,Sarma,North Macedonia
https://www.tasteatlas.com/gravce-na-tavce,https://cdn.tasteatlas.com//Images/Dishes/399d81fd6bd3421eaac70c30f398ee77.jpg?mw=660,Side Dish,GravÄe na tavÄe,North Macedonia
https://www.tasteatlas.com/chomlek,https://cdn.tasteatlas.com//images/dishes/873cbc92f7e54ac9a89b1205504052e6.jpg?mw=660,Stew,Chomlek,North Macedonia
https://www.tasteatlas.com/pindur,https://cdn.tasteatlas.com//images/dishes/c8a2022ae5cf4cdd95ffc99e5c432449.jpg?mw=660,Relish,PinÄur,North Macedonia
https://www.tasteatlas.com/maznik,https://cdn.tasteatlas.com//images/dishes/05dc038ae3b64d898ee3a2aef54ebc35.jpg?mw=660,Sweet Pastry,Maznik,North Macedonia
https://www.tasteatlas.com/cironka,https://cdn.tasteatlas.com//Images/Dishes/6adefc126c0a4127833f9ebd509e1929.jpg?mw=660,Freshwater Fish Dish,Cironka,North Macedonia
https://www.tasteatlas.com/turli-tava,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,Turli tava,North Macedonia
https://www.tasteatlas.com/selsko-meso,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Selsko meso,North Macedonia
https://www.tasteatlas.com/kukurec,https://cdn.tasteatlas.com//images/dishes/7a438f63df4e4a2988f11bbc4103127f.jpg?mw=660,Offal Dish,Kukurec,North Macedonia
