search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/lutefisk,https://cdn.tasteatlas.com//images/dishes/799c838d149f4158b7be6a6948ec7a2d.jpg?mw=660,Saltwater Fish Dish,Lutefisk,Norway
https://www.tasteatlas.com/lefse,https://cdn.tasteatlas.com//Images/Dishes/0c336f4c10b441a681eed784a2e34dc6.jpg?mw=660,Flatbread,Lefse,Norway
https://www.tasteatlas.com/kjttboller,https://cdn.tasteatlas.com//images/dishes/3b09bf783a8748caac05f061a2ddef85.jpg?mw=660,Meatballs,KjÃ¸ttboller,Norway
https://www.tasteatlas.com/pinnekjtt,https://cdn.tasteatlas.com//images/dishes/5164a16f1e6144c29ad663b683de39a3.jpg?mw=660,Lamb/Mutton Dish,PinnekjÃ¸tt,Norway
https://www.tasteatlas.com/fiskesuppe,https://cdn.tasteatlas.com//images/dishes/5aa7175b69a14d1a9a2d2ed8c960b049.jpg?mw=660,Seafood Soup,Fiskesuppe,Norway
https://www.tasteatlas.com/lapskaus,https://cdn.tasteatlas.com//images/dishes/9b0f72d7a2c646d79174c897e0b865ee.jpg?mw=660,Stew,Lapskaus,Norway
https://www.tasteatlas.com/farikal,https://cdn.tasteatlas.com//Images/Dishes/aa9ac756186f4bbfbf00b9e107007428.jpg?mw=660,Stew,FÃ¥rikÃ¥l,Norway
https://www.tasteatlas.com/sodd,https://cdn.tasteatlas.com//Images/Dishes/6ca19c3c875e44e6a082c8646612c1e2.jpg?mw=660,Meat Soup,Sodd,Norway
https://www.tasteatlas.com/skillingsboller,https://cdn.tasteatlas.com//images/dishes/10e09b1be9cb4603852a8032babbaf66.jpg?mw=660,Sweet Pastry,Skillingsboller,Norway
https://www.tasteatlas.com/lompe,https://cdn.tasteatlas.com//images/dishes/b34e3a83c5e4476e9b87b4f034a56a17.jpg?mw=660,Flatbread,Lompe,Norway
https://www.tasteatlas.com/medisterkaker,https://cdn.tasteatlas.com//images/dishes/d3d0d2f23982445fb43f9d872144b15d.jpg?mw=660,Meatballs,Medisterkaker,Norway
https://www.tasteatlas.com/surkal,https://cdn.tasteatlas.com//Images/Dishes/8130d3839e9b4b1fb7a2e5e6e79b8ecb.jpg?mw=660,Side Dish,Sour Cabbage (SurkÃ¥l),Norway
https://www.tasteatlas.com/kransekake,https://cdn.tasteatlas.com//Images/Dishes/c52a4c7ef328458b96f310002f66989f.jpg?mw=660,Cake,Kransekake,Norway
https://www.tasteatlas.com/fiskeboller,https://cdn.tasteatlas.com//images/dishes/49d96308cd5c463b89d704a1246280cd.jpg?mw=660,Saltwater Fish Dish,Fiskeboller,Norway
https://www.tasteatlas.com/krumkake,https://cdn.tasteatlas.com//images/dishes/a143ecc215f941678b00190a9e104cd1.jpg?mw=660,Wafer,Krumkake,Norway
https://www.tasteatlas.com/bidos,https://cdn.tasteatlas.com//images/dishes/609f8b26fac84d908eb88441c4d4bec7.jpg?mw=660,Stew,Bidos,Norway
https://www.tasteatlas.com/stekt-fisk,https://cdn.tasteatlas.com//images/dishes/522a18d23b9147918ac8d3a99be7f12f.jpg?mw=660,Saltwater Fish Dish,Stekt fisk,Norway
https://www.tasteatlas.com/rommegrot,https://cdn.tasteatlas.com//images/dishes/6f347cbf443149879a815ebfcb50432c.jpg?mw=660,Porridge,RÃ¸mmegrÃ¸t,Norway
https://www.tasteatlas.com/gomme,https://cdn.tasteatlas.com//images/dishes/d50d590f277a4daca37783f53941b503.jpg?mw=660,Spread,Gomme,Norway
https://www.tasteatlas.com/agurksalat,https://cdn.tasteatlas.com//images/dishes/88cb9d6850214ed1ad9de1f44f62119f.jpg?mw=660,Salad,Agurksalat,Norway
https://www.tasteatlas.com/morrpolse,https://cdn.tasteatlas.com//images/dishes/0588a2b9c7b047299d34102e533fba04.jpg?mw=660,Sausage,MorrpÃ¸lse,Norway
https://www.tasteatlas.com/riskrem,https://cdn.tasteatlas.com//Images/Dishes/2c62e7255fbf4c89977e646a0f309a16.jpg?mw=660,Pudding,Riskrem,Norway
https://www.tasteatlas.com/smultring,https://cdn.tasteatlas.com//images/dishes/152cb7e579df4ec697388ffe2e8fdb64.jpg?mw=660,Sweet Pastry,Smultring,Norway
https://www.tasteatlas.com/kvaefjordkake,https://cdn.tasteatlas.com//images/dishes/cd164021f9684edba74144575b7b289a.jpg?mw=660,Cake,KvÃ¦fjordkake,Norway
https://www.tasteatlas.com/flatbrod,https://cdn.tasteatlas.com//images/dishes/db21882b6e2d461e826bbba47504e0f9.jpg?mw=660,Flatbread,FlatbrÃ¸d,Norway
https://www.tasteatlas.com/julekake,https://cdn.tasteatlas.com//images/dishes/c79b082fe09f4e589683740de3589d9c.jpg?mw=660,Sweet Bread,Julekake,Norway
https://www.tasteatlas.com/blomkalsuppe,https://cdn.tasteatlas.com//images/dishes/121227781532428f908dba851c63552e.jpg?mw=660,Soup,BlomkÃ¥lsuppe,Norway
https://www.tasteatlas.com/smalahove,https://cdn.tasteatlas.com//images/dishes/52a594fa81e14f048391d30b851925c4.jpg?mw=660,Offal Dish,Smalahove,Norway
https://www.tasteatlas.com/havrekjeks,https://cdn.tasteatlas.com//images/dishes/2a122a466c3d45b7be075034735c1740.jpg?mw=660,Cookie,Oatcakes (Havrekjeks),Norway
https://www.tasteatlas.com/skolebrod,https://cdn.tasteatlas.com//images/dishes/23fa76fef884456a9fc4421ecdd85aeb.jpg?mw=660,Sweet Pastry,SkolebrÃ¸d,Norway
https://www.tasteatlas.com/sandkaker,https://cdn.tasteatlas.com//images/dishes/2cdb8c44e95f44449ef57ec801dfb660.jpg?mw=660,Cookie,Sand Cookies (Sandkaker),Norway
