search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/harees-oman,https://cdn.tasteatlas.com//images/dishes/03df132180744560921a1b481675e559.jpg?mw=660,Porridge,Harees,Oman
https://www.tasteatlas.com/majboos-oman,https://cdn.tasteatlas.com//Images/Dishes/f37a541a7983423f8d532caaac154e8d.jpg?mw=660,Rice Dish,Majboos,Oman
https://www.tasteatlas.com/shuwa,https://cdn.tasteatlas.com//images/dishes/1be2371a05804f55b5a4b31134289d3a.jpg?mw=660,Meat Dish,Shuwa,Oman
https://www.tasteatlas.com/omani-halwa,https://cdn.tasteatlas.com//images/dishes/8f99d3bcd5aa4378accc2fce0eded665.jpg?mw=660,Dessert,Omani halwa,Oman
https://www.tasteatlas.com/mishkak,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Meat Dish,Mishkak,Oman
https://www.tasteatlas.com/mashuai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Saltwater Fish Dish,Mashuai,Oman
https://www.tasteatlas.com/chicken-kabouli,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Chicken kabouli,Oman
https://www.tasteatlas.com/omani-chicken-biryani,https://cdn.tasteatlas.com//images/dishes/656fe00e60d349249a9c4ee1ad9edff8.jpg?mw=660,Rice Dish,Omani Chicken Biryani,Oman
https://www.tasteatlas.com/madrouba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Porridge,Madrouba,Oman
https://www.tasteatlas.com/halawet-ahmad,https://cdn.tasteatlas.com//images/dishes/3d388f884c754ec19f46379f7ae5a29f.jpg?mw=660,Dessert,Halawet Ahmad,Oman
https://www.tasteatlas.com/khabeesa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Porridge,Khabeesa,Oman
