search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/chicken-karahi,https://cdn.tasteatlas.com//images/dishes/a309540727254c1fabf2f07fbbd9d2c0.jpg?mw=660,Chicken Dish,Chicken karahi,Pakistan
https://www.tasteatlas.com/chapli-kabab,https://cdn.tasteatlas.com//Images/Dishes/33553f2887164056bbbe7f7147c32f57.jpg?mw=660,Ground Meat Dish,Chapli kabab,Pakistan
https://www.tasteatlas.com/samosa-pakistan,https://cdn.tasteatlas.com//Images/Dishes/e668e32ae1a3423c95fbd4d77f8c940c.jpg?mw=660,Snack,Samosa,Pakistan
https://www.tasteatlas.com/chaat-pakistan,https://cdn.tasteatlas.com//Images/Dishes/84327074df8e4c5fabeaeca6fa3ab659.jpg?mw=660,Street Food,Chaat,Pakistan
https://www.tasteatlas.com/seekh-kabab,https://cdn.tasteatlas.com//images/dishes/0e831623c2c94cad86d7df9c217433eb.jpg?mw=660,Lamb/Mutton Dish,Seekh kabab,Pakistan
https://www.tasteatlas.com/nihari-pakistan,https://cdn.tasteatlas.com//Images/Dishes/a5973d1624d642ceb63539fb0d501a5c.jpg?mw=660,Stew,Nihari,Pakistan
https://www.tasteatlas.com/paratha-pakistan,https://cdn.tasteatlas.com//Images/Dishes/7053f1036e63478db68ce8ba7583b39e.jpg?mw=660,Flatbread,Paratha,Pakistan
https://www.tasteatlas.com/zarda,https://cdn.tasteatlas.com//Images/Dishes/2d6acb7678de444498923f270671f6aa.jpg?mw=660,Dessert,Zarda,Pakistan
https://www.tasteatlas.com/sajji,https://cdn.tasteatlas.com//images/dishes/1dee6ae7907a4a86b12219a0d02d29b2.jpg?mw=660,Meat Dish,Sajji,Pakistan
https://www.tasteatlas.com/halwa-poori,https://cdn.tasteatlas.com//images/dishes/a115b8b6115f4ea580599eb24a369408.jpg?mw=660,Breakfast,Halwa poori,Pakistan
https://www.tasteatlas.com/haleem-pakistan,https://cdn.tasteatlas.com//images/dishes/03df132180744560921a1b481675e559.jpg?mw=660,Porridge,Haleem,Pakistan
https://www.tasteatlas.com/kata-kat,https://cdn.tasteatlas.com//images/dishes/784c6b64af734d5695a9ab15f6904a80.jpg?mw=660,Offal Dish,Kata-kat,Pakistan
https://www.tasteatlas.com/sindhi-biryani,https://cdn.tasteatlas.com//images/dishes/ec3e303b55f94bc8961f568a2de64dec.jpg?mw=660,Rice Dish,Sindhi biryani,Pakistan
https://www.tasteatlas.com/bhalla,https://cdn.tasteatlas.com//images/dishes/471008a0c3884ec086007b4488a37027.jpg?mw=660,Snack,Bhalla,Pakistan
https://www.tasteatlas.com/aloo-gosht,https://cdn.tasteatlas.com//images/dishes/683a1be139184665a38c7928dd276a48.jpg?mw=660,Stew,Aloo gosht,Pakistan
https://www.tasteatlas.com/sohan-halwa,https://cdn.tasteatlas.com//images/dishes/ca331e9753774e339bdcf48178733eca.jpg?mw=660,Dessert,Sohan halwa,Pakistan
https://www.tasteatlas.com/daal-chawal,https://cdn.tasteatlas.com//Images/Dishes/43f61ad02971442ba119a646818e72cc.jpg?mw=660,Vegetable Dish,Daal chawal,Pakistan
https://www.tasteatlas.com/sohbat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Sohbat,Pakistan
https://www.tasteatlas.com/peshwari-naan,https://cdn.tasteatlas.com//images/dishes/ba6f72e830f1471da7acacbd13708e2c.jpg?mw=660,Flatbread,Peshwari naan,Pakistan
https://www.tasteatlas.com/shahi-tukray,https://cdn.tasteatlas.com//images/dishes/8c5af44760e545b4aff04492032f7468.jpg?mw=660,Dessert,Shahi tukray,Pakistan
https://www.tasteatlas.com/sindhi-kadhi,https://cdn.tasteatlas.com//images/dishes/512c90d1726545c2a6887a3475d01dcf.jpg?mw=660,Stew,Sindhi kadhi,Pakistan
https://www.tasteatlas.com/chargah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Fried Chicken Dish,Chargah,Pakistan
