search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/falafel-palestine,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,Street Food,Falafel,Palestine State
https://www.tasteatlas.com/mujaddara-palestine,https://cdn.tasteatlas.com//images/dishes/a7adabed9df5481f98e3ce157202db03.jpg?mw=660,Rice Dish,Mujaddara,Palestine State
https://www.tasteatlas.com/hummus-palestine,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,Dip,Hummus,Palestine State
https://www.tasteatlas.com/maqluba,https://cdn.tasteatlas.com//images/dishes/37c2673a6c914365946f2402e74ee0e0.jpg?mw=660,Rice Dish,Maqluba,Palestine State
https://www.tasteatlas.com/qidreh,https://cdn.tasteatlas.com//images/dishes/b1b7e76a9b6d4917a3fd9080badc171c.jpg?mw=660,Rice Dish,Qidreh,Palestine State
https://www.tasteatlas.com/musakhan,https://cdn.tasteatlas.com//Images/Dishes/827505ab9a2f4aa281a047c43b55eee2.jpg?mw=660,Chicken Dish,Musakhan,Palestine State
https://www.tasteatlas.com/kunafah-palestine,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,Sweet Pastry,KunÄfah,Palestine State
https://www.tasteatlas.com/labneh-palestine,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,Dip,Labneh,Palestine State
https://www.tasteatlas.com/makdous-palestine,https://cdn.tasteatlas.com//images/dishes/253935c6ffbd48929430ec74e32ba4d8.jpg?mw=660,Vegetable Dish,Makdous,Palestine State
https://www.tasteatlas.com/shakshouka-palestine,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Palestine State
https://www.tasteatlas.com/mutabal-palestine,https://cdn.tasteatlas.com//images/dishes/16b7c00d2edd4d4da9657cc19e4e9d9a.jpg?mw=660,Dip,Mutabal,Palestine State
https://www.tasteatlas.com/shishbarak-palestine,https://cdn.tasteatlas.com//images/dishes/ec8bf3ab1f194d3586ed96a020e28f65.jpg?mw=660,Dumplings,Shishbarak,Palestine State
https://www.tasteatlas.com/rain-rice,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Rice Dish,Rain Rice,Palestine State
https://www.tasteatlas.com/qizha,https://cdn.tasteatlas.com//images/dishes/2dbe8a942ba14aa99c8ac8342d3f5cb6.jpg?mw=660,Spread,Qizha,Palestine State
https://www.tasteatlas.com/arayes-palestine,https://cdn.tasteatlas.com//images/dishes/9806c3353b5d4e65a3b86f6c4c7e6195.jpg?mw=660,Snack,Arayes,Palestine State
https://www.tasteatlas.com/rummaneyye,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Vegetable Dish,Rummaneyye,Palestine State
https://www.tasteatlas.com/sumaghiyyeh,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dip,Sumaghiyyeh,Palestine State
https://www.tasteatlas.com/galayet-bandora-palestine,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Plant-based/Vegan Dish,Galayet bandora,Palestine State
https://www.tasteatlas.com/shulbato,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Side Dish,Shulbato,Palestine State
https://www.tasteatlas.com/khobeizeh-dish,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Vegetable Dish,Khobeizeh,Palestine State
https://www.tasteatlas.com/mahshi-lift,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Mahshi lift,Palestine State
