search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/hojaldres,https://cdn.tasteatlas.com//images/dishes/412653c6c128426eb1c8a7593696c08e.jpg?mw=660,Bread,Hojaldres,Panama
https://www.tasteatlas.com/yuca-al-moho,https://cdn.tasteatlas.com//images/dishes/4e4904fd317e4a12bd16fb6218e9a921.jpg?mw=660,Side Dish,Yuca al mojo,Panama
https://www.tasteatlas.com/tamal-de-olla,https://cdn.tasteatlas.com//images/dishes/050d9d97e75f49c5bd67da4cdff80a59.jpg?mw=660,Casserole,Tamal de olla,Panama
https://www.tasteatlas.com/bistec-picado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Beef Dish,Bistec picado,Panama
https://www.tasteatlas.com/bocado-de-la-reina,https://cdn.tasteatlas.com//images/dishes/3b9b9f5a73ec47f39d8a9ba898fa11da.jpg?mw=660,Cake,Bocado de la reina,Panama
https://www.tasteatlas.com/huevitos-de-leche,https://cdn.tasteatlas.com//images/dishes/79526983a9524e26b566397036181638.jpg?mw=660,Dessert,Huevitos de leche,Panama
https://www.tasteatlas.com/carimanola-panama,https://cdn.tasteatlas.com//images/dishes/6355db0d6cee44b0a101102a637da8fb.jpg?mw=660,Snack,CarimaÃ±ola,Panama
https://www.tasteatlas.com/platanos-en-tentacion,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Side Dish,PlÃ¡tanos en tentacion,Panama
https://www.tasteatlas.com/sopa-borracha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Sopa borracha,Panama
https://www.tasteatlas.com/mamallena-panama,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pudding,Mamallena,Panama
https://www.tasteatlas.com/torrejitas-de-maiz,https://cdn.tasteatlas.com//images/dishes/bbd4a57707e243e5aa3c95918da5f985.jpg?mw=660,Side Dish,Torrejitas de maiz,Panama
https://www.tasteatlas.com/tamal-panameno,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Street Food,Tamal PanameÃ±o,Panama
https://www.tasteatlas.com/carne-entomatada,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Ground Meat Dish,Carne entomatada,Panama
https://www.tasteatlas.com/tortilla-changa,https://cdn.tasteatlas.com//images/dishes/3ddf748e04f74c2ea9df86517dd07422.jpg?mw=660,Flatbread,Tortilla changa,Panama
