search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kiveve,https://cdn.tasteatlas.com//Images/Dishes/341c75af674242e2980ec94c761c89d3.jpg?mw=660,Vegetable Dish,KivevÃ©,Paraguay
https://www.tasteatlas.com/chipa,https://cdn.tasteatlas.com//images/dishes/b1bae9e66eea4780a3e47b750ae93ac5.jpg?mw=660,Bread,Chipa,Paraguay
https://www.tasteatlas.com/sopa-paraguaya,https://cdn.tasteatlas.com//Images/Dishes/86e67e24855b48598ca63806e6a2cca7.jpg?mw=660,Bread,Sopa Paraguaya,Paraguay
https://www.tasteatlas.com/chipa-guasu,https://cdn.tasteatlas.com//Images/Dishes/94fd1cb9abcf4fee897e2ba76ba0fa7a.jpg?mw=660,Side Dish,Chipa guasu,Paraguay
https://www.tasteatlas.com/bori-bori,https://cdn.tasteatlas.com//images/dishes/d6b4a58231d04581a40e1eb2bc8875cf.jpg?mw=660,Soup,Bori-bori,Paraguay
https://www.tasteatlas.com/mbeju,https://cdn.tasteatlas.com//images/dishes/6434b4abb6b540cbbbcd7e8bbf7805ee.jpg?mw=660,Pancake,Mbeju,Paraguay
https://www.tasteatlas.com/soyo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Soup,Soyo,Paraguay
https://www.tasteatlas.com/dulce-de-mamon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Dulce de mamÃ³n,Paraguay
https://www.tasteatlas.com/bife-koygua,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Bife koygua,Paraguay
https://www.tasteatlas.com/guiso-popo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Guiso popÃ³,Paraguay
https://www.tasteatlas.com/pira-caldo,https://cdn.tasteatlas.com//images/dishes/968d7d24ed484de2a0367eee53d3efe2.jpg?mw=660,Soup,Pira caldo,Paraguay
https://www.tasteatlas.com/pastel-mandio,https://cdn.tasteatlas.com//images/dishes/98f12e6ce0f344629fe95f94431502bb.jpg?mw=660,Snack,Pastel mandi'o,Paraguay
https://www.tasteatlas.com/lampreado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Lampreado,Paraguay
https://www.tasteatlas.com/kamby-arro,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Kamby arro,Paraguay
https://www.tasteatlas.com/chipa-soo,https://cdn.tasteatlas.com//images/dishes/829894cbcf974d3aa91928a0ffb1148b.jpg?mw=660,Savory Pastry,Chipa so'o,Paraguay
