search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/ceviche,https://cdn.tasteatlas.com//Images/Dishes/385f61bf908247b5ac663e6dc3beb95b.jpg?mw=660,Seafood,Ceviche,Peru
https://www.tasteatlas.com/lomo-saltado,https://cdn.tasteatlas.com//Images/Dishes/9bdbd996c9354b65b855a9d0f6f0fdfa.jpg?mw=660,Beef Dish,Lomo saltado,Peru
https://www.tasteatlas.com/pollo-a-la-brasa,https://cdn.tasteatlas.com//Images/Dishes/f785d68dec86440f84fe510a351b5830.jpg?mw=660,Chicken Dish,Pollo a la brasa,Peru
https://www.tasteatlas.com/ceviche-mixto,https://cdn.tasteatlas.com//images/dishes/f37e6e511b8f4ecd9db7fb9d73330211.jpg?mw=660,Seafood,Ceviche mixto,Peru
https://www.tasteatlas.com/butifarra,https://cdn.tasteatlas.com//images/dishes/250e61f71d70418b999fda0a8f6fb565.jpg?mw=660,Sandwich,Butifarra,Peru
https://www.tasteatlas.com/jalea,https://cdn.tasteatlas.com//Images/Dishes/96447662a52745afb0eca6b528e5529a.jpg?mw=660,Seafood,Jalea,Peru
https://www.tasteatlas.com/arroz-chaufa,https://cdn.tasteatlas.com//images/dishes/a6a2596c26dc476596e4aa787c88eb66.jpg?mw=660,Rice Dish,Arroz chaufa,Peru
https://www.tasteatlas.com/anticucho,https://cdn.tasteatlas.com//Images/Dishes/92c74a79c13f491ab5832012aa64ffba.jpg?mw=660,Meat Dish,Anticucho,Peru
https://www.tasteatlas.com/tiradito,https://cdn.tasteatlas.com//images/dishes/a430dcfb813f4401974969f714150959.jpg?mw=660,Fish Dish,Tiradito,Peru
https://www.tasteatlas.com/arroz-con-camarones,https://cdn.tasteatlas.com//images/dishes/fb649b2c70774de2bc7f7e1a6379ef3b.jpg?mw=660,Rice Dish,Arroz con camarones,Peru
https://www.tasteatlas.com/aji-de-gallina,https://cdn.tasteatlas.com//images/dishes/b4748c90658d4d749553075bc0ff18ef.jpg?mw=660,Chicken Dish,Aji de gallina,Peru
https://www.tasteatlas.com/leche-de-tigre,https://cdn.tasteatlas.com//images/dishes/6f8d38a6018c484e994d0bdc17de0d91.jpg?mw=660,Appetizer,Leche de tigre,Peru
https://www.tasteatlas.com/salchipapas,https://cdn.tasteatlas.com//images/dishes/81b433ea05e043c4a9b8b97f535d6ea8.jpg?mw=660,Street Food,Salchipapas,Peru
https://www.tasteatlas.com/juane,https://cdn.tasteatlas.com//Images/Dishes/2059bb119bc441d7bff9edddce9d3809.jpg?mw=660,Rice Dish,Juane,Peru
https://www.tasteatlas.com/papa-rellena,https://cdn.tasteatlas.com//Images/Dishes/90ae5e16931c4b338718a05b74af61c4.jpg?mw=660,Snack,Papa rellena,Peru
https://www.tasteatlas.com/chupe-de-camarones,https://cdn.tasteatlas.com//images/dishes/3e4e2afbc2a643d4817fb7b48070dbd0.jpg?mw=660,Stew,Chupe de camarones,Peru
https://www.tasteatlas.com/tacu-tacu,https://cdn.tasteatlas.com//images/dishes/1cf937dffa3b4bb0af65420143b1c5f8.jpg?mw=660,Rice Dish,Tacu-tacu,Peru
https://www.tasteatlas.com/picarones,https://cdn.tasteatlas.com//images/dishes/100277e6dc4d4cc19457542e833900d2.jpg?mw=660,Sweet Pastry,Picarones,Peru
https://www.tasteatlas.com/pachamanca,https://cdn.tasteatlas.com//images/dishes/cfa03340043a49e7a38e4f502661da75.jpg?mw=660,Lamb/Mutton Dish,Pachamanca,Peru
https://www.tasteatlas.com/ceviche-de-pulpo,https://cdn.tasteatlas.com//images/dishes/267b4cca3d684556b9739a9c5b5d5b10.jpg?mw=660,Octopus Dish,Ceviche de pulpo,Peru
https://www.tasteatlas.com/chifle,https://cdn.tasteatlas.com//images/dishes/3bf008de2eba4eab8353c595477161cd.jpg?mw=660,Snack,Chifle,Peru
https://www.tasteatlas.com/parihuela,https://cdn.tasteatlas.com//Images/Dishes/6a94844fc7ac4164b105eb0a7a5f4be3.jpg?mw=660,Seafood Soup,Parihuela,Peru
