search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pancit,https://cdn.tasteatlas.com//images/dishes/13c1e096414d4f2cbd996ce3e67e8e7e.jpg?mw=660,Noodle Dish,Pancit,Philippines
https://www.tasteatlas.com/lechon,https://cdn.tasteatlas.com//Images/Dishes/5eb9df1828d84079a850ebe462e28121.jpg?mw=660,Pork Dish,Lechon,Philippines
https://www.tasteatlas.com/sisig,https://cdn.tasteatlas.com//Images/Dishes/b245747cb2fd4480bf218f30caba53b5.jpg?mw=660,Pork Dish,Sisig,Philippines
https://www.tasteatlas.com/adobo,https://cdn.tasteatlas.com//images/dishes/d5341266285b41e3bc49f9b18795adf9.jpg?mw=660,Stew,Adobo,Philippines
https://www.tasteatlas.com/lumpia,https://cdn.tasteatlas.com//Images/Dishes/af229c4fe92b40268cee8710cdf6a50e.jpg?mw=660,Snack,Lumpia,Philippines
https://www.tasteatlas.com/kare-kare,https://cdn.tasteatlas.com//Images/Dishes/ebdf34b526f041288e07757db384073d.jpg?mw=660,Stew,Kare-kare,Philippines
https://www.tasteatlas.com/kaldereta,https://cdn.tasteatlas.com//Images/Dishes/de9021814faf4eea9c38f62d19e09c8a.jpg?mw=660,Stew,Kaldereta,Philippines
https://www.tasteatlas.com/sinigang,https://cdn.tasteatlas.com//images/dishes/e98d832284c14b9d8308b88d7438be71.jpg?mw=660,Vegetable Soup,Sinigang,Philippines
https://www.tasteatlas.com/crispy-pata,https://cdn.tasteatlas.com//Images/Dishes/80751d6a223a4a26bbbaaf0f44864c45.jpg?mw=660,Pork Dish,Crispy Pata,Philippines
https://www.tasteatlas.com/torta,https://cdn.tasteatlas.com//Images/Dishes/737def54c31548178020234326cf5b44.jpg?mw=660,Egg Dish,Torta,Philippines
https://www.tasteatlas.com/leche-flan,https://cdn.tasteatlas.com//Images/Dishes/f811557b0f4942269a4719f3df635d7f.jpg?mw=660,Custard,Leche Flan,Philippines
