search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pierogi,https://cdn.tasteatlas.com//Images/Dishes/11be2ebc03d342df8ede1510e1057ecc.jpg?mw=660,Dumplings,Pierogi,Poland
https://www.tasteatlas.com/kielbasa,https://cdn.tasteatlas.com//Images/Dishes/12f29a4c985a42ba976fa02977b5699d.jpg?mw=660,Sausage,Kielbasa,Poland
https://www.tasteatlas.com/golabki,https://cdn.tasteatlas.com//Images/Dishes/79d86488ac36487e949b294921baf72d.jpg?mw=660,Ground Meat Dish,GoÅÄbki,Poland
https://www.tasteatlas.com/sernik,https://cdn.tasteatlas.com//Images/Dishes/63c5320b6ff94d81abfccc78f70d2dd5.jpg?mw=660,Cheese Dessert,Sernik,Poland
https://www.tasteatlas.com/gulasz,https://cdn.tasteatlas.com//images/dishes/b308b38e721443a996025b5b82bc399d.jpg?mw=660,Stew,Gulasz,Poland
https://www.tasteatlas.com/babka,https://cdn.tasteatlas.com//Images/Dishes/338035413a404f60873819e4c5b44865.jpg?mw=660,Sweet Bread,Babka,Poland
https://www.tasteatlas.com/rosol,https://cdn.tasteatlas.com//Images/Dishes/1600020ab468401d9a24db1d447ce0d0.jpg?mw=660,Meat Soup,RosÃ³Å,Poland
https://www.tasteatlas.com/kopytka,https://cdn.tasteatlas.com//Images/Dishes/e183f1b380a640cea91755d4b76574b4.jpg?mw=660,Dumplings,Kopytka,Poland
https://www.tasteatlas.com/surowka,https://cdn.tasteatlas.com//Images/Dishes/8a6dd2297b2545aca43e570fcea5842b.jpg?mw=660,Salad,SurÃ³wka,Poland
https://www.tasteatlas.com/zapiekanka,https://cdn.tasteatlas.com//Images/Dishes/e3cc79610b4743499ffafc5a486fe94b.jpg?mw=660,Snack,Zapiekanka,Poland
https://www.tasteatlas.com/zurek,https://cdn.tasteatlas.com//Images/Dishes/dc65330f62944b5aa45b514f9db24f4f.jpg?mw=660,Soup,Å»urek,Poland
https://www.tasteatlas.com/kapusniak,https://cdn.tasteatlas.com//Images/Dishes/1b395796b26d4eb9befca463f9fbb89e.jpg?mw=660,Vegetable Soup,KapuÅniak,Poland
https://www.tasteatlas.com/golonka,https://cdn.tasteatlas.com//Images/Dishes/7e1a62fc3b3c4b9ebf94ad006f4bf9d7.jpg?mw=660,Pork Dish,Golonka,Poland
https://www.tasteatlas.com/flaki,https://cdn.tasteatlas.com//Images/Dishes/924a08797cbc41fb8b8c4840bd832e7e.jpg?mw=660,Offal Soup,Flaki,Poland
https://www.tasteatlas.com/bigos,https://cdn.tasteatlas.com//Images/Dishes/fa1972d3cac4488c9ec72a5b58f62fab.jpg?mw=660,Stew,Bigos,Poland
https://www.tasteatlas.com/klopsiki,https://cdn.tasteatlas.com//images/dishes/f65e2f19fcf949f1b4bd03bad9b64d6f.jpg?mw=660,Meatballs,Klopsiki,Poland
https://www.tasteatlas.com/zupa-pomidorowa,https://cdn.tasteatlas.com//Images/Dishes/9c79ba9a2b6c4f7d94e83a6932461783.jpg?mw=660,Vegetable Soup,Zupa pomidorowa,Poland
https://www.tasteatlas.com/zupa-grzybowa,https://cdn.tasteatlas.com//Images/Dishes/1424470bdd004caca8688e92a09f3f20.jpg?mw=660,Mushroom Soup,Zupa grzybowa,Poland
https://www.tasteatlas.com/placki-ziemniaczane,https://cdn.tasteatlas.com//Images/Dishes/d31bd5094927424d9a25b37da3d81da5.jpg?mw=660,Pancake,Placki ziemniaczane,Poland
https://www.tasteatlas.com/piernik,https://cdn.tasteatlas.com//Images/Dishes/7fd0fba7de664f9e88dd9b66cd7e510b.jpg?mw=660,Cake,Piernik,Poland
https://www.tasteatlas.com/pasztet,https://cdn.tasteatlas.com//Images/Dishes/f6d19d8b72f8428aa44773eef31d9f86.jpg?mw=660,PÃ¢tÃ©,Pasztet,Poland
https://www.tasteatlas.com/mizeria,https://cdn.tasteatlas.com//Images/Dishes/2609f2338b8e49fabb5710d611ef04e6.jpg?mw=660,Salad,Mizeria,Poland
https://www.tasteatlas.com/makowiec,https://cdn.tasteatlas.com//images/dishes/3417b26bde8040c7990f2a20474ec16a.jpg?mw=660,Sweet Bread,Makowiec,Poland
https://www.tasteatlas.com/pyzy,https://cdn.tasteatlas.com//images/dishes/e28dbfd690254f4db94342f6c41f6d20.jpg?mw=660,Dumplings,Pyzy,Poland
https://www.tasteatlas.com/chodnik,https://cdn.tasteatlas.com//Images/Dishes/964f8e85bea34a2abf75fe55d3f45862.jpg?mw=660,Vegetable Soup,ChÅodnik litewski,Poland
https://www.tasteatlas.com/kluski-slaskie,https://cdn.tasteatlas.com//Images/Dishes/16c474959e64491aafde5feb67f5dd75.jpg?mw=660,Dumplings,Kluski ÅlÄskie,Poland
https://www.tasteatlas.com/pierogi-ruskie,https://cdn.tasteatlas.com//images/dishes/445a4a6744384c4d8c6a59c20710b614.jpg?mw=660,Dumplings,Pierogi Ruskie,Poland
https://www.tasteatlas.com/mazurek,https://cdn.tasteatlas.com//Images/Dishes/0b52aea7c2e8475fbf592515080018b8.jpg?mw=660,Cake,Mazurek,Poland
https://www.tasteatlas.com/zupa-ogorkowa,https://cdn.tasteatlas.com//Images/Dishes/8eaa8958fa6f40cea8f819f7ed895c57.jpg?mw=660,Vegetable Soup,Zupa ogÃ³rkowa,Poland
https://www.tasteatlas.com/grochowka,https://cdn.tasteatlas.com//Images/Dishes/94ce91f2b775480db278365b48ebc5aa.jpg?mw=660,Vegetable Soup,GrochÃ³wka,Poland
https://www.tasteatlas.com/zrazy,https://cdn.tasteatlas.com//Images/Dishes/e811a211895549ef918fcdded4091cea.jpg?mw=660,Meat Dish,Zrazy,Poland
https://www.tasteatlas.com/kotlet-schabowy,https://cdn.tasteatlas.com//Images/Dishes/8d0072c22f2a4cd991d4d6c3319ceb64.jpg?mw=660,Pork Dish,Kotlet schabowy,Poland
https://www.tasteatlas.com/wiejska,https://cdn.tasteatlas.com//Images/Dishes/65bb4d2fe285457fa7b24c6464aeb2ee.jpg?mw=660,Sausage,Wiejska,Poland
https://www.tasteatlas.com/kotlet-mielony,https://cdn.tasteatlas.com//Images/Dishes/3fe8148797f841d7a06efa619c0cc1ab.jpg?mw=660,Pork Dish,Kotlet mielony,Poland
https://www.tasteatlas.com/kaszanka,https://cdn.tasteatlas.com//images/dishes/1b5df68e501c4e2eb900cb8c0be7a8ba.jpg?mw=660,Blood Sausage,Kaszanka,Poland
https://www.tasteatlas.com/sledzie,https://cdn.tasteatlas.com//Images/Dishes/0b34458f7925499b9f88df1032120a2a.jpg?mw=660,Appetizer,Åledzie,Poland
https://www.tasteatlas.com/racuchy,https://cdn.tasteatlas.com//Images/Dishes/c3c81c55264f4364b323a78ef38a0f1a.jpg?mw=660,Pancake,Racuchy,Poland
https://www.tasteatlas.com/paszteciki,https://cdn.tasteatlas.com//Images/Dishes/6de07fd3c23b48958c24f6e77c9f4a68.jpg?mw=660,Savory Pastry,Paszteciki,Poland
https://www.tasteatlas.com/kremowka,https://cdn.tasteatlas.com//images/dishes/57b18bc1ab7d4980a645a81b9c65cf49.jpg?mw=660,Cake,KremÃ³wka,Poland
https://www.tasteatlas.com/paczki,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,Sweet Pastry,PÄczki,Poland
https://www.tasteatlas.com/rurki,https://cdn.tasteatlas.com//images/dishes/23f9282fa8f34b1bb99dc19ab3214d95.jpg?mw=660,Sweet Pastry,Rurki,Poland
https://www.tasteatlas.com/faworki,https://cdn.tasteatlas.com//Images/Dishes/bbb33f5f5b5740ac95ed9a5e0dc2a491.jpg?mw=660,Sweet Pastry,Faworki,Poland
https://www.tasteatlas.com/karpatka,https://cdn.tasteatlas.com//images/dishes/25b1f51376be4cc9b93f8b4384f4be3c.jpg?mw=660,Cake,Karpatka,Poland
https://www.tasteatlas.com/zupa-jarzynowa,https://cdn.tasteatlas.com//Images/Dishes/a2f13814b82d418680187b64e9d608b9.jpg?mw=660,Vegetable Soup,Zupa jarzynowa,Poland
https://www.tasteatlas.com/kogel-mogel,https://cdn.tasteatlas.com//Images/Dishes/2a808178c5fd4d66ab3c8e209f5fccd1.jpg?mw=660,Dessert,Kogel mogel,Poland
https://www.tasteatlas.com/kapusta-zasmazana,https://cdn.tasteatlas.com//images/dishes/02bc3209efc94b4180aa9c16ad766b22.jpg?mw=660,Vegetable Dish,Kapusta zasmaÅ¼ana,Poland
https://www.tasteatlas.com/cwika,https://cdn.tasteatlas.com//Images/Dishes/40c5dd40f7e640999b3ec6e914faeaf6.jpg?mw=660,Side Dish,ÄwikÅa,Poland
https://www.tasteatlas.com/gzik,https://cdn.tasteatlas.com//Images/Dishes/0c7c211e88e6469d9c30db02cd34603b.jpg?mw=660,Dip,Gzik,Poland
https://www.tasteatlas.com/kwasnica,https://cdn.tasteatlas.com//images/dishes/e5db1770c3a6467e80a09b066f549a44.jpg?mw=660,Vegetable Soup,KwaÅnica,Poland
https://www.tasteatlas.com/roso-z-kury,https://cdn.tasteatlas.com//Images/Dishes/5dfe017ff21a42a7a2df63e96f748bd9.jpg?mw=660,Chicken Soup,RosÃ³Å z kury,Poland
https://www.tasteatlas.com/zupa-rybna,https://cdn.tasteatlas.com//Images/Dishes/5f43c72eac5644f9a9385b05625cf983.jpg?mw=660,Fish Soup,Zupa rybna,Poland
https://www.tasteatlas.com/ryba-smazona,https://cdn.tasteatlas.com//images/dishes/0944d5dcb37f411b9ebff64bfdd5d5e7.jpg?mw=660,Fish Dish,Ryba smaÅ¼ona,Poland
https://www.tasteatlas.com/torunskie-pierniki,https://cdn.tasteatlas.com//Images/Dishes/573b837ca00540489cfff86873e9050c.jpg?mw=660,Cookie,ToruÅskie pierniki,Poland
https://www.tasteatlas.com/wuzetka,https://cdn.tasteatlas.com//images/dishes/7b02a8afe5874841ab4e96bbc98f5564.jpg?mw=660,Chocolate Cake,Wuzetka,Poland
https://www.tasteatlas.com/baranina,https://cdn.tasteatlas.com//images/dishes/7648d00761bb4bee95bf0f676b810cef.jpg?mw=660,Lamb/Mutton Dish,Baranina,Poland
https://www.tasteatlas.com/salatka-ziemniaczana,https://cdn.tasteatlas.com//images/dishes/957cf5f739444381bb64c0257aee2274.jpg?mw=660,Salad,SaÅatka ziemniaczana,Poland
https://www.tasteatlas.com/chaka,https://cdn.tasteatlas.com//Images/Dishes/cde2cd045d0346c888b341c1ddc9bfa2.jpg?mw=660,Sweet Bread,ChaÅka,Poland
https://www.tasteatlas.com/sekacz,https://cdn.tasteatlas.com//Images/Dishes/03572eba73e14746aa0f9ecd8d0b871f.jpg?mw=660,Cake,SÄkacz,Poland
https://www.tasteatlas.com/saatka-warzywna,https://cdn.tasteatlas.com//images/dishes/c94a37636708430aab124811f735a012.jpg?mw=660,Salad,SaÅatka warzywna,Poland
https://www.tasteatlas.com/surowka-z-marchewki,https://cdn.tasteatlas.com//images/dishes/33a17d8ffbc0460285180d6a66b3793c.jpg?mw=660,Salad,SurÃ³wka z marchewki,Poland
https://www.tasteatlas.com/babka-ziemniaczana,https://cdn.tasteatlas.com//images/dishes/163fbee097a2422b932ac7e0fd02a58a.jpg?mw=660,Casserole,Babka ziemniaczana,Poland
