search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/petiscos,https://cdn.tasteatlas.com//images/dishes/28e58450b3e74c559f57e198b076f596.jpg?mw=660,Assorted Small Dishes or Ritual,Petiscos,Portugal
https://www.tasteatlas.com/feijoada-a-portuguesa,https://cdn.tasteatlas.com//images/dishes/8f9426e1cdf9419fafc796f757616678.jpg?mw=660,Stew,Feijoada Ã  portuguesa,Portugal
https://www.tasteatlas.com/bacalhau,https://cdn.tasteatlas.com//Images/Dishes/e416e78b856848babcfc5b28b1ececca.jpg?mw=660,Saltwater Fish Dish,Bacalhau,Portugal
https://www.tasteatlas.com/migas-portugal,https://cdn.tasteatlas.com//Images/Dishes/23632b0686ef471ba3aa93626196f7b1.jpg?mw=660,Appetizer,Migas,Portugal
https://www.tasteatlas.com/pastel-de-nata,https://cdn.tasteatlas.com//Images/Dishes/735a85b93fa942c49e22f101cba3397e.jpg?mw=660,Sweet Pastry,Pastel de nata,Portugal
https://www.tasteatlas.com/francesinha,https://cdn.tasteatlas.com//Images/Dishes/020f09a7e82149e1a50a6ec9bc5b7f11.jpg?mw=660,Sandwich,Francesinha,Portugal
https://www.tasteatlas.com/espetada,https://cdn.tasteatlas.com//Images/Dishes/fba5261c285c40ef97dfd7f527e8abae.jpg?mw=660,Beef Dish,Espetada,Portugal
https://www.tasteatlas.com/acorda,https://cdn.tasteatlas.com//images/dishes/b4e93d1b36024d5381e309a3cfe8dc8b.jpg?mw=660,Bread Soup,AÃ§orda,Portugal
https://www.tasteatlas.com/arroz-de-marisco,https://cdn.tasteatlas.com//images/dishes/1e27e2a7e28143d1915cee6e62023eb8.jpg?mw=660,Rice Dish,Arroz de marisco,Portugal
https://www.tasteatlas.com/bolinhos-de-bacalhau,https://cdn.tasteatlas.com//images/dishes/9173bed5c82b4d7d9edffb159c7e618a.jpg?mw=660,Appetizer,Bolinhos de bacalhau,Portugal
