search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pirog,https://cdn.tasteatlas.com//images/dishes/2505620dcddf44ffa1fd21446d1626a4.jpg?mw=660,Savory Pie,Pirog,Russia
https://www.tasteatlas.com/zakuski,https://cdn.tasteatlas.com//Images/Dishes/e08c6bbc843c4dfdac898f96eeb9636d.jpg?mw=660,Assorted Small Dishes or Ritual,Zakuski,Russia
https://www.tasteatlas.com/bliny,https://cdn.tasteatlas.com//images/dishes/9f7f1aa591974052975991999aa30895.jpg?mw=660,Pancake,Blini,Russia
https://www.tasteatlas.com/kasha,https://cdn.tasteatlas.com//Images/Dishes/ee60c7c639314b76918e97a37e547531.jpg?mw=660,Porridge,Kasha,Russia
https://www.tasteatlas.com/pelmeni,https://cdn.tasteatlas.com//Images/Dishes/6e68f2f09cc84017959214917a02b574.jpg?mw=660,Dumplings,Pelmeni,Russia
https://www.tasteatlas.com/beef-stroganoff,https://cdn.tasteatlas.com//images/dishes/a3078ca2ae154366aed6f4e3aa61bc82.jpg?mw=660,Beef Dish,Beef Stroganoff,Russia
https://www.tasteatlas.com/varenye,https://cdn.tasteatlas.com//Images/Dishes/b9fa285a3a8a40efb6fb44b3dfcf7e5b.jpg?mw=660,Dessert,Varenye,Russia
https://www.tasteatlas.com/medovik,https://cdn.tasteatlas.com//Images/Dishes/9863c29236aa4a188608ec198fcdab7d.jpg?mw=660,Cake,Medovik,Russia
https://www.tasteatlas.com/golubtsy,https://cdn.tasteatlas.com//Images/Dishes/e26c9d47805d4b528385c249867b993c.jpg?mw=660,Ground Meat Dish,Golubtsy,Russia
https://www.tasteatlas.com/olivier-salad,https://cdn.tasteatlas.com//Images/Dishes/4ead9215212342ddbcaac246fc7a8398.jpg?mw=660,Salad,Olivier Salad,Russia
https://www.tasteatlas.com/vinegret,https://cdn.tasteatlas.com//Images/Dishes/187ff9ff42764a499ae6376c385be4f5.jpg?mw=660,Salad,Vinegret,Russia
https://www.tasteatlas.com/paskha,https://cdn.tasteatlas.com//Images/Dishes/7d383d59f3c54b338f4d54d6d2fab02b.jpg?mw=660,Cheese Dessert,Paskha,Russia
