search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/oka-ia,https://cdn.tasteatlas.com//images/dishes/792a6ec4417a4ce3b879ebc3ed2d10cb.jpg?mw=660,Salad,Oka i'a,Samoa
https://www.tasteatlas.com/palusami,https://cdn.tasteatlas.com//images/dishes/c531b5727d5f40c28827daac56d53982.jpg?mw=660,Casserole,Palusami,Samoa
https://www.tasteatlas.com/panipopo,https://cdn.tasteatlas.com//images/dishes/30838a451fb54beb9bbeb1a0306a4afb.jpg?mw=660,Dessert,Panipopo,Samoa
https://www.tasteatlas.com/sapasui,https://cdn.tasteatlas.com//images/dishes/608f8a0c07bc45309eb1d36c8c32cf0e.jpg?mw=660,Meat Dish,Sapasui,Samoa
https://www.tasteatlas.com/samoan-poi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Pudding,Samoan Poi,Samoa
https://www.tasteatlas.com/pisua,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Pisua,Samoa
https://www.tasteatlas.com/kale-moa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Kale moa,Samoa
https://www.tasteatlas.com/panikeke,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pancake,Panikeke,Samoa
https://www.tasteatlas.com/masi-samoa,https://cdn.tasteatlas.com//images/dishes/6e646657d3824c559ff9353ff1bd6fbf.jpg?mw=660,Cookie,Masi Samoa,Samoa
https://www.tasteatlas.com/suafai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Suafa'i,Samoa
https://www.tasteatlas.com/sua-ia,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Fish Soup,Sua i'a,Samoa
https://www.tasteatlas.com/paifala,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sweet Pie,Paifala,Samoa
https://www.tasteatlas.com/faausi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Fa'ausi,Samoa
https://www.tasteatlas.com/poi-mago,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pudding,Poi mago,Samoa
https://www.tasteatlas.com/keke-puaa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Keke pua'a,Samoa
https://www.tasteatlas.com/faalifu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dressing,Fa'alifu,Samoa
https://www.tasteatlas.com/faapapa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sweet Bread,Fa'apapa,Samoa
https://www.tasteatlas.com/keke-fai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cake,Keke fa'i,Samoa
https://www.tasteatlas.com/koko-araisa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Koko araisa,Samoa
https://www.tasteatlas.com/oka-popo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Saltwater Fish Dish,Oka popo,Samoa
https://www.tasteatlas.com/alaisa-faapopo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Alaisa fa'apopo,Samoa
