search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kabsa,https://cdn.tasteatlas.com//Images/Dishes/f37a541a7983423f8d532caaac154e8d.jpg?mw=660,Rice Dish,Kabsa,Saudi Arabia
https://www.tasteatlas.com/shawarma-saudi-arabia,https://cdn.tasteatlas.com//images/dishes/a2a68bb8904548639a51bbb609c50821.jpg?mw=660,Street Food,Shawarma,Saudi Arabia
https://www.tasteatlas.com/harees,https://cdn.tasteatlas.com//images/dishes/03df132180744560921a1b481675e559.jpg?mw=660,Porridge,Harees,Saudi Arabia
https://www.tasteatlas.com/gursan,https://cdn.tasteatlas.com//images/dishes/a0f96fb1413e43cfba632f2aec8e96c4.jpg?mw=660,Meat Dish,Gursan,Saudi Arabia
https://www.tasteatlas.com/hininy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Vegetable Dish,Hininy,Saudi Arabia
https://www.tasteatlas.com/thard,https://cdn.tasteatlas.com//Images/Dishes/adc07828c28e476485271cb02a081add.jpg?mw=660,Stew,TharÄ±d,Saudi Arabia
https://www.tasteatlas.com/saleeg,https://cdn.tasteatlas.com//images/dishes/e43d1e185d144472a679700e19497f3f.jpg?mw=660,Rice Dish,Saleeg,Saudi Arabia
https://www.tasteatlas.com/dajaj-mashwi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,Dajaj mashwi,Saudi Arabia
https://www.tasteatlas.com/maamoul-saudi-arabia,https://cdn.tasteatlas.com//Images/Dishes/8cd1a7bee211432d893d12eae9912883.jpg?mw=660,Cookie,Ma'amoul,Saudi Arabia
https://www.tasteatlas.com/martabak-saudi-arabia,https://cdn.tasteatlas.com//Images/Dishes/06d7d25393c04739b4b1f3491b0a0f71.jpg?mw=660,Pancake,Martabak,Saudi Arabia
https://www.tasteatlas.com/jalamah,https://cdn.tasteatlas.com//images/dishes/cd114f9f24054ed6b4e1eed49f6a3d6f.jpg?mw=660,Lamb/Mutton Dish,Jalamah,Saudi Arabia
https://www.tasteatlas.com/ruz-al-bukhari,https://cdn.tasteatlas.com//images/dishes/f352b18d4100474d8571893f0d77bbde.jpg?mw=660,Rice Dish,Ruz al Bukhari,Saudi Arabia
https://www.tasteatlas.com/matazeez,https://cdn.tasteatlas.com//images/dishes/24965332647b4700816e2f7957bf5dd1.jpg?mw=660,Stew,Matazeez,Saudi Arabia
https://www.tasteatlas.com/mathlotha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Rice Dish,Mathlotha,Saudi Arabia
https://www.tasteatlas.com/markook,https://cdn.tasteatlas.com//Images/Dishes/9b0a815ce2c84eaabb86f2fcd7cf691d.jpg?mw=660,Flatbread,Markook,Saudi Arabia
https://www.tasteatlas.com/mofatah-al-dajaj,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Mofatah al-dajaj,Saudi Arabia
