search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/yassa,https://cdn.tasteatlas.com//Images/Dishes/c5c5d59e95d9475ba7426a57830e10ea.jpg?mw=660,Chicken Dish,Yassa,Senegal
https://www.tasteatlas.com/thieboudienne,https://cdn.tasteatlas.com//Images/Dishes/416d10a64546421d8abd2a19ffb1bd70.jpg?mw=660,Saltwater Fish Dish,Thieboudienne,Senegal
https://www.tasteatlas.com/thiebou-yapp,https://cdn.tasteatlas.com//images/dishes/fd412bf21fdd486da42b31263dba983c.jpg?mw=660,Stew,ThiÃ©bou yapp,Senegal
https://www.tasteatlas.com/sombi,https://cdn.tasteatlas.com//images/dishes/b30130535a804b278b55bad5539c2604.jpg?mw=660,Pudding,Sombi,Senegal
https://www.tasteatlas.com/ndambe,https://cdn.tasteatlas.com//images/dishes/aff0b4ea621f42d89538068144bf0d7c.jpg?mw=660,Stew,NdambÃ©,Senegal
https://www.tasteatlas.com/bassi-salte,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Bassi-saltÃ©,Senegal
https://www.tasteatlas.com/mulet-farci-a-la-saint-louisienne,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Saltwater Fish Dish,Mulet farci Ã  la Saint-Louisienne,Senegal
https://www.tasteatlas.com/ngalakh,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Porridge,Ngalakh,Senegal
https://www.tasteatlas.com/cinq-centimes,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cookie,Cinq centimes,Senegal
https://www.tasteatlas.com/banana-glace,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Banana glace,Senegal
https://www.tasteatlas.com/thiou-a-la-viande,https://cdn.tasteatlas.com//images/dishes/bec747369e1f4d07b69df2d369cce9d9.jpg?mw=660,Stew,Thiou Ã  la viande,Senegal
https://www.tasteatlas.com/thiebou-guinaar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,ThiÃ©bou guinaar,Senegal
https://www.tasteatlas.com/thiebou-guerte,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,ThiÃ©bou guertÃ©,Senegal
https://www.tasteatlas.com/avocat-au-crevettes,https://cdn.tasteatlas.com//images/dishes/9877fadf11064b8eba85cc76cf9210b9.jpg?mw=660,Appetizer,Avocat au crevettes,Senegal
https://www.tasteatlas.com/capitaine-a-la-saint-louisienne,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Freshwater Fish Dish,Capitaine Ã  la Saint-Louisienne,Senegal
https://www.tasteatlas.com/salatu-niebe,https://cdn.tasteatlas.com//images/dishes/bde13e90d4414cadb7e58162c766ac8d.jpg?mw=660,Salad,Salatu niebe,Senegal
https://www.tasteatlas.com/salade-cote-cap-verte,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Salad,Salade CÃ´te Cap Verte,Senegal
