search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pljeskavica,https://cdn.tasteatlas.com//Images/Dishes/9a74b54fa5c043aebaeb445898a1beb1.jpg?mw=660,Ground Meat Dish,Pljeskavica,Serbia
https://www.tasteatlas.com/pasulj,https://cdn.tasteatlas.com//Images/Dishes/09b8aefc81a44bb4b99611ad6579bf5a.jpg?mw=660,Soup,Pasulj,Serbia
https://www.tasteatlas.com/gibanica,https://cdn.tasteatlas.com//Images/Dishes/c1cca3fc09504a7097719ea8869abe56.jpg?mw=660,Savory Pastry,Gibanica,Serbia
https://www.tasteatlas.com/ajvar-serbia,https://cdn.tasteatlas.com//Images/Dishes/10967d0363a14e9791b730051f043630.jpg?mw=660,Relish,Ajvar,Serbia
https://www.tasteatlas.com/makovnjaca-serbia,https://cdn.tasteatlas.com//images/dishes/3417b26bde8040c7990f2a20474ec16a.jpg?mw=660,Sweet Bread,MakovnjaÄa,Serbia
https://www.tasteatlas.com/slatko,https://cdn.tasteatlas.com//images/dishes/f7d69e0f51684f11bc0bb605fafb37d8.jpg?mw=660,Dessert,Slatko,Serbia
https://www.tasteatlas.com/prebranac,https://cdn.tasteatlas.com//Images/Dishes/0c2228668760434f92bcbfea2c79a25f.jpg?mw=660,Casserole,Prebranac,Serbia
https://www.tasteatlas.com/sarma-serbia,https://cdn.tasteatlas.com//images/dishes/abbef07b6054405a8b2305db7beca93e.jpg?mw=660,Ground Meat Dish,Sarma,Serbia
https://www.tasteatlas.com/proja,https://cdn.tasteatlas.com//images/dishes/383388ee062c4094a7d240b9224e37e3.jpg?mw=660,Bread,Proja / Projara,Serbia
https://www.tasteatlas.com/krofne,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,Sweet Pastry,Krofne,Serbia
https://www.tasteatlas.com/podvarak,https://cdn.tasteatlas.com//images/dishes/6992ae74f0fe416bb4fa79fc92644be1.jpg?mw=660,Meat Dish,Podvarak,Serbia
https://www.tasteatlas.com/karadordeva-snicla,https://cdn.tasteatlas.com//Images/Dishes/c5896fafbac34ad1958beb818aa8680a.jpg?mw=660,Meat Dish,KaraÄorÄeva Å¡nicla,Serbia
https://www.tasteatlas.com/popara,https://cdn.tasteatlas.com//images/dishes/f23708baab114fa2ac02f5b11fb59570.jpg?mw=660,Breakfast,Popara,Serbia
https://www.tasteatlas.com/urnebes,https://cdn.tasteatlas.com//images/dishes/30540d3ea1d441888233458924776918.jpg?mw=660,Side Dish,Urnebes,Serbia
https://www.tasteatlas.com/pihtije,https://cdn.tasteatlas.com//Images/Dishes/fbb4f995c5214c70a05af844d6f15545.jpg?mw=660,Pork Dish,Pihtije,Serbia
https://www.tasteatlas.com/slatko-od-jagoda,https://cdn.tasteatlas.com//images/dishes/a7f2f1fe82dc4392b2b906dc0acbcecf.jpg?mw=660,Dessert,Slatko od jagoda,Serbia
https://www.tasteatlas.com/komplet-lepinja,https://cdn.tasteatlas.com//images/dishes/4d381d976f6840a28cc55f2c8af57f7b.jpg?mw=660,Breakfast,Komplet lepinja,Serbia
https://www.tasteatlas.com/svadbarski-kupus,https://cdn.tasteatlas.com//images/dishes/a1090a30a269400588b58918b5bb6e82.jpg?mw=660,Stew,Svadbarski kupus,Serbia
https://www.tasteatlas.com/fis-paprikas-vojvodina,https://cdn.tasteatlas.com//images/dishes/719883b396f44d41bf9491521cebe48f.jpg?mw=660,Stew,FiÅ¡ paprikaÅ¡,Serbia
https://www.tasteatlas.com/burek-sa-sirom-serbia,https://cdn.tasteatlas.com//images/dishes/7eb00d71d027475bbeab681d5915a034.jpg?mw=660,Savory Pastry,Burek sa sirom,Serbia
https://www.tasteatlas.com/gomboce,https://cdn.tasteatlas.com//images/dishes/5ebd8761ce834fffb8a9a1731c225d72.jpg?mw=660,Dumplings,Gomboce,Serbia
https://www.tasteatlas.com/srpska-salata,https://cdn.tasteatlas.com//images/dishes/59713a9ad98b4ccf9f2188d77d94a481.jpg?mw=660,Salad,Srpska salata,Serbia
https://www.tasteatlas.com/reform-torta,https://cdn.tasteatlas.com//images/dishes/2d3b7ae6a15640e9b42a12f696c3a474.jpg?mw=660,Chocolate Cake,Reform torta,Serbia
https://www.tasteatlas.com/perkelt-vojvodina,https://cdn.tasteatlas.com//Images/Dishes/5a7168ff459d4104bbfc5e8ec378abab.jpg?mw=660,Stew,Perkelt,Serbia
https://www.tasteatlas.com/pindur-serbia,https://cdn.tasteatlas.com//images/dishes/c8a2022ae5cf4cdd95ffc99e5c432449.jpg?mw=660,Relish,PinÄur,Serbia
https://www.tasteatlas.com/cesnica,https://cdn.tasteatlas.com//Images/Dishes/3d1b1aca97444fb2a3764f74aa79d8aa.jpg?mw=660,Bread,Äesnica,Serbia
https://www.tasteatlas.com/leskovacka-muckalica,https://cdn.tasteatlas.com//images/dishes/ac2a9ea92ad04aadab8325d9a103af82.jpg?mw=660,Meat Dish,LeskovaÄka muÄkalica,Serbia
https://www.tasteatlas.com/leskovacka-kavurma,https://cdn.tasteatlas.com//images/dishes/35776b0f2f01468f9aee7e257a94fa0c.jpg?mw=660,Offal Dish,LeskovaÄka kavurma,Serbia
https://www.tasteatlas.com/leskovacki-voz,https://cdn.tasteatlas.com//images/dishes/e28f75c9870f46cdb505de200ecb93c5.jpg?mw=660,Feast,LeskovaÄki voz,Serbia
https://www.tasteatlas.com/corba-od-spanaca,https://cdn.tasteatlas.com//images/dishes/479fa6c1d3004e69bb7dffcb508bf342.jpg?mw=660,Vegetable Soup,Äorba od spanaÄa,Serbia
https://www.tasteatlas.com/slatko-od-kajsija,https://cdn.tasteatlas.com//images/dishes/b4931d7be62849ec9a4551e859f3e819.jpg?mw=660,Dessert,Slatko od kajsija,Serbia
https://www.tasteatlas.com/vasina-torta,https://cdn.tasteatlas.com//images/dishes/612d4d48dbb54b1294690b2f5f3f9e12.jpg?mw=660,Chocolate Cake,Vasina torta,Serbia
https://www.tasteatlas.com/bela-corba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Chicken Soup,Bela Äorba,Serbia
https://www.tasteatlas.com/leskovacki-rostilj,https://cdn.tasteatlas.com//images/dishes/32dbee2bcb3245a3b2f223f8e58ef0bd.jpg?mw=660,Barbecue,LeskovaÄki roÅ¡tilj,Serbia
https://www.tasteatlas.com/slatko-od-dunja,https://cdn.tasteatlas.com//images/dishes/219539e76da24205b1d539989a02a94a.jpg?mw=660,Dessert,Slatko od dunja,Serbia
https://www.tasteatlas.com/belolucene-paprike,https://cdn.tasteatlas.com//images/dishes/e9bd7831a7b24306b8a19e6a7863af3f.jpg?mw=660,Salad,BeloluÄene paprike,Serbia
https://www.tasteatlas.com/pazarske-mantije,https://cdn.tasteatlas.com//images/dishes/493d77e0322042809a81b7adf2dce166.jpg?mw=660,Savory Pastry,Pazarske mantije,Serbia
https://www.tasteatlas.com/lepinja-serbia,https://cdn.tasteatlas.com//images/dishes/59375957b5db48cd88816b080c0760ef.jpg?mw=660,Flatbread,Lepinja,Serbia
https://www.tasteatlas.com/bundevara,https://cdn.tasteatlas.com//Images/Dishes/587382341afe464ebeb053895a8bf08b.jpg?mw=660,Sweet Pastry,Bundevara,Serbia
https://www.tasteatlas.com/slatko-od-tresanja,https://cdn.tasteatlas.com//images/dishes/3f9395eddc5d4f6ba20cc881ccea4d63.jpg?mw=660,Dessert,Slatko od treÅ¡anja,Serbia
