search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/ladob,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Ladob,Seychelles
https://www.tasteatlas.com/civet-de-chauve-souris,https://cdn.tasteatlas.com//images/dishes/9ee915d042b345dfb6e848955d57eca4.jpg?mw=660,Stew,Civet de chauve souris,Seychelles
https://www.tasteatlas.com/pwason-griye,https://cdn.tasteatlas.com//images/dishes/6db111af50ab49b7b5dd5dfb20060e08.jpg?mw=660,Saltwater Fish Dish,Pwason griye,Seychelles
https://www.tasteatlas.com/kari-koko-zourit,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Kari koko zourit,Seychelles
https://www.tasteatlas.com/pwason-sale,https://cdn.tasteatlas.com//images/dishes/f1b2670fe64e409892cad492ada65633.jpg?mw=660,Saltwater Fish Dish,Pwason sale,Seychelles
https://www.tasteatlas.com/salade-de-palmiste,https://cdn.tasteatlas.com//images/dishes/2ee6ee588f8f4f2d98023ee894740d07.jpg?mw=660,Salad,Salade de palmiste,Seychelles
https://www.tasteatlas.com/kat-kat-banana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Porridge,Kat-kat banana,Seychelles
https://www.tasteatlas.com/chatini-requin,https://cdn.tasteatlas.com//images/dishes/f375c88107fb40d58c2f4bdcc3d4fa1e.jpg?mw=660,Side Dish,Chatini requin,Seychelles
https://www.tasteatlas.com/carotte-banana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Snack,Carotte banana,Seychelles
https://www.tasteatlas.com/bouillon-brede,https://cdn.tasteatlas.com//images/dishes/0dbf1f65e4ba4c93bab11a54714d8ce0.jpg?mw=660,Vegetable Soup,Bouillon brede,Seychelles
https://www.tasteatlas.com/soupe-de-tectec,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Seafood Soup,Soupe de tectec,Seychelles
https://www.tasteatlas.com/bourgeoisie-grille,https://cdn.tasteatlas.com//images/dishes/10794a31bc444b06baf2c6318cba22a0.jpg?mw=660,Saltwater Fish Dish,Bourgeoisie grille,Seychelles
https://www.tasteatlas.com/chatini-seychellois,https://cdn.tasteatlas.com//images/dishes/eac818d8ccdc4d18a8b318f5c9166c6b.jpg?mw=660,Side Dish,Chatini Seychellois,Seychelles
