search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/laksa-singapore,https://cdn.tasteatlas.com//images/dishes/f4dfe298664b45fc9eb9a928663d5849.jpg?mw=660,Noodle Dish,Laksa,Singapore
https://www.tasteatlas.com/hainanese-chicken-rice,https://cdn.tasteatlas.com//Images/Dishes/f763a089305749c3931037f95cbf65c9.jpg?mw=660,Chicken Dish,Hainanese Chicken Rice,Singapore
https://www.tasteatlas.com/chilli-crab,https://cdn.tasteatlas.com//images/dishes/2fc91854d5804c69ba9435cc74f80e5f.png?mw=660,Crab Dish,Chilli Crab,Singapore
https://www.tasteatlas.com/char-kway-teow,https://cdn.tasteatlas.com//Images/Dishes/5c2cd0f1f6444e80a7223852a869840a.jpg?mw=660,Noodle Dish,Char kway teow,Singapore
https://www.tasteatlas.com/curry-laksa,https://cdn.tasteatlas.com//Images/Dishes/a454d98e3d5a4f2c9a25ae55393767bf.jpg?mw=660,Noodle Soup,Curry Laksa,Singapore
https://www.tasteatlas.com/duck-rice,https://cdn.tasteatlas.com//images/dishes/ef710edb738b4b1d97bca09823297660.jpg?mw=660,Duck Dish,Duck Rice,Singapore
https://www.tasteatlas.com/yusheng-singapore,https://cdn.tasteatlas.com//Images/Dishes/0525862e4d094da5915089834e7972b9.jpg?mw=660,Salad,Yusheng,Singapore
https://www.tasteatlas.com/fish-head-curry,https://cdn.tasteatlas.com//Images/Dishes/8bc933cfe98a454d856f05d586b8b41a.jpg?mw=660,Stew,Fish Head Curry,Singapore
https://www.tasteatlas.com/hokkien-mee,https://cdn.tasteatlas.com//images/dishes/e817765ec5ff4b2a8075e521e75233fe.jpg?mw=660,Noodle Dish,Hokkien mee,Singapore
https://www.tasteatlas.com/bak-kut-teh-singapore,https://cdn.tasteatlas.com//Images/Dishes/ce851f5546e64611be7a7d2cf4c0b9dd.jpg?mw=660,Meat Soup,Bak kut teh,Singapore
https://www.tasteatlas.com/kaya-toast,https://cdn.tasteatlas.com//Images/Dishes/a96df6400e87437c8e39a51701c2ab3a.jpg?mw=660,Sandwich,Kaya Toast,Singapore
https://www.tasteatlas.com/kway-chap,https://cdn.tasteatlas.com//images/dishes/16df9f4ae1834d77a475c666590e90c4.jpg?mw=660,Stew,Kway chap,Singapore
https://www.tasteatlas.com/roti-prata,https://cdn.tasteatlas.com//Images/Dishes/21c2611c24664052bf170f4e6ad4457f.jpg?mw=660,Pancake,Roti prata,Singapore
https://www.tasteatlas.com/black-pepper-crab,https://cdn.tasteatlas.com//Images/Dishes/00ca8edd7594474da82e3a964fbb41a9.jpg?mw=660,Crab Dish,Black Pepper Crab,Singapore
https://www.tasteatlas.com/mooncake-singapore,https://cdn.tasteatlas.com//Images/Dishes/76c513e6c3214386b6c1dd9c98a564cc.jpg?mw=660,Sweet Pastry,Mooncake,Singapore
https://www.tasteatlas.com/roti-john,https://cdn.tasteatlas.com//images/dishes/482a2d478d564350a978bdfb1ad3da7e.jpg?mw=660,Sandwich,Roti John,Singapore
https://www.tasteatlas.com/har-cheong-gai,https://cdn.tasteatlas.com//images/dishes/6ab3b54b0e154a9b8016e111fedfa4c9.jpg?mw=660,Fried Chicken Dish,Har cheong gai,Singapore
https://www.tasteatlas.com/ngoh-hiang,https://cdn.tasteatlas.com//images/dishes/5b167f5b51a34e1ea03afb140fb514e6.jpg?mw=660,Meat Dish,Ngoh hiang,Singapore
https://www.tasteatlas.com/cereal-prawns,https://cdn.tasteatlas.com//images/dishes/ad96e8fd615949ae99b04abbbf9351ac.jpg?mw=660,Shrimp/Prawn Dish,Cereal Prawns,Singapore
https://www.tasteatlas.com/beef-kway-teow,https://cdn.tasteatlas.com//images/dishes/42c9a73c416e47fda26e5516d9eac303.jpg?mw=660,Noodle Dish,Beef kway teow,Singapore
https://www.tasteatlas.com/satay-bee-hoon,https://cdn.tasteatlas.com//images/dishes/4e71779513914f599c3245aff97186fb.jpg?mw=660,Noodle Dish,Satay bee hoon,Singapore
https://www.tasteatlas.com/katong-laksa,https://cdn.tasteatlas.com//images/dishes/9ca23ddb79404f7b8ead3efc89927080.jpg?mw=660,Soup,Katong laksa,Singapore
https://www.tasteatlas.com/teochew-porridge,https://cdn.tasteatlas.com//images/dishes/dc81e7d82f1a4470bb44c767a3702274.jpg?mw=660,Assorted Small Dishes or Ritual,Teochew Porridge,Singapore
https://www.tasteatlas.com/sambal-stingray,https://cdn.tasteatlas.com//images/dishes/ccfb2b1de1a947d1a119f47059464860.jpg?mw=660,Saltwater Fish Dish,Sambal Stingray,Singapore
https://www.tasteatlas.com/vegetarian-bee-hoon,https://cdn.tasteatlas.com//images/dishes/28dec857999c47a585b12b67a1174f54.jpg?mw=660,Noodle Dish,Vegetarian bee hoon,Singapore
https://www.tasteatlas.com/fish-soup-bee-hoon,https://cdn.tasteatlas.com//images/dishes/546b53dd86e34328bf578c7282318277.jpg?mw=660,Fish Soup,Fish soup bee hoon,Singapore
https://www.tasteatlas.com/crab-bee-hoon-soup,https://cdn.tasteatlas.com//images/dishes/afa7143bf1b14561b4050746f9fd98b3.jpg?mw=660,Seafood Soup,Crab Bee Hoon Soup,Singapore
https://www.tasteatlas.com/crab-bee-hoon,https://cdn.tasteatlas.com//images/dishes/423b33c39d15469bac6be2db1177854b.jpg?mw=660,Noodle Dish,Crab bee hoon,Singapore
https://www.tasteatlas.com/nasi-goreng-usa-singapore,https://cdn.tasteatlas.com//images/dishes/ce15bd63b2234e36a4a56e79c9318e7a.jpg?mw=660,Rice Dish,Nasi goreng USA,Singapore
https://www.tasteatlas.com/nasi-goreng-kampung-singapore,https://cdn.tasteatlas.com//images/dishes/fdd9ec62ece449568aba60231bdca803.jpg?mw=660,Rice Dish,Nasi goreng kampung,Singapore
https://www.tasteatlas.com/nasi-goreng-kambing-singapore,https://cdn.tasteatlas.com//images/dishes/8071b4062d2d4d4288540c575738380e.jpg?mw=660,Rice Dish,Nasi goreng kambing,Singapore
https://www.tasteatlas.com/cheng-tng,https://cdn.tasteatlas.com//images/dishes/ee945f2f5c0f4c8d8f4c98baab32f49d.jpg?mw=660,Sweet Soup,Cheng tng,Singapore
https://www.tasteatlas.com/soup-kambing,https://cdn.tasteatlas.com//images/dishes/0a9f17bb09a44ee09529add133225356.jpg?mw=660,Meat Soup,Soup kambing,Singapore
https://www.tasteatlas.com/soup-tulang,https://cdn.tasteatlas.com//images/dishes/929c967d83bb4cfe9b98fa46a8971e61.jpg?mw=660,Lamb/Mutton Dish,Soup tulang,Singapore
https://www.tasteatlas.com/pulut-durian-singapore,https://cdn.tasteatlas.com//images/dishes/82455eee431b4c98ac7bf7300f3d1130.jpg?mw=660,Dessert,Pulut durian,Singapore
https://www.tasteatlas.com/sang-cheong,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Sang cheong,Singapore
https://www.tasteatlas.com/rojak-bandung,https://cdn.tasteatlas.com//images/dishes/c77c9818a8394a2c8d5370c80a8fbaf1.jpg?mw=660,Salad,Rojak bandung,Singapore
https://www.tasteatlas.com/dendeng-paru,https://cdn.tasteatlas.com//images/dishes/232c3f0663884e78857a991c0359633a.jpg?mw=660,Offal Dish,Dendeng paru,Singapore
