search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/halusky,https://cdn.tasteatlas.com//Images/Dishes/f1982ec2dbc84554b9665e5dd8afbd87.jpg?mw=660,Dumplings,HaluÅ¡ky,Slovakia
https://www.tasteatlas.com/gulas-slovakia,https://cdn.tasteatlas.com//Images/Dishes/ac9575707133493f984feb3f97619e48.jpg?mw=660,Stew,GulÃ¡Å¡,Slovakia
https://www.tasteatlas.com/bryndzove-halusky,https://cdn.tasteatlas.com//Images/Dishes/977c0c68c35d4991bcc39db2bb5fac4c.jpg?mw=660,Dumplings,BryndzovÃ© haluÅ¡ky,Slovakia
https://www.tasteatlas.com/kapustnica,https://cdn.tasteatlas.com//Images/Dishes/465a3e35ad064f1bb5d4048d5e26b16d.jpg?mw=660,Soup,Kapustnica,Slovakia
https://www.tasteatlas.com/sisky,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,Sweet Pastry,Å iÅ¡ky,Slovakia
https://www.tasteatlas.com/makovnik,https://cdn.tasteatlas.com//images/dishes/3417b26bde8040c7990f2a20474ec16a.jpg?mw=660,Sweet Bread,MakovnÃ­k,Slovakia
https://www.tasteatlas.com/zemiakove-placky,https://cdn.tasteatlas.com//Images/Dishes/32662c5f52804b95b052727956960cdc.jpg?mw=660,Snack,ZemiakovÃ© placky,Slovakia
https://www.tasteatlas.com/laskonky,https://cdn.tasteatlas.com//images/dishes/a6e427fe6210445cae6f2399281e2b02.jpg?mw=660,Cookie,Laskonky,Slovakia
https://www.tasteatlas.com/lokse,https://cdn.tasteatlas.com//Images/Dishes/5562191453954daa8ab2193544abe71b.jpg?mw=660,Pancake,LokÅ¡e,Slovakia
https://www.tasteatlas.com/parene-buchty,https://cdn.tasteatlas.com//images/dishes/1173ca878ff049f4b9332fa8bfa8f746.jpg?mw=660,Dumplings,ParenÃ© buchty,Slovakia
https://www.tasteatlas.com/liptauer,https://cdn.tasteatlas.com//Images/Dishes/6fd4d466e7944ff28e4bc9aa29cacd66.jpg?mw=660,Spread,Liptauer,Slovakia
https://www.tasteatlas.com/bratislavsky-rozok,https://cdn.tasteatlas.com//images/dishes/e26fbb6f6b5045d69064036e3a0304ff.jpg?mw=660,Sweet Pastry,BratislavskÃ½ roÅ¾ok,Slovakia
https://www.tasteatlas.com/bryndzove-pirohy,https://cdn.tasteatlas.com//Images/Dishes/898bbdc343924de5999c7f543853c9e4.jpg?mw=660,Dumplings,BryndzovÃ© pirohy,Slovakia
https://www.tasteatlas.com/skalicky-trdelnik,https://cdn.tasteatlas.com//images/dishes/fced210908944357b969b197533b0e31.jpg?mw=660,Sweet Pastry,SkalickÃ½ trdelnÃ­k,Slovakia
https://www.tasteatlas.com/strapacky,https://cdn.tasteatlas.com//Images/Dishes/9224a192bf904294ba760344f3cafbe9.jpg?mw=660,Dumplings,StrapaÄky,Slovakia
https://www.tasteatlas.com/treska,https://cdn.tasteatlas.com//images/dishes/053487fb2c8447c89327b9c80009d10b.jpg?mw=660,Salad,Treska,Slovakia
https://www.tasteatlas.com/spisske-parky,https://cdn.tasteatlas.com//images/dishes/600805068ede48e99c3b06aef1fe4d60.jpg?mw=660,Sausage,SpiÅ¡skÃ© pÃ¡rky,Slovakia
https://www.tasteatlas.com/medvedie-labky,https://cdn.tasteatlas.com//images/dishes/e0171a6a05c942fdbb13f5f2ab51312a.jpg?mw=660,Cookie,Medvedie labky,Slovakia
https://www.tasteatlas.com/demikat,https://cdn.tasteatlas.com//images/dishes/1b1b6790e7ac4eacb4e734c8ad11f48b.jpg?mw=660,Soup,DemikÃ¡t,Slovakia
