search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/struklji,https://cdn.tasteatlas.com//images/dishes/842eca43e00249fb8c0e61079ba230c5.jpg?mw=660,Pasta,Å truklji,Slovenia
https://www.tasteatlas.com/potica,https://cdn.tasteatlas.com//Images/Dishes/c149caa401234537a762b8061a789c67.jpg?mw=660,Cake,Potica,Slovenia
https://www.tasteatlas.com/krofi,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,Sweet Pastry,Krofi,Slovenia
https://www.tasteatlas.com/kremna-rezina,https://cdn.tasteatlas.com//images/dishes/93d3e63a14c74f958d0ad41009e16f66.jpg?mw=660,Cake,Kremna rezina,Slovenia
https://www.tasteatlas.com/idrijski-zlikrofi,https://cdn.tasteatlas.com//images/dishes/7bb025813c5847b997e0fb809ffdf632.jpg?mw=660,Pasta,Idrijski Å¾likrofi,Slovenia
https://www.tasteatlas.com/prekmurska-gibanica,https://cdn.tasteatlas.com//Images/Dishes/2c4a162aca5b4945898fd84d82b09f6e.jpg?mw=660,Dessert,Prekmurska gibanica,Slovenia
https://www.tasteatlas.com/bograc,https://cdn.tasteatlas.com//images/dishes/741a295ba34240f8b7d93fe256571663.jpg?mw=660,Stew,BograÄ,Slovenia
https://www.tasteatlas.com/kranjska-klobasa,https://cdn.tasteatlas.com//images/dishes/81706bef7a784a52b72b2ca41f5f1644.jpg?mw=660,Sausage,Kranjska klobasa,Slovenia
https://www.tasteatlas.com/ajdovi-zganci,https://cdn.tasteatlas.com//images/dishes/c16f070ec35541c3a5a7e7456638e3c5.jpg?mw=660,Porridge,Ajdovi Å¾ganci,Slovenia
https://www.tasteatlas.com/gobova-juha,https://cdn.tasteatlas.com//images/dishes/92f105b355cd457ca20972787f4b5937.jpg?mw=660,Mushroom Soup,Gobova juha,Slovenia
https://www.tasteatlas.com/obara,https://cdn.tasteatlas.com//images/dishes/04b6852a2d3b45cdab885171f9832e5b.jpg?mw=660,Stew,Obara,Slovenia
https://www.tasteatlas.com/pohorska-omleta,https://cdn.tasteatlas.com//images/dishes/9146a383bbce4462a0c0d723467f20fa.jpg?mw=660,Dessert,Pohorska omleta,Slovenia
https://www.tasteatlas.com/prezganka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Soup,PreÅ¾ganka,Slovenia
https://www.tasteatlas.com/fizolova-minestra,https://cdn.tasteatlas.com//images/dishes/aa9543ff268f4622ae64331941e34ebe.jpg?mw=660,Stew,Bean Stew (FiÅ¾olova mineÅ¡tra),Slovenia
https://www.tasteatlas.com/belokranjska-pogaca,https://cdn.tasteatlas.com//images/dishes/e1d0d72907e545008c44f8411ea9cd78.jpg?mw=660,Flatbread,Belokranjska pogaÄa,Slovenia
https://www.tasteatlas.com/kobariski-struklji,https://cdn.tasteatlas.com//images/dishes/6c236883ac794d8c8ef5c8eee8a1f2b8.jpg?mw=660,Dumplings,KobariÅ¡ki Å¡truklji,Slovenia
https://www.tasteatlas.com/blejska-grmada,https://cdn.tasteatlas.com//images/dishes/3711cc10d25c4d7aa32950692bc12104.jpg?mw=660,Dessert,Blejska grmada,Slovenia
https://www.tasteatlas.com/ajdovi-krapi,https://cdn.tasteatlas.com//images/dishes/a09bc5fe8d0b4e54b004f987a6ebd914.jpg?mw=660,Dumplings,Ajdovi krapi,Slovenia
https://www.tasteatlas.com/ajdovi-struklji,https://cdn.tasteatlas.com//images/dishes/e7d5e6f9e2dd4b238d9800fec3791967.jpg?mw=660,Dumplings,Ajdovi Å¡truklji,Slovenia
https://www.tasteatlas.com/frtalja,https://cdn.tasteatlas.com//images/dishes/8ad0ab50f67547889fdca2414ad9a766.jpg?mw=660,Egg Dish,Frtalja,Slovenia
https://www.tasteatlas.com/ajdnek,https://cdn.tasteatlas.com//images/dishes/a8a15b228b144505b0b1839dd81148e4.jpg?mw=660,Dessert,Ajdnek,Slovenia
https://www.tasteatlas.com/belokranjska-povitica,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Savory Pie,Belokranjska povitica,Slovenia
https://www.tasteatlas.com/matevz,https://cdn.tasteatlas.com//images/dishes/9c725d97e49f4e969e0e88e8043e29a9.jpg?mw=660,Side Dish,MatevÅ¾,Slovenia
https://www.tasteatlas.com/prleska-gibanica,https://cdn.tasteatlas.com//images/dishes/d6506e2e92ba4cab9a4a214dfea5d360.jpg?mw=660,Cake,PrleÅ¡ka gibanica,Slovenia
https://www.tasteatlas.com/pohorski-lonec,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,Pohorski lonec,Slovenia
https://www.tasteatlas.com/kraska-jota,https://cdn.tasteatlas.com//images/dishes/03ef82778b8443319dc5fee7ac552825.jpg?mw=660,Stew,KraÅ¡ka jota,Slovenia
https://www.tasteatlas.com/bakalca,https://cdn.tasteatlas.com//images/dishes/999742f40f1145cd99011957a92d34c3.jpg?mw=660,Stew,Bakalca,Slovenia
https://www.tasteatlas.com/mezerli,https://cdn.tasteatlas.com//images/dishes/70a22472acf54ffa9ef3b2607b4e8d64.jpg?mw=660,Offal Dish,MeÅ¾erli,Slovenia
https://www.tasteatlas.com/postoklja,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetable Dish,PoÅ¡tÃ³klja,Slovenia
https://www.tasteatlas.com/pohorski-pisker,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Pohorski pisker,Slovenia
https://www.tasteatlas.com/leteci-zganci,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,LeteÄi Å¾ganci,Slovenia
https://www.tasteatlas.com/trziske-brzole,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,TrÅ¾iÅ¡ke brÅ¾ole,Slovenia
