search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kimchi,https://cdn.tasteatlas.com//images/dishes/2afd12a4d2434e649bd9c00ef63f517e.jpg?mw=660,Pickling,Kimchi,South Korea
https://www.tasteatlas.com/bibimbap,https://cdn.tasteatlas.com//images/dishes/4dd65e828a014639994d77ab09f5dba5.jpg?mw=660,Rice Dish,Bibimbap,South Korea
https://www.tasteatlas.com/bulgogi,https://cdn.tasteatlas.com//images/dishes/eee2ad665ef54610b8aeb5a43ce74677.jpg?mw=660,Meat Dish,Bulgogi,South Korea
https://www.tasteatlas.com/banchan,https://cdn.tasteatlas.com//images/dishes/5cc560fb728646eb8f525c7febff201e.jpg?mw=660,Assorted Small Dishes or Ritual,Banchan,South Korea
https://www.tasteatlas.com/kimbap,https://cdn.tasteatlas.com//Images/Dishes/31ddd0a3661844c8a10b858ab8151933.jpg?mw=660,Rice Dish,Kimbap,South Korea
https://www.tasteatlas.com/tteok,https://cdn.tasteatlas.com//images/dishes/b976c3359e2542cfa96ad108965e41b0.jpg?mw=660,Rice Dish,Tteok,South Korea
https://www.tasteatlas.com/tteokbokki,https://cdn.tasteatlas.com//Images/Dishes/4c07625c0fbb4d06b5463aa41e0cf202.jpg?mw=660,Rice Dish,Tteokbokki,South Korea
https://www.tasteatlas.com/jeon,https://cdn.tasteatlas.com//images/dishes/85969320cd7a4b66b98eaa607f2a7fa7.jpg?mw=660,Pancake,Jeon,South Korea
https://www.tasteatlas.com/samgyeopsal,https://cdn.tasteatlas.com//Images/Dishes/c14230796c20417186ae4b39681094be.jpg?mw=660,Pork Dish,Samgyeopsal,South Korea
https://www.tasteatlas.com/kalbi,https://cdn.tasteatlas.com//Images/Dishes/d172f44cf9de438e9eab70b69efb5b2f.jpg?mw=660,Beef Dish,Kalbi,South Korea
https://www.tasteatlas.com/japchae,https://cdn.tasteatlas.com//Images/Dishes/de88e75d820a4e0792bfd4e28956b78c.jpg?mw=660,Noodle Dish,Japchae,South Korea
https://www.tasteatlas.com/ansim-south-korea,https://cdn.tasteatlas.com//images/dishes/1d63f55edd9b4b279ec0eeae92d98dbc.jpg?mw=660,Meat Cut,Ansim,South Korea
https://www.tasteatlas.com/gui-korean-barbecue,https://cdn.tasteatlas.com//images/dishes/c1d576f485874b1192f5700d25a18a39.jpg?mw=660,Barbecue,Gui,South Korea
https://www.tasteatlas.com/sundubu-jjigae,https://cdn.tasteatlas.com//Images/Dishes/892102d48ed34a70b38e76b07011b071.jpg?mw=660,Stew,Sundubu jjigae,South Korea
https://www.tasteatlas.com/namul,https://cdn.tasteatlas.com//Images/Dishes/29ec3d5337464c93917e997d2c37a60b.jpg?mw=660,Vegetable Dish,Namul,South Korea
https://www.tasteatlas.com/dak-galbi,https://cdn.tasteatlas.com//Images/Dishes/aca37c6904954008adc47a251094432a.jpg?mw=660,Chicken Dish,Dak Galbi,South Korea
https://www.tasteatlas.com/gyeran-mari,https://cdn.tasteatlas.com//images/dishes/3c1f5f3aa7a4422cb9f09ef1c149052b.jpg?mw=660,Egg Dish,Gyeran mari,South Korea
https://www.tasteatlas.com/mandu,https://cdn.tasteatlas.com//images/dishes/5131b27e9b0743fca228f5bbdbd147e0.jpg?mw=660,Dumplings,Mandu,South Korea
https://www.tasteatlas.com/injeolmi,https://cdn.tasteatlas.com//Images/Dishes/4a4e5c842c4f4d5a9049c8fb6550a20c.jpg?mw=660,Rice Dish,Injeolmi,South Korea
https://www.tasteatlas.com/kimchi-jjigae,https://cdn.tasteatlas.com//images/dishes/ae3ceeeea5fe40d0a49dac8c3d82ca32.jpg?mw=660,Stew,Kimchi jjigae,South Korea
https://www.tasteatlas.com/jjapaguri,https://cdn.tasteatlas.com//images/dishes/7ccaa543b5ac42a983cbb46a627bfc11.jpg?mw=660,Noodle Dish,Jjapaguri,South Korea
https://www.tasteatlas.com/pa-kimchi,https://cdn.tasteatlas.com//images/dishes/b1d15b4e1fe7403d868827b5a2fde0a3.jpg?mw=660,Pickling,Pa kimchi,South Korea
https://www.tasteatlas.com/baechu-kimchi,https://cdn.tasteatlas.com//images/dishes/21e322172c8a49488d3c4068a377eefd.jpg?mw=660,Pickling,Baechu-kimchi,South Korea
https://www.tasteatlas.com/ssamjang,https://cdn.tasteatlas.com//images/dishes/4bba291c60954f9fbef3d7544606ab3f.jpg?mw=660,Dip,Ssamjang,South Korea
https://www.tasteatlas.com/samgak-gimbap,https://cdn.tasteatlas.com//images/dishes/1fbb4b1a4c01449b942befdf605328bc.jpg?mw=660,Rice Dish,Samgak gimbap,South Korea
https://www.tasteatlas.com/kimchi-bokkeumbap,https://cdn.tasteatlas.com//Images/Dishes/5f016129e4c04820838bbff885e504d5.jpg?mw=660,Rice Dish,Kimchi bokkeumbap,South Korea
https://www.tasteatlas.com/dakbokkeumtang,https://cdn.tasteatlas.com//Images/Dishes/11e28068646246b99479599f6ba58753.jpg?mw=660,Chicken Dish,Dakbokkeumtang,South Korea
https://www.tasteatlas.com/ssam,https://cdn.tasteatlas.com//images/dishes/36819f64c8eb4ac9bd9de2c51ea9a1b2.jpg?mw=660,Technique,Ssam,South Korea
https://www.tasteatlas.com/patbingsu,https://cdn.tasteatlas.com//Images/Dishes/41a4d9f75d104a1e96bbac828b91b9da.jpg?mw=660,Frozen Dessert,Patbingsu,South Korea
https://www.tasteatlas.com/bossam,https://cdn.tasteatlas.com//Images/Dishes/626cb09e273741b791f411523f790295.jpg?mw=660,Pork Dish,Bossam,South Korea
https://www.tasteatlas.com/jokbal,https://cdn.tasteatlas.com//images/dishes/31bd1b25fac54890a25c29113db2cb30.jpg?mw=660,Pork Dish,Jokbal,South Korea
