search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/paella,https://cdn.tasteatlas.com//images/dishes/0b456cded8e245acb83036114c806091.jpg?mw=660,Rice Dish,Paella,Spain
https://www.tasteatlas.com/chorizo,https://cdn.tasteatlas.com//images/dishes/5c1f3d5983594f4cad2f0e20fe445afb.jpg?mw=660,Sausage,Chorizo,Spain
https://www.tasteatlas.com/churros,https://cdn.tasteatlas.com//images/dishes/c14da069b266431293f85d910b99cfbd.jpg?mw=660,Fried Dough,Churros,Spain
https://www.tasteatlas.com/bocadillos,https://cdn.tasteatlas.com//images/dishes/f5e5c1c03f314ac88ea280c6102d7d09.jpg?mw=660,Sandwich type,Bocadillos,Spain
https://www.tasteatlas.com/cocido,https://cdn.tasteatlas.com//images/dishes/eea2981a658848efa154ebb50bc0d2d0.jpg?mw=660,Stew,Cocido,Spain
https://www.tasteatlas.com/croquetas,https://cdn.tasteatlas.com//images/dishes/b033d24deb024cffb94fdaaa837c9496.jpg?mw=660,Snack,Croquetas,Spain
https://www.tasteatlas.com/gazpacho,https://cdn.tasteatlas.com//Images/Dishes/fdad974a90b54222b63832a53845a867.jpg?mw=660,Vegetable Soup,Gazpacho,Spain
https://www.tasteatlas.com/migas,https://cdn.tasteatlas.com//Images/Dishes/23632b0686ef471ba3aa93626196f7b1.jpg?mw=660,Appetizer,Migas,Spain
https://www.tasteatlas.com/salmorejo,https://cdn.tasteatlas.com//Images/Dishes/495938c20a474ecca4f06f87c1f43f7a.jpg?mw=660,Cold Soup,Salmorejo,Spain
https://www.tasteatlas.com/merienda,https://cdn.tasteatlas.com//Images/Dishes/f9fa974ad43f4d478a93557b01b0a94b.jpg?mw=660,Assorted Small Dishes or Ritual,Merienda,Spain
https://www.tasteatlas.com/rosquillas,https://cdn.tasteatlas.com//images/dishes/4bbb29f3ccb04b8a991107d57b458e46.jpg?mw=660,Sweet Pastry,Rosquillas,Spain
