search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kottu,https://cdn.tasteatlas.com//Images/Dishes/79bfe7e4839440be81bba08b49b9bb9d.jpg?mw=660,Street Food,Kottu,Sri Lanka
https://www.tasteatlas.com/kiribath,https://cdn.tasteatlas.com//images/dishes/ff8c7ea8d058478f97f2cf5a47c9306b.jpg?mw=660,Rice Dish,Kiribath,Sri Lanka
https://www.tasteatlas.com/kokis,https://cdn.tasteatlas.com//Images/Dishes/5f25477ee8684aac89f58514a98abcd2.jpg?mw=660,Deep-fried Dessert,Kokis,Sri Lanka
https://www.tasteatlas.com/kool,https://cdn.tasteatlas.com//images/dishes/d74b29b05fe04403b768dab4f4d662d1.jpg?mw=660,Stew,Kool,Sri Lanka
https://www.tasteatlas.com/lamprais,https://cdn.tasteatlas.com//images/dishes/17e36164946e496b8d1b65e7987d8fe7.jpg?mw=660,Meat Dish,Lamprais,Sri Lanka
https://www.tasteatlas.com/kuzhambu,https://cdn.tasteatlas.com//Images/Dishes/a3121361c5044e0e981cc2673fe4bf4d.jpg?mw=660,Side Dish,Kuzhambu,Sri Lanka
https://www.tasteatlas.com/aluwa,https://cdn.tasteatlas.com//images/dishes/330ca773e3f84e17849471835704c676.jpg?mw=660,Dessert,Aluwa,Sri Lanka
https://www.tasteatlas.com/sri-lankan-rice-and-curry,https://cdn.tasteatlas.com//images/dishes/a7c96da4df74439f92e41ee94c6885d2.jpg?mw=660,Rice Dish,Sri Lankan Rice and Curry,Sri Lanka
https://www.tasteatlas.com/sri-lankan-crab-curry,https://cdn.tasteatlas.com//images/dishes/158b7b5d66c64e65a963fff61771e3f2.jpg?mw=660,Crab Dish,Sri Lankan Crab Curry,Sri Lanka
https://www.tasteatlas.com/lunumiris,https://cdn.tasteatlas.com//images/dishes/7ef0efe1cfb143169fea785e9edb7f11.jpg?mw=660,Dip,Lunumiris,Sri Lanka
https://www.tasteatlas.com/curd-and-treacle,https://cdn.tasteatlas.com//images/dishes/b1aceac8f3bd42d4bb0e198eec7933e1.jpg?mw=660,Dessert,Curd and treacle,Sri Lanka
https://www.tasteatlas.com/pani-appa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Pani appa,Sri Lanka
https://www.tasteatlas.com/aasmi,https://cdn.tasteatlas.com//images/dishes/a29d7ea6badf40b79516f6923facd3bd.jpg?mw=660,Dessert,Aasmi,Sri Lanka
https://www.tasteatlas.com/helapa,https://cdn.tasteatlas.com//images/dishes/cac25a7fbc9a49e4a685288e88be9b76.jpg?mw=660,Dessert,Helapa,Sri Lanka
https://www.tasteatlas.com/avocado-crazy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Avocado Crazy,Sri Lanka
https://www.tasteatlas.com/brinjal-moju,https://cdn.tasteatlas.com//images/dishes/aeea3b3f77c242af862b25bf313eab5d.jpg?mw=660,Side Dish,Brinjal moju,Sri Lanka
https://www.tasteatlas.com/pol-sambola,https://cdn.tasteatlas.com//images/dishes/ab9c23d9434f4392a699af834b42a381.jpg?mw=660,Side Dish,Pol sambola,Sri Lanka
https://www.tasteatlas.com/mutton-rolls,https://cdn.tasteatlas.com//images/dishes/481cc73a5efa41debcac96ff960dd523.jpg?mw=660,Snack,Mutton Rolls,Sri Lanka
https://www.tasteatlas.com/gova-mallung,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Vegetable Dish,Gova mallung,Sri Lanka
https://www.tasteatlas.com/aggala,https://cdn.tasteatlas.com//images/dishes/fa29710e6e6d4e8abc2ea569e9201bfc.jpg?mw=660,Snack,Aggala,Sri Lanka
https://www.tasteatlas.com/athirasa,https://cdn.tasteatlas.com//images/dishes/78bd49b1e9d645fbae658b12a97c1fc9.jpg?mw=660,Sweet Pastry,Athirasa,Sri Lanka
https://www.tasteatlas.com/lavariya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Snack,Lavariya,Sri Lanka
https://www.tasteatlas.com/kallappam-sri-lanka,https://cdn.tasteatlas.com//images/dishes/2e5edb333820435e9073daa46bd42d25.jpg?mw=660,Pancake,Kallappam,Sri Lanka
https://www.tasteatlas.com/leeks-mirisata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Leeks mirisata,Sri Lanka
https://www.tasteatlas.com/ogu-ruloung,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Egg Dish,Ogu ruloung,Sri Lanka
