search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kottbullar,https://cdn.tasteatlas.com//Images/Dishes/7ac82c476f1744dba52b2d7f698f3e85.jpg?mw=660,Meatballs,KÃ¶ttbullar,Sweden
https://www.tasteatlas.com/smorgasbord,https://cdn.tasteatlas.com//images/dishes/43e4a33a7a3f4fa6a2cb33ba4b239996.jpg?mw=660,Assorted Small Dishes or Ritual,SmÃ¶rgÃ¥sbord,Sweden
https://www.tasteatlas.com/vafflor,https://cdn.tasteatlas.com//Images/Dishes/054e60e9196d46adaf482b32bd3d79a3.jpg?mw=660,Dessert,VÃ¥fflor,Sweden
https://www.tasteatlas.com/cinnamon-roll,https://cdn.tasteatlas.com//Images/Dishes/7975632f4073484b95a3d13f2f36bcb2.jpg?mw=660,Sweet Pastry,Kanelbulle,Sweden
https://www.tasteatlas.com/kladdkaka,https://cdn.tasteatlas.com//images/dishes/ec8b8a75b70d4c3289e90e91c1b3f2c9.jpg?mw=660,Chocolate Cake,Kladdkaka,Sweden
https://www.tasteatlas.com/knackebrod,https://cdn.tasteatlas.com//Images/Dishes/6e1fcd837386433fba0c7c5bf93761aa.jpg?mw=660,Flatbread,KnÃ¤ckebrÃ¶d,Sweden
https://www.tasteatlas.com/semla,https://cdn.tasteatlas.com//images/dishes/e9c59029ee1043d9818c0b447add6d37.jpg?mw=660,Sweet Pastry,Semla,Sweden
https://www.tasteatlas.com/palt,https://cdn.tasteatlas.com//images/dishes/2a91c4f8e4ab4adaa29198ea81a786d8.jpg?mw=660,Dumplings,Palt,Sweden
https://www.tasteatlas.com/smorgastarta,https://cdn.tasteatlas.com//images/dishes/2e964e3bf4ab4f2cadf096f163aa9b36.jpg?mw=660,Sandwich type,SmÃ¶rgÃ¥stÃ¥rta,Sweden
https://www.tasteatlas.com/artsoppa,https://cdn.tasteatlas.com//Images/Dishes/81af09f6b7d44a92aef292c444c3a2de.jpg?mw=660,Vegetable Soup,Ãrtsoppa,Sweden
https://www.tasteatlas.com/toast-skagen,https://cdn.tasteatlas.com//images/dishes/8013977ab4d74859b35434b1b67c3a59.jpg?mw=660,Sandwich,Toast Skagen,Sweden
https://www.tasteatlas.com/lingonberry-jam,https://cdn.tasteatlas.com//Images/Dishes/dfda46a38ec94dc4b3b4e9c0a9103661.jpg?mw=660,Spread,Lingonberry Jam,Sweden
https://www.tasteatlas.com/julskinka,https://cdn.tasteatlas.com//images/dishes/2a4dcd970e964108afd601cb07bda205.jpg?mw=660,Pork Dish,Julskinka,Sweden
https://www.tasteatlas.com/prinsesstarta,https://cdn.tasteatlas.com//images/dishes/04cdbb156ee7440386ccf597b5892ef1.jpg?mw=660,Cake,PrinsesstÃ¥rta,Sweden
https://www.tasteatlas.com/honokaka,https://cdn.tasteatlas.com//images/dishes/562f38ab00a04dcea513301132fec76e.jpg?mw=660,Flatbread,HÃ¶nÃ¶kaka,Sweden
https://www.tasteatlas.com/knack,https://cdn.tasteatlas.com//images/dishes/dcb3b5973e9f4749a617763a7ce6332a.jpg?mw=660,Dessert,KnÃ¤ck,Sweden
https://www.tasteatlas.com/ostkaka,https://cdn.tasteatlas.com//images/dishes/5d1eeadf872744829424a4ad0a10aa09.jpg?mw=660,Cheese Dessert,Ostkaka,Sweden
https://www.tasteatlas.com/saffransbullar,https://cdn.tasteatlas.com//images/dishes/352b70143e5e46a3ab6c4a8cef34382d.jpg?mw=660,Sweet Bread,Saffransbullar,Sweden
https://www.tasteatlas.com/hasselbackspotatis,https://cdn.tasteatlas.com//images/dishes/45b350b6b232467e9679355b62ddbdc4.jpg?mw=660,Potato Dish,Hasselbackspotatis,Sweden
https://www.tasteatlas.com/kalops,https://cdn.tasteatlas.com//images/dishes/95e31b8a1fee4f6ea2c4e0e6c327adba.jpg?mw=660,Stew,Kalops,Sweden
https://www.tasteatlas.com/kaldolmar,https://cdn.tasteatlas.com//images/dishes/8d2e05af03044aae88af0c05a1a1ca82.jpg?mw=660,Meat Dish,KÃ¥ldolmar,Sweden
https://www.tasteatlas.com/tunnbrod,https://cdn.tasteatlas.com//images/dishes/c3e98723b7ec4607bc720da8c29f21b9.jpg?mw=660,Flatbread,TunnbrÃ¶d,Sweden
https://www.tasteatlas.com/blodpudding,https://cdn.tasteatlas.com//images/dishes/9fb5b12e8ba742fbba86fd458eb89bc2.jpg?mw=660,Blood Sausage,Blodpudding,Sweden
https://www.tasteatlas.com/wallenbergare,https://cdn.tasteatlas.com//images/dishes/a78b39a324164374a947a565f50fe8dd.jpg?mw=660,Veal Dish,Wallenbergare,Sweden
https://www.tasteatlas.com/janssons-frestelse,https://cdn.tasteatlas.com//images/dishes/9721b5661d6e4fc49fa6589804e7e01f.jpg?mw=660,Casserole,Janssons frestelse,Sweden
https://www.tasteatlas.com/inlagd-sill,https://cdn.tasteatlas.com//images/dishes/5ad61213bdd042958fe596990b960776.jpg?mw=660,Saltwater Fish Dish,Inlagd Sill,Sweden
https://www.tasteatlas.com/korv-stroganoff,https://cdn.tasteatlas.com//images/dishes/ee4957f658c1421fadd147f43090fddf.jpg?mw=660,Stew,Korv Stroganoff,Sweden
https://www.tasteatlas.com/raggmunk,https://cdn.tasteatlas.com//images/dishes/9cd9e5140fd746639186c78a0df653e0.jpg?mw=660,Pancake,Raggmunk,Sweden
https://www.tasteatlas.com/prinskorv,https://cdn.tasteatlas.com//images/dishes/b37e22eca38b42498c5a4f13e4827e33.jpg?mw=660,Sausage,Prinskorv,Sweden
https://www.tasteatlas.com/smulpaj,https://cdn.tasteatlas.com//images/dishes/1ecd1a7af18541deb59711e86878b553.jpg?mw=660,Sweet Pie,Smulpaj,Sweden
https://www.tasteatlas.com/isterbandkorv,https://cdn.tasteatlas.com//images/dishes/eb3295ab9563495a9b87f8eda1cdc54b.jpg?mw=660,Sausage,Isterband,Sweden
