search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/fondue,https://cdn.tasteatlas.com//Images/Dishes/79b9b4bc2e8140659f854da1dced600c.jpg?mw=660,Dipping Sauce,Fondue,Switzerland
https://www.tasteatlas.com/meringue,https://cdn.tasteatlas.com//Images/Dishes/067b25afb8124d089b73c9e595a7ad62.jpg?mw=660,Dessert,Meringue,Switzerland
https://www.tasteatlas.com/cordon-bleu,https://cdn.tasteatlas.com//images/dishes/ed4e3c89a6e541a2acd6a61be25247df.jpg?mw=660,Meat Dish,Cordon Bleu,Switzerland
https://www.tasteatlas.com/raclette,https://cdn.tasteatlas.com//images/dishes/121615a703904269914afa48cfcf5091.jpg?mw=660,Cheese Dish,Raclette,Switzerland
https://www.tasteatlas.com/zopf,https://cdn.tasteatlas.com//Images/Dishes/4645991de7a84959a267a02a3371da4c.jpg?mw=660,Bread,Zopf,Switzerland
https://www.tasteatlas.com/rosti,https://cdn.tasteatlas.com//Images/Dishes/da785950e41847d29aecbff22642576e.jpg?mw=660,Side Dish,RÃ¶sti,Switzerland
https://www.tasteatlas.com/fondue-bourguignonne,https://cdn.tasteatlas.com//images/dishes/e8918e3ffe544c4981b428a95793328a.jpg?mw=660,Meat Dish,Fondue Bourguignonne,Switzerland
https://www.tasteatlas.com/swiss-meringue,https://cdn.tasteatlas.com//Images/Dishes/9c943ed1b82549d1af78a42b2c7dcc14.jpg?mw=660,Dessert,Swiss Meringue,Switzerland
https://www.tasteatlas.com/cervelat,https://cdn.tasteatlas.com//images/dishes/481804fa7e81410393b2f7a97c828388.jpg?mw=660,Sausage,Cervelat,Switzerland
https://www.tasteatlas.com/saffron-risotto,https://cdn.tasteatlas.com//images/dishes/f1437f00e4284e6d8760895d4b7e4555.jpg?mw=660,Rice Dish,Saffron Risotto,Switzerland
https://www.tasteatlas.com/basler-lackerli,https://cdn.tasteatlas.com//images/dishes/d749762c667c46538866daf31b2bef93.jpg?mw=660,Cookie,Basler LÃ¤ckerli,Switzerland
https://www.tasteatlas.com/zurcher-geschnetzeltes,https://cdn.tasteatlas.com//images/dishes/cd5fe399614943baaba8935e24521b09.jpg?mw=660,Veal Dish,ZÃ¼rcher Geschnetzeltes,Switzerland
https://www.tasteatlas.com/wahe,https://cdn.tasteatlas.com//images/dishes/9aea1748fbe6463ca891c993e1a90309.jpg?mw=660,Tart,WÃ¤he,Switzerland
https://www.tasteatlas.com/capuns,https://cdn.tasteatlas.com//images/dishes/d529ce542e9643eb8235b1b3752138aa.jpg?mw=660,Meat Dish,Capuns,Switzerland
https://www.tasteatlas.com/papet-vaudois,https://cdn.tasteatlas.com//images/dishes/3b38a02773e0475aa5e36b5b5177e999.jpg?mw=660,Vegetable Dish,Papet Vaudois,Switzerland
https://www.tasteatlas.com/carac,https://cdn.tasteatlas.com//images/dishes/f819d4a384b14794beb30e3c45795edb.jpg?mw=660,Sweet Pastry,Carac,Switzerland
https://www.tasteatlas.com/hefekranz,https://cdn.tasteatlas.com//images/dishes/4ee1dc97eaf240c2a209fb79563b0f99.jpg?mw=660,Sweet Bread,Hefekranz,Switzerland
https://www.tasteatlas.com/birnbrot,https://cdn.tasteatlas.com//images/dishes/f4892e839ac44e588ee31e1d5b022308.jpg?mw=660,Sweet Pastry,Birnbrot,Switzerland
https://www.tasteatlas.com/alplermagronen,https://cdn.tasteatlas.com//images/dishes/8c9c5f78e85943e897f2d4ff41406507.jpg?mw=660,Pasta,Ãlplermagronen,Switzerland
https://www.tasteatlas.com/riz-casimir,https://cdn.tasteatlas.com//images/dishes/6ee0ab6c621341098b1b175a5a173d35.jpg?mw=660,Rice Dish,Riz Casimir,Switzerland
https://www.tasteatlas.com/bundner-gerstensuppe,https://cdn.tasteatlas.com//images/dishes/ed8fc5d6350343edbefb1780a4bb31ac.jpg?mw=660,Soup,BÃ¼ndner Gerstensuppe,Switzerland
https://www.tasteatlas.com/tomato-fondue,https://cdn.tasteatlas.com//images/dishes/f23552ed43674f6f9de22588d8c9ae36.jpg?mw=660,Dipping Sauce,Tomato Fondue,Switzerland
https://www.tasteatlas.com/berner-platte,https://cdn.tasteatlas.com//images/dishes/b82aa03dcfe548bc8b9823b8ba9cedc7.jpg?mw=660,Meat Dish,Berner Platte,Switzerland
https://www.tasteatlas.com/schublig,https://cdn.tasteatlas.com//images/dishes/d5276fb2aa844981a3ade5b7577cabfc.jpg?mw=660,Sausage,SchÃ¼blig,Switzerland
https://www.tasteatlas.com/zuger-kirschtorte,https://cdn.tasteatlas.com//images/dishes/63de1d852c4d41f39c3d185ed27bcfa2.jpg?mw=660,Cake,Zuger Kirschtorte,Switzerland
https://www.tasteatlas.com/bundner-nusstorte,https://cdn.tasteatlas.com//images/dishes/e30eb8ebace641ea96875c7a0635fe5e.jpg?mw=660,Tart,BÃ¼ndner Nusstorte,Switzerland
https://www.tasteatlas.com/basler-mehlsuppe,https://cdn.tasteatlas.com//images/dishes/c05ad03df9ef490db352d22022ccd4ee.jpg?mw=660,Soup,Basler Mehlsuppe,Switzerland
https://www.tasteatlas.com/heusuppe,https://cdn.tasteatlas.com//images/dishes/9df26b4bc94343f7b8bdc4cf6a5ed068.jpg?mw=660,Soup,Heusuppe,Switzerland
https://www.tasteatlas.com/boutefas,https://cdn.tasteatlas.com//images/dishes/85362d34054e45409caf317ad1b9f303.jpg?mw=660,Sausage,Boutefas,Switzerland
https://www.tasteatlas.com/cafe-de-paris-sauce,https://cdn.tasteatlas.com//images/dishes/f847fb8c00354aa1a77ad93f10665443.jpg?mw=660,Meat-based Sauce,CafÃ© de Paris Sauce,Switzerland
https://www.tasteatlas.com/longeole,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Sausage,Longeole,Switzerland
https://www.tasteatlas.com/tirggel,https://cdn.tasteatlas.com//images/dishes/3b9a91a6967f461a9fffa055ce0eede1.jpg?mw=660,Cookie,Tirggel,Switzerland
https://www.tasteatlas.com/pane-ticinese,https://cdn.tasteatlas.com//images/dishes/ee496ac790524b88a681b1b8ed0c63fc.jpg?mw=660,Bread,Pane Ticinese,Switzerland
https://www.tasteatlas.com/churer-fleischtorte,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Savory Pie,Churer Fleischtorte,Switzerland
https://www.tasteatlas.com/hafechabis,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Hafechabis,Switzerland
https://www.tasteatlas.com/torta-di-pane-ticinese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Torta di pane ticinese,Switzerland
https://www.tasteatlas.com/stunggis,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Stunggis,Switzerland
https://www.tasteatlas.com/lummelbraten,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Beef Dish,Lummelbraten,Switzerland
https://www.tasteatlas.com/maluns,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Side Dish,Maluns,Switzerland
https://www.tasteatlas.com/spanisch-brotli,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Sweet Pastry,Spanisch BrÃ¶tli,Switzerland
https://www.tasteatlas.com/blue-cake,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pastry,Blue Cake,Switzerland
https://www.tasteatlas.com/cuchaule,https://cdn.tasteatlas.com//images/dishes/c896361fcb364e3c8847bd149370cf7b.jpg?mw=660,Bread,Cuchaule,Switzerland
https://www.tasteatlas.com/berner-rosti,https://cdn.tasteatlas.com//images/dishes/8bba0f82c13c445883cf1bb9294d6e4d.jpg?mw=660,Side Dish,Berner rÃ¶sti,Switzerland
https://www.tasteatlas.com/pane-valle-maggia,https://cdn.tasteatlas.com//images/dishes/ac3bc783289049e4b2f83bc81bdaa19a.jpg?mw=660,Bread,Pane Valle Maggia,Switzerland
https://www.tasteatlas.com/polenta-ticinese,https://cdn.tasteatlas.com//images/dishes/7f2a9621966048f4b7a737ab51a2790e.jpg?mw=660,Porridge,Polenta Ticinese,Switzerland
https://www.tasteatlas.com/kalberwurst,https://cdn.tasteatlas.com//images/dishes/2a04954d5f9340a0b60bbfd3a101e441.jpg?mw=660,Sausage,Kalberwurst,Switzerland
https://www.tasteatlas.com/birnenhonig,https://cdn.tasteatlas.com//images/dishes/192eb34e5a954bc88050ce049f8a226e.jpg?mw=660,Spread,Birnenhonig,Switzerland
https://www.tasteatlas.com/soledurner-wysuppli,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Soup,Soledurner wysÃ¼ppli,Switzerland
https://www.tasteatlas.com/cholera,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Savory Pie,Cholera,Switzerland
https://www.tasteatlas.com/walliser-roggenbrot,https://cdn.tasteatlas.com//images/dishes/55877ad7fe964bcc8c9e4d8e34ffbf15.jpg?mw=660,Bread,Walliser Roggenbrot,Switzerland
https://www.tasteatlas.com/burebrot,https://cdn.tasteatlas.com//images/dishes/1e477bc871dc47109e9967caaf3a6864.jpg?mw=660,Bread,Burebrot,Switzerland
https://www.tasteatlas.com/totche,https://cdn.tasteatlas.com//images/dishes/cc3e254c1b9947e8865ab175b6ef3b7b.jpg?mw=660,Appetizer,TotchÃ©,Switzerland
https://www.tasteatlas.com/basler-brot,https://cdn.tasteatlas.com//images/dishes/dcf661829f9545ea97434d55058e4107.jpg?mw=660,Bread,Basler Brot,Switzerland
https://www.tasteatlas.com/meitschibei,https://cdn.tasteatlas.com//images/dishes/4dde1d1ad4ae4d8ea3c1e7beab7bb8bc.jpg?mw=660,Sweet Pastry,Meitschibei,Switzerland
https://www.tasteatlas.com/st-galler-brot,https://cdn.tasteatlas.com//images/dishes/e15ad717a2f343b4974406c5857e9a46.jpg?mw=660,Bread,St. Galler Brot,Switzerland
https://www.tasteatlas.com/cholermus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pancake,Cholermus,Switzerland
https://www.tasteatlas.com/brischtner-nytla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Brischtner NytlÃ¤,Switzerland
https://www.tasteatlas.com/hornli-und-kartoffeln,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pasta,HÃ¶rnli und Kartoffeln,Switzerland
https://www.tasteatlas.com/fondue-genevoise,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dipping Sauce,Fondue genevoise,Switzerland
https://www.tasteatlas.com/thurgauer-kaseschnitten,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Thurgauer KÃ¤seschnitten,Switzerland
