search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com//Images/Dishes/7e45878178134a20aaff2d2246fd500c.jpg?mw=660,Dip,Tahini,Syria
https://www.tasteatlas.com/mahshi,https://cdn.tasteatlas.com//Images/Dishes/6253be9674dd4613a042d1a5365d8b18.jpg?mw=660,Ground Meat Dish,Mahshi,Syria
https://www.tasteatlas.com/muhammara,https://cdn.tasteatlas.com//Images/Dishes/e5ea0a35377649898c08281ee5cd9f81.jpg?mw=660,Dip,Muhammara,Syria
https://www.tasteatlas.com/awameh,https://cdn.tasteatlas.com//Images/Dishes/fea25d21258f4b338e22d45ca6c60a17.jpg?mw=660,Sweet Pastry,Awameh,Syria
https://www.tasteatlas.com/makdous,https://cdn.tasteatlas.com//images/dishes/253935c6ffbd48929430ec74e32ba4d8.jpg?mw=660,Vegetable Dish,Makdous,Syria
https://www.tasteatlas.com/booza,https://cdn.tasteatlas.com//images/dishes/ebf7587bed02488b95fd0a2198addfdd.jpg?mw=660,Ice Cream,Booza,Syria
https://www.tasteatlas.com/ballourieh,https://cdn.tasteatlas.com//images/dishes/6b7edd02e02d4a659a05b1c200db2cfe.jpg?mw=660,Dessert,Ballourieh,Syria
https://www.tasteatlas.com/halawet-el-jeben,https://cdn.tasteatlas.com//images/dishes/a1008d8c9b664b20a8fddda74ef7093c.jpg?mw=660,Cheese Dessert,Halawet el-jeben,Syria
https://www.tasteatlas.com/hummus-syria,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,Dip,Hummus,Syria
https://www.tasteatlas.com/zilabiyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pancake,Zlebiye,Syria
https://www.tasteatlas.com/kunafah-syria,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,Sweet Pastry,KunÄfah,Syria
https://www.tasteatlas.com/labneh-syria,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,Dip,Labneh,Syria
https://www.tasteatlas.com/kubbah-bi-as-siniyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meat Dish,Kubbah bi-aá¹£-sÄ«nÄ«yah,Syria
https://www.tasteatlas.com/fattah-makdus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Casserole,Fattah makdus,Syria
https://www.tasteatlas.com/kubbah-labaniyah,https://cdn.tasteatlas.com//images/dishes/5674e4aab77d4f0090a6efe0c45a9c97.jpg?mw=660,Meat Soup,Kubbah labanÄ«yah,Syria
https://www.tasteatlas.com/karabij-halab,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cookie,Karabij halab,Syria
https://www.tasteatlas.com/maqluba-syria,https://cdn.tasteatlas.com//images/dishes/37c2673a6c914365946f2402e74ee0e0.jpg?mw=660,Rice Dish,Maqluba,Syria
https://www.tasteatlas.com/kubbah-hamda,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Meat Soup,Kubbah hÄmá¸a,Syria
https://www.tasteatlas.com/kubbah-summaqiyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meatballs,Kubbah summÄqÄ«yah,Syria
https://www.tasteatlas.com/fattah-djaj,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Appetizer,Fattah djaj,Syria
https://www.tasteatlas.com/maamoul-syria,https://cdn.tasteatlas.com//Images/Dishes/8cd1a7bee211432d893d12eae9912883.jpg?mw=660,Cookie,Ma'amoul,Syria
https://www.tasteatlas.com/fattah-bi-al-lahm,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Breakfast,Fattah bi-al-lahm,Syria
https://www.tasteatlas.com/mutabal-syria,https://cdn.tasteatlas.com//images/dishes/16b7c00d2edd4d4da9657cc19e4e9d9a.jpg?mw=660,Dip,Mutabal,Syria
https://www.tasteatlas.com/swar-as-sitt,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Swar as-sitt,Syria
https://www.tasteatlas.com/kubbah-safarjaliyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Meat Soup,Kubbah safarjalÄ«yah,Syria
https://www.tasteatlas.com/taj-al-malek,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dessert,Taj al malek,Syria
https://www.tasteatlas.com/fattah-bi-as-samna,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Breakfast,Fattah bi-as-samna,Syria
https://www.tasteatlas.com/kubbah-qras,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Ground Meat Dish,Kubbah qrÄá¹£,Syria
https://www.tasteatlas.com/fattah-maadem,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Casserole,Fattah maâadem,Syria
https://www.tasteatlas.com/fattah-bi-az-zayt,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Breakfast,Fattah bi-az-zayt,Syria
https://www.tasteatlas.com/fattah-kawaree,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Casserole,Fattah kaware'e,Syria
