search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/ugali,https://cdn.tasteatlas.com//Images/Dishes/985b4a554d78412095570839c5b09b3e.jpg?mw=660,Side Dish,Ugali,Tanzania
https://www.tasteatlas.com/mchicha,https://cdn.tasteatlas.com//images/dishes/74bb396415974864b611c299280d3f1d.jpg?mw=660,Vegetable Dish,Mchicha,Tanzania
https://www.tasteatlas.com/mshikaki,https://cdn.tasteatlas.com//images/dishes/96ce3395fcc4436f996b00fc13718bda.jpg?mw=660,Meat Dish,Mshikaki,Tanzania
https://www.tasteatlas.com/mandazi,https://cdn.tasteatlas.com//images/dishes/daee73a40f3049ffb2b7712a0e33feb7.jpg?mw=660,Sweet Pastry,Mandazi,Tanzania
https://www.tasteatlas.com/mchemsho,https://cdn.tasteatlas.com//images/dishes/5664afdd899942418a7d803b72bf3fc0.jpg?mw=660,Vegetable Dish,Mchemsho,Tanzania
https://www.tasteatlas.com/zanzibar-pizza,https://cdn.tasteatlas.com//images/dishes/f8a109c9f15840f39617a4a266fcab13.jpg?mw=660,Street Food,Zanzibar pizza,Tanzania
https://www.tasteatlas.com/ndizi-na-nyama,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Ndizi na nyama,Tanzania
https://www.tasteatlas.com/chipsi-mayai,https://cdn.tasteatlas.com//images/dishes/3aab12d9a19444d8ad322b8ff20c6d32.jpg?mw=660,Egg Dish,Chipsi mayai,Tanzania
https://www.tasteatlas.com/wali-wa-nazi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Wali wa nazi,Tanzania
https://www.tasteatlas.com/mchuzi-wa-samaki,https://cdn.tasteatlas.com//images/dishes/d398f08b537c4c319ff062072f3f4f10.jpg?mw=660,Saltwater Fish Dish,Mchuzi wa samaki,Tanzania
https://www.tasteatlas.com/samaki-wa-kupaka,https://cdn.tasteatlas.com//images/dishes/698539d140dc424082e1f3a5c5ee9f36.jpg?mw=660,Fish Dish,Samaki wa kupaka,Tanzania
https://www.tasteatlas.com/wali-na-maharage,https://cdn.tasteatlas.com//images/dishes/72985a7c083145c4989f373424e0762f.jpg?mw=660,Rice Dish,Wali na maharage,Tanzania
https://www.tasteatlas.com/mchuzi-wa-biringani,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Mchuzi wa biringani,Tanzania
https://www.tasteatlas.com/supu-ya-ndizi,https://cdn.tasteatlas.com//images/dishes/db64b297676c40d6909db6a9edfd1ee3.jpg?mw=660,Soup,Supu ya ndizi,Tanzania
https://www.tasteatlas.com/ndizi-kaanga,https://cdn.tasteatlas.com//images/dishes/c26d6b0c6a6d4e7883eaec864e7f4284.jpg?mw=660,Side Dish,Ndizi kaanga,Tanzania
