search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pad-thai,https://cdn.tasteatlas.com//images/dishes/ad3ef1fb39eb42958e7462961951e45c.jpg?mw=660,Noodle Dish,Pad Thai,Thailand
https://www.tasteatlas.com/thai-curry,https://cdn.tasteatlas.com//Images/Dishes/4dccb29bd2ee4ba1800699a4f6c23413.jpg?mw=660,Stew,Thai Curry,Thailand
https://www.tasteatlas.com/tom-yum,https://cdn.tasteatlas.com//Images/Dishes/4eb244d172a44fe7b0a7379e03a7ba89.jpg?mw=660,Soup,Tom yum,Thailand
https://www.tasteatlas.com/kaeng-khiao-wan,https://cdn.tasteatlas.com//Images/Dishes/a420a0493a9b419d91f4d7b2f3dc3606.jpg?mw=660,Stew,Green Curry,Thailand
https://www.tasteatlas.com/yellow-curry,https://cdn.tasteatlas.com//Images/Dishes/272a57ca6437461288b69f6f1588de03.jpg?mw=660,Stew,Yellow Curry,Thailand
https://www.tasteatlas.com/som-tam,https://cdn.tasteatlas.com//Images/Dishes/eff874245bd145739d6cf2f56e54743f.jpg?mw=660,Salad,Som tam,Thailand
https://www.tasteatlas.com/tom-kha-gai,https://cdn.tasteatlas.com//Images/Dishes/9bf54bc8b6ae431db23b5919b7442ce9.jpg?mw=660,Chicken Soup,Tom kha gai,Thailand
https://www.tasteatlas.com/red-curry,https://cdn.tasteatlas.com//Images/Dishes/4498dce9deb94b6aba4c6b221269f307.jpg?mw=660,Stew,Red Curry,Thailand
https://www.tasteatlas.com/massaman-curry,https://cdn.tasteatlas.com//Images/Dishes/9cac129f40d9404e9f1d759809ab7dd6.jpg?mw=660,Stew,Massaman Curry,Thailand
https://www.tasteatlas.com/kai-yang,https://cdn.tasteatlas.com//Images/Dishes/e23aa44f612441058cec7d8c0628fd42.jpg?mw=660,Chicken Dish,Thai Grilled Chicken (Kai yang),Thailand
https://www.tasteatlas.com/khao-niao-mamuang,https://cdn.tasteatlas.com//images/dishes/affbfbd16972411ebba5219d12a3c793.jpg?mw=660,Pudding,Khao niao mamuang,Thailand
https://www.tasteatlas.com/phanaeng-curry,https://cdn.tasteatlas.com//Images/Dishes/fe7489959eb04196b52925b11480137e.jpg?mw=660,Stew,Phanaeng Curry,Thailand
https://www.tasteatlas.com/ruam-mit,https://cdn.tasteatlas.com//Images/Dishes/ca7b4d0fbfe346fca8b05a83e5fb7cd8.jpg?mw=660,Dessert,Ruam mit,Thailand
https://www.tasteatlas.com/khao-soi,https://cdn.tasteatlas.com//Images/Dishes/e3f26dc25407497dba553b55442a790f.jpg?mw=660,Soup,Khao soi,Thailand
https://www.tasteatlas.com/currypaste,https://cdn.tasteatlas.com//images/dishes/b0b39d16bac14bb3848addbaff0ad464.jpg?mw=660,Sauce,Curry Paste,Thailand
https://www.tasteatlas.com/khao-lam,https://cdn.tasteatlas.com//Images/Dishes/2b37f6e241374dd0b219321637d351a5.jpg?mw=660,Dessert,Khao lam,Thailand
https://www.tasteatlas.com/mi-krop,https://cdn.tasteatlas.com//images/dishes/e396a8d718554d568eeec4e26a945785.jpg?mw=660,Noodle Dish,Mee krob,Thailand
https://www.tasteatlas.com/khao-mok-gai,https://cdn.tasteatlas.com//images/dishes/ef680819d36a49d7a74d275ff339aea2.jpg?mw=660,Chicken Dish,Khao mok gai,Thailand
https://www.tasteatlas.com/khao-tom,https://cdn.tasteatlas.com//images/dishes/cb24a7ad48e544d9a0968ba579d8e6b9.jpg?mw=660,Soup,Khao tom,Thailand
https://www.tasteatlas.com/khao-phat,https://cdn.tasteatlas.com//images/dishes/29799fb95dcd473d8100bfa526a4a148.jpg?mw=660,Rice Dish,Khao phat,Thailand
https://www.tasteatlas.com/khao-ka-mu,https://cdn.tasteatlas.com//images/dishes/e3624dc5d087442db14c45bc19119801.jpg?mw=660,Pork Dish,Khao kha mu,Thailand
https://www.tasteatlas.com/phat-kaphrao,https://cdn.tasteatlas.com//images/dishes/ac07712d9bcc40bbb2deb4a2038b2733.jpg?mw=660,Ground Meat Dish,Phat kaphrao,Thailand
https://www.tasteatlas.com/pla-thot,https://cdn.tasteatlas.com//images/dishes/612c85ef75764e8595126efa53843154.jpg?mw=660,Fish Dish,Pla thot,Thailand
https://www.tasteatlas.com/kuai-tiao-ruea,https://cdn.tasteatlas.com//images/dishes/c498c608efc243a3ba8aa68e109aea01.jpg?mw=660,Noodle Dish,Kuai-tiao ruea,Thailand
https://www.tasteatlas.com/goong-ob-woon-sen,https://cdn.tasteatlas.com//images/dishes/e13ebd4a08bf4e828546e8654a5e5e16.jpg?mw=660,Noodle Dish,Thai Shrimp and Glass Noodles (Goong ob woon sen),Thailand
https://www.tasteatlas.com/khao-khluk-kapi,https://cdn.tasteatlas.com//images/dishes/c33dbd62fd834fd4b0d7423f7b0507d0.jpg?mw=660,Rice Dish,Khao khluk kapi,Thailand
https://www.tasteatlas.com/suki,https://cdn.tasteatlas.com//Images/Dishes/10c206a4463e403a9218c47c5838a072.jpg?mw=660,Soup,Suki,Thailand
https://www.tasteatlas.com/yen-ta-fo,https://cdn.tasteatlas.com//Images/Dishes/5ac53d8672b64782bac0bae2e93ac448.jpg?mw=660,Soup,Yen ta fo,Thailand
https://www.tasteatlas.com/mooncake-thailand,https://cdn.tasteatlas.com//Images/Dishes/76c513e6c3214386b6c1dd9c98a564cc.jpg?mw=660,Sweet Pastry,Mooncake,Thailand
https://www.tasteatlas.com/mu-kratha,https://cdn.tasteatlas.com//images/dishes/5bd3515dbb584ba38357689ee28a3ee7.jpg?mw=660,Meat Dish,Mu kratha,Thailand
https://www.tasteatlas.com/chim-chum,https://cdn.tasteatlas.com//images/dishes/3d787f690d37439f8123148ef0dcca14.jpg?mw=660,Meat Dish,Thai Meat Hotpot with Galangal and Lemongrass (Chim chum),Thailand
https://www.tasteatlas.com/mu-wan,https://cdn.tasteatlas.com//images/dishes/f1ffecb647a341c796f93c4996c86781.jpg?mw=660,Pork Dish,Mu wan,Thailand
https://www.tasteatlas.com/phat-phrik,https://cdn.tasteatlas.com//images/dishes/9fd036c20fa2440d99b42d3244337d72.jpg?mw=660,Meat Dish,Phat phrik,Thailand
https://www.tasteatlas.com/khanom-khrok,https://cdn.tasteatlas.com//images/dishes/a2517fe49b9941dd92c67404a56004c5.jpg?mw=660,Pancake,Khanom khrok,Thailand
https://www.tasteatlas.com/khua-kling,https://cdn.tasteatlas.com//images/dishes/eb8f5e4962d14159b31684a97e00368a.jpg?mw=660,Ground Meat Dish,Khua kling,Thailand
https://www.tasteatlas.com/tom-saep,https://cdn.tasteatlas.com//images/dishes/6789bf2c99a0482995631ffd09c09d90.jpg?mw=660,Soup,Tom saep,Thailand
https://www.tasteatlas.com/chao-kuai,https://cdn.tasteatlas.com//images/dishes/6868403a5a554aa9b50745aac839aac7.jpg?mw=660,Dessert,Grass Jelly (Chao kuai),Thailand
https://www.tasteatlas.com/foi-thong,https://cdn.tasteatlas.com//images/dishes/68670dfafdb94f5bb8e34cde545aa434.jpg?mw=660,Dessert,Golden Threads (Foi thong),Thailand
