search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/trinidad-pelau,https://cdn.tasteatlas.com//Images/Dishes/d92a780540184408aeafc3ebce9f4349.jpg?mw=660,Rice Dish,Trinidad pelau,Trinidad and Tobago
https://www.tasteatlas.com/doubles,https://cdn.tasteatlas.com//images/dishes/411eac15afce4c66a1e2d40a5f1926ab.jpg?mw=660,Street Food,Doubles,Trinidad and Tobago
https://www.tasteatlas.com/bake-and-shark,https://cdn.tasteatlas.com//Images/Dishes/9c1d90dd206a4b90a2bf3e76079f0db0.jpg?mw=660,Street Food,Bake and Shark,Trinidad and Tobago
https://www.tasteatlas.com/fish-broth,https://cdn.tasteatlas.com//images/dishes/4ad76c17b9d34b70910edfda41907974.jpg?mw=660,Fish Soup,Fish Broth,Trinidad and Tobago
https://www.tasteatlas.com/curried-crab-and-dumplings,https://cdn.tasteatlas.com//images/dishes/5740bdd1c5a8401f9c0be4de86c275b6.jpg?mw=660,Stew,Curried Crab and Dumplings,Trinidad and Tobago
https://www.tasteatlas.com/coconut-bake,https://cdn.tasteatlas.com//images/dishes/d7ff91a24e5c4bd18cd819747768c307.jpg?mw=660,Bread,Coconut Bake,Trinidad and Tobago
https://www.tasteatlas.com/curry-duck,https://cdn.tasteatlas.com//images/dishes/943f4598c0884e08946d1e98cc677300.jpg?mw=660,Duck Dish,Curry Duck,Trinidad and Tobago
https://www.tasteatlas.com/saltfish-buljol,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Saltwater Fish Dish,Saltfish buljol,Trinidad and Tobago
https://www.tasteatlas.com/soursop-ice-cream,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Ice Cream,Soursop Ice Cream,Trinidad and Tobago
https://www.tasteatlas.com/sawine,https://cdn.tasteatlas.com//images/dishes/b83dfaddea03415ebaf02b1c4a230e4b.jpg?mw=660,Dessert,Sawine,Trinidad and Tobago
