search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/Couscous-tunisia,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,Stew,Couscous (dish),Tunisia
https://www.tasteatlas.com/shakshouka,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Tunisia
https://www.tasteatlas.com/brik,https://cdn.tasteatlas.com//Images/Dishes/c658b5d1dccc432e853f1c2daa329455.jpg?mw=660,Savory Pastry,Brik,Tunisia
https://www.tasteatlas.com/mechouia,https://cdn.tasteatlas.com//images/dishes/21b23c5c659c412598d62c0cb42946ce.jpg?mw=660,Salad,Mechouia Salad,Tunisia
https://www.tasteatlas.com/fricassee,https://cdn.tasteatlas.com//images/dishes/901868bab2064ccfa4b223ecde5bb95f.jpg?mw=660,Sandwich,Fricassee,Tunisia
https://www.tasteatlas.com/lablabi,https://cdn.tasteatlas.com//Images/Dishes/74219c2b001f4fbd80ef418ae398d142.jpg?mw=660,Vegetable Soup,Lablabi,Tunisia
https://www.tasteatlas.com/kafteji,https://cdn.tasteatlas.com//images/dishes/31cd64e211564c3a8a8485f42e014773.jpg?mw=660,Vegetable Dish,Kafteji,Tunisia
https://www.tasteatlas.com/msemen-tunisia,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,Flatbread,Msemen,Tunisia
https://www.tasteatlas.com/bambalouni,https://cdn.tasteatlas.com//images/dishes/6510c9cda49a4d0bbf69d7fee76fafde.jpg?mw=660,Deep-fried Dessert,Bambalouni,Tunisia
https://www.tasteatlas.com/kamounia-tunisia,https://cdn.tasteatlas.com//images/dishes/4f5e07f129e34151b65417af306577bb.jpg?mw=660,Stew,Kamounia,Tunisia
https://www.tasteatlas.com/houria,https://cdn.tasteatlas.com//images/dishes/d810215f24064a8b9ed1831a0985fabb.jpg?mw=660,Salad,Houria,Tunisia
https://www.tasteatlas.com/kaak-warka,https://cdn.tasteatlas.com//images/dishes/b4f2678c2d8947e09a330b5af3a72e5d.jpg?mw=660,Sweet Pastry,Kaak warka,Tunisia
https://www.tasteatlas.com/makroudh-tunisia,https://cdn.tasteatlas.com//images/dishes/20be901e4d8b4d2097d9543fa82d4916.jpg?mw=660,Sweet Pastry,Makroudh,Tunisia
https://www.tasteatlas.com/assidat-zgougou,https://cdn.tasteatlas.com//images/dishes/9f2317fbaf4049699bfc49b0480e29ab.jpg?mw=660,Dessert,Assidat zgougou,Tunisia
