search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/borek,https://cdn.tasteatlas.com//images/dishes/44cdf26d39234f5aa01b70030e4e848c.jpg?mw=660,Pastry,BÃ¶rek,Turkey
https://www.tasteatlas.com/maras-dondurmas,https://cdn.tasteatlas.com//images/dishes/fe96f8fb9ec848bfb3dd109472d1c188.jpg?mw=660,Ice Cream,Dondurma,Turkey
https://www.tasteatlas.com/sarma,https://cdn.tasteatlas.com//images/dishes/abbef07b6054405a8b2305db7beca93e.jpg?mw=660,Ground Meat Dish,Sarma,Turkey
https://www.tasteatlas.com/kofte,https://cdn.tasteatlas.com//images/dishes/152cb7ea0d3947b8bb61cec0428391ca.jpg?mw=660,Meatballs,KÃ¶fte,Turkey
https://www.tasteatlas.com/manti,https://cdn.tasteatlas.com//images/dishes/6b66f5a7a8aa4ff8bf8a062f1cd6330b.jpg?mw=660,Dumplings,Manti,Turkey
https://www.tasteatlas.com/baklava,https://cdn.tasteatlas.com//images/dishes/853d8bcd768b4c18bd880fb52e9d731b.jpg?mw=660,Sweet Pastry,Baklava,Turkey
https://www.tasteatlas.com/dolma,https://cdn.tasteatlas.com//Images/Dishes/9dfe8ce1742c474586de7a8baf07aa63.jpg?mw=660,Ground Meat Dish,Dolma,Turkey
https://www.tasteatlas.com/lokum,https://cdn.tasteatlas.com//Images/Dishes/0bca9de6109a47189a7a1961e2b9c0da.jpg?mw=660,Dessert,Lokum,Turkey
https://www.tasteatlas.com/doner-kebab,https://cdn.tasteatlas.com//images/dishes/1681a82d605f4791963eb268acf0978d.jpg?mw=660,Meat Dish,DÃ¶ner kebab,Turkey
https://www.tasteatlas.com/adana-kebab,https://cdn.tasteatlas.com//images/dishes/3ab81ec46f604f85bcc3cc51fd17c446.jpg?mw=660,Lamb/Mutton Dish,Adana kebap,Turkey
https://www.tasteatlas.com/acma,https://cdn.tasteatlas.com//Images/Dishes/ffad43f4a6d14a5f9d93e2a970a64425.jpg?mw=660,Sweet Pastry,AÃ§ma,Turkey
https://www.tasteatlas.com/tursu,https://cdn.tasteatlas.com//Images/Dishes/87d86a46a3eb433186a7fa03c2e6cccd.jpg?mw=660,Pickling,TurÅu,Turkey
https://www.tasteatlas.com/muhallebi,https://cdn.tasteatlas.com//images/dishes/3c193dae269b4ae88c5170d1905f05d5.jpg?mw=660,Pudding,Muhallebi,Turkey
https://www.tasteatlas.com/kokorec,https://cdn.tasteatlas.com//Images/Dishes/06cbbf866e144881aedb6af66f67603f.jpg?mw=660,Offal Dish,KokoreÃ§,Turkey
https://www.tasteatlas.com/asure,https://cdn.tasteatlas.com//Images/Dishes/02ebb18fce0048f58f4450b794a713fb.jpg?mw=660,Dessert,AÅure,Turkey
https://www.tasteatlas.com/gozleme,https://cdn.tasteatlas.com//images/dishes/c9f0bca2ce064ba5a36377efe307846a.jpg?mw=660,Flatbread,GÃ¶zleme,Turkey
https://www.tasteatlas.com/kisir,https://cdn.tasteatlas.com//images/dishes/a059299f166947aea0713365de44f0af.jpg?mw=660,Salad,KÄ±sÄ±r,Turkey
https://www.tasteatlas.com/tulumba,https://cdn.tasteatlas.com//Images/Dishes/4dae2a53d3cd48c09ff7d3e83aa790f8.jpg?mw=660,Deep-fried Dessert,Tulumba,Turkey
https://www.tasteatlas.com/sis-tavuk,https://cdn.tasteatlas.com//Images/Dishes/841ede84259c4ebca75b72caebc71be4.jpg?mw=660,Chicken Dish,ÅiÅ tavuk,Turkey
https://www.tasteatlas.com/bazlama,https://cdn.tasteatlas.com//Images/Dishes/1a300889321c49e2b97e23174b51d469.jpg?mw=660,Flatbread,Bazlama,Turkey
https://www.tasteatlas.com/yufka,https://cdn.tasteatlas.com//Images/Dishes/f1a5d23f726f405c95d99dd4ca5350b9.jpg?mw=660,Flatbread,Yufka,Turkey
https://www.tasteatlas.com/katmer,https://cdn.tasteatlas.com//Images/Dishes/1cf6cc2aa8964235ae8e1cf1e4a2907e.jpg?mw=660,Sweet Pastry,Katmer,Turkey
https://www.tasteatlas.com/kuru-fasulye,https://cdn.tasteatlas.com//images/dishes/a990788a712a4057a2e2a44bcb11c412.jpg?mw=660,Stew,Kuru fasulye,Turkey
https://www.tasteatlas.com/sujuk,https://cdn.tasteatlas.com//images/dishes/e41a61fbf21048a3a9d39ab9688ed8f6.jpg?mw=660,Sausage,Sucuk,Turkey
https://www.tasteatlas.com/iskender-kebap,https://cdn.tasteatlas.com//images/dishes/eb7675eb914c485191975fb62a1ca915.jpg?mw=660,Lamb/Mutton Dish,Ä°skender kebap,Turkey
https://www.tasteatlas.com/lokma,https://cdn.tasteatlas.com//images/dishes/e460c51adc3447639c4418cbaa439309.jpg?mw=660,Sweet Pastry,Lokma,Turkey
https://www.tasteatlas.com/cacik,https://cdn.tasteatlas.com//Images/Dishes/fa12d2d0f351446294d495872cd5cc28.jpg?mw=660,Sauce,CacÄ±k,Turkey
https://www.tasteatlas.com/shish-kebab,https://cdn.tasteatlas.com//Images/Dishes/6e5c3389425040759d5f3ab5aa0cc1a7.jpg?mw=660,Meat Dish,Shish kebab,Turkey
https://www.tasteatlas.com/mercimek-corbas,https://cdn.tasteatlas.com//Images/Dishes/51beed5e91d749d9a8c47fd05e3d7ea8.jpg?mw=660,Vegetable Soup,Mercimek Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/lahmacun,https://cdn.tasteatlas.com//Images/Dishes/175eaf225ea5486c92f856a8426b7f0c.jpg?mw=660,Snack,Lahmacun,Turkey
https://www.tasteatlas.com/tavuk-gogsu,https://cdn.tasteatlas.com//Images/Dishes/b772bd93d450422e9151e2872b10a7ec.jpg?mw=660,Pudding,Tavuk gÃ¶ÄsÃ¼,Turkey
https://www.tasteatlas.com/cop-sis,https://cdn.tasteatlas.com//images/dishes/b9c458e1d6b646189cdccf228213a391.jpg?mw=660,Lamb/Mutton Dish,ÃÃ¶p ÅiÅ,Turkey
https://www.tasteatlas.com/simit,https://cdn.tasteatlas.com//Images/Dishes/fa21c70d6b9d48db9053df2389413a7f.jpg?mw=660,Bread,Simit,Turkey
https://www.tasteatlas.com/ekmek-kadayifi,https://cdn.tasteatlas.com//Images/Dishes/9564750ac61e4dd689fe2f4a707fadeb.jpg?mw=660,Dessert,Ekmek kadayÄ±fÄ±,Turkey
https://www.tasteatlas.com/tantuni,https://cdn.tasteatlas.com//Images/Dishes/5ae23db1213a43d5b02fceb8a5b7a6f1.jpg?mw=660,Wrap,Tantuni,Turkey
https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com//Images/Dishes/f58b9217a09f4c91833027c3e763e2d8.jpg?mw=660,Flatbread,Pita Bread,Turkey
https://www.tasteatlas.com/inegol-kofte,https://cdn.tasteatlas.com//Images/Dishes/9b24b974ec264676a3626d0ad02acddd.jpg?mw=660,Meatballs,Ä°negÃ¶l kÃ¶fte,Turkey
https://www.tasteatlas.com/frn-sutlac,https://cdn.tasteatlas.com//Images/Dishes/5318bbfd0f3848aeb38b1ee891330297.jpg?mw=660,Pudding,FÄ±rÄ±n sÃ¼tlaÃ§,Turkey
https://www.tasteatlas.com/su-boregi,https://cdn.tasteatlas.com//Images/Dishes/f288d0bc78534bd1af6ffade905881bc.jpg?mw=660,Savory Pastry,Su bÃ¶reÄi,Turkey
https://www.tasteatlas.com/haydari,https://cdn.tasteatlas.com//Images/Dishes/b2315ec942224027a9ffd42867517974.jpg?mw=660,Dip,Haydari,Turkey
https://www.tasteatlas.com/hunkar-begendi,https://cdn.tasteatlas.com//Images/Dishes/0e430da56cb84fac95728b4a1a4016af.jpg?mw=660,Stew,HÃ¼nkar beÄendi,Turkey
https://www.tasteatlas.com/kazandibi,https://cdn.tasteatlas.com//Images/Dishes/3484ca60d9904296a789a6c38b06d38b.jpg?mw=660,Pudding,Kazandibi,Turkey
https://www.tasteatlas.com/ezogelin-corbas,https://cdn.tasteatlas.com//Images/Dishes/b1ce9a6608874d418eebecef7953ba15.jpg?mw=660,Vegetable Soup,Ezogelin Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/cig-kofte,https://cdn.tasteatlas.com//images/dishes/4f83cb61982142c8b662b8ac3b6a930b.jpg?mw=660,Appetizer,ÃiÄ kÃ¶fte,Turkey
https://www.tasteatlas.com/mehalabiya,https://cdn.tasteatlas.com//Images/Dishes/6b2a4d24ad8445d19d03df8b5cae3595.jpg?mw=660,Pudding,Mehalabiya,Turkey
https://www.tasteatlas.com/kumpir,https://cdn.tasteatlas.com//images/dishes/14daa3f8883145529f758498ced77cc9.jpg?mw=660,Snack,Kumpir,Turkey
https://www.tasteatlas.com/irmik-helvas,https://cdn.tasteatlas.com//images/dishes/199c6385c93a49bf90f1372a1d70eddf.jpg?mw=660,Dessert,Ä°rmik helvasÄ±,Turkey
https://www.tasteatlas.com/msr-ekmegi,https://cdn.tasteatlas.com//Images/Dishes/992f3c68ef3a4137856a6ff7f740fdb2.jpg?mw=660,Bread,MÄ±sÄ±r ekmeÄi,Turkey
https://www.tasteatlas.com/yuvalama,https://cdn.tasteatlas.com//Images/Dishes/c73c0b95b1b442ff997469f92635af6e.jpg?mw=660,Meat Soup,Yuvarlama Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/tombik,https://cdn.tasteatlas.com//Images/Dishes/2ac43d164c1c4752ba592d64e5c9c98d.jpg?mw=660,Sandwich,Tombik,Turkey
https://www.tasteatlas.com/gullac,https://cdn.tasteatlas.com//Images/Dishes/35525e12bfc9457d9f4e04ffabcf1133.jpg?mw=660,Sweet Pastry,GÃ¼llaÃ§,Turkey
https://www.tasteatlas.com/haslama,https://cdn.tasteatlas.com//Images/Dishes/999c8e5ab464456f856a0483b29e297c.jpg?mw=660,Lamb/Mutton Dish,HaÅlama,Turkey
https://www.tasteatlas.com/bulgur-pilav,https://cdn.tasteatlas.com//Images/Dishes/a84622c5aa364760b14a06e610abf903.jpg?mw=660,Side Dish,Bulgur pilavÄ±,Turkey
https://www.tasteatlas.com/iskembe-corbas,https://cdn.tasteatlas.com//Images/Dishes/46158ad50a5f4e14a0b8cea718268c0c.jpg?mw=660,Offal Soup,Ä°Åkembe Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/karnyark,https://cdn.tasteatlas.com//images/dishes/459bfe19234f4b10a03c4a1457f91076.jpg?mw=660,Ground Meat Dish,KarnÄ±yarÄ±k,Turkey
https://www.tasteatlas.com/sigara-boregi,https://cdn.tasteatlas.com//images/dishes/98675be503064470916ec3dd6ef4f205.jpg?mw=660,Savory Pastry,Sigara bÃ¶reÄi,Turkey
https://www.tasteatlas.com/kabak-mucveri,https://cdn.tasteatlas.com//images/dishes/c47f8173424f45ae8a807d8cf4ab6ce6.jpg?mw=660,Vegetable Dish,Kabak mÃ¼cveri,Turkey
https://www.tasteatlas.com/etli-ekmek,https://cdn.tasteatlas.com//images/dishes/9682e980252e4f5ebe538a23ff3d1be8.jpg?mw=660,Flatbread,Etli ekmek,Turkey
https://www.tasteatlas.com/bal-kaymak,https://cdn.tasteatlas.com//images/dishes/d0cd7a6873014569b18ad89fccf53e3a.jpg?mw=660,Breakfast,Bal kaymak,Turkey
https://www.tasteatlas.com/cag-kebab,https://cdn.tasteatlas.com//images/dishes/0a6b6cdceb154117bd2a8269cf823a4c.jpg?mw=660,Lamb/Mutton Dish,CaÄ kebabÄ±,Turkey
https://www.tasteatlas.com/midye-dolma,https://cdn.tasteatlas.com//images/dishes/4c7957b6a6a14d62846fb5a5d4229bfd.jpg?mw=660,Mussel Dish,Midye dolma,Turkey
https://www.tasteatlas.com/izmir-kofte,https://cdn.tasteatlas.com//images/dishes/1b6cb3d88d1c45bf8eaaf57470eecab0.jpg?mw=660,Meatballs,Ä°zmir kÃ¶fte,Turkey
https://www.tasteatlas.com/menemen,https://cdn.tasteatlas.com//images/dishes/e5641a3b4d5a4299a87cade8c9575bf4.jpg?mw=660,Spread,Menemen,Turkey
https://www.tasteatlas.com/kol-boregi,https://cdn.tasteatlas.com//images/dishes/6f4d21c610cd44ee806d7b7eba0d4b84.jpg?mw=660,Savory Pastry,Kol bÃ¶reÄi,Turkey
https://www.tasteatlas.com/ramazan-pidesi,https://cdn.tasteatlas.com//images/dishes/bbd82a4a7e974cf7ad735b09f56ef16d.jpg?mw=660,Flatbread,Ramazan pidesi,Turkey
https://www.tasteatlas.com/kunefe-turkey,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,Sweet Pastry,Kunefe,Turkey
https://www.tasteatlas.com/sekerpare,https://cdn.tasteatlas.com//Images/Dishes/3e86ba2c79894eb1b812515815ec90fd.jpg?mw=660,Dessert,Åekerpare,Turkey
https://www.tasteatlas.com/domates-corbas,https://cdn.tasteatlas.com//Images/Dishes/a62b11cb8c0a4e09b916f2c0d7020a3d.jpg?mw=660,Vegetable Soup,Domates Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/kabak-tatls,https://cdn.tasteatlas.com//images/dishes/4d4dcd7b25f54958bce25a7a196662db.jpg?mw=660,Dessert,Kabak tatlÄ±sÄ±,Turkey
https://www.tasteatlas.com/antep-baklavasi,https://cdn.tasteatlas.com//Images/Dishes/73b88a11c26540f4ae8089692f884ef4.jpg?mw=660,Sweet Pastry,Gaziantep baklavasÄ±,Turkey
https://www.tasteatlas.com/yayla-corbas,https://cdn.tasteatlas.com//images/dishes/95d6176d16904fffa5884f6c73f95bd8.jpg?mw=660,Soup,Yayla Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/biber-dolmas,https://cdn.tasteatlas.com//images/dishes/961567064bb34d95b83c1502461a37a5.jpg?mw=660,Ground Meat Dish,Biber dolmasÄ±,Turkey
https://www.tasteatlas.com/patlcan-salatas,https://cdn.tasteatlas.com//images/dishes/600438f106264f419f7d05e1f116bccd.jpg?mw=660,Salad,PatlÄ±can salatasÄ±,Turkey
https://www.tasteatlas.com/keskul,https://cdn.tasteatlas.com//images/dishes/4894994fcce84aa091e99128f6c7953f.jpg?mw=660,Pudding,KeÅkÃ¼l,Turkey
https://www.tasteatlas.com/ayva-tatlisi,https://cdn.tasteatlas.com//Images/Dishes/23636a8216464c989e9054f36aa3e0a4.jpg?mw=660,Dessert,Ayva tatlÄ±sÄ±,Turkey
https://www.tasteatlas.com/boyoz,https://cdn.tasteatlas.com//images/dishes/90abde472a7940cfbf7a0f5c4f2f309f.jpg?mw=660,Savory Pastry,Boyoz,Turkey
https://www.tasteatlas.com/sobiyet,https://cdn.tasteatlas.com//Images/Dishes/46feac0cdc2c4f79b6ddf169e9df9e85.jpg?mw=660,Dessert,ÅÃ¶biyet,Turkey
https://www.tasteatlas.com/kadnbudu-kofte,https://cdn.tasteatlas.com//images/dishes/806be6e9c38644e5aa097a39de3447ce.jpg?mw=660,Meatballs,KadÄ±nbudu kÃ¶fte,Turkey
https://www.tasteatlas.com/ic-pilav,https://cdn.tasteatlas.com//images/dishes/7128e5b6ce6e4908be702c356b2240c3.jpg?mw=660,Rice Dish,Ä°Ã§ pilav,Turkey
https://www.tasteatlas.com/alinazik-kebab,https://cdn.tasteatlas.com//images/dishes/69ced3b263ac4edd927ac5e00505a3c3.jpg?mw=660,Lamb/Mutton Dish,Alinazik Kebab,Turkey
https://www.tasteatlas.com/midye-tava,https://cdn.tasteatlas.com//images/dishes/36425546ffdc4163aa502e767ec89285.jpg?mw=660,Mussel Dish,Midye tava,Turkey
https://www.tasteatlas.com/keskek,https://cdn.tasteatlas.com//images/dishes/043c54c879c244f7ac1b5323090b9297.jpg?mw=660,Meat Dish,KeÅkek,Turkey
https://www.tasteatlas.com/tarhana-corbasi,https://cdn.tasteatlas.com//images/dishes/8c82768ac5e344f0bc15048a48a91d65.jpg?mw=660,Soup,Tarhana Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/turlu,https://cdn.tasteatlas.com//images/dishes/bad5dfc84d0d45249c5a5848c6996aa7.jpg?mw=660,Stew,TÃ¼rlÃ¼,Turkey
https://www.tasteatlas.com/kemalpasa,https://cdn.tasteatlas.com//images/dishes/af1ee1faff9d4ae483c3a759968cedff.jpg?mw=660,Dessert,KemalpaÅa,Turkey
https://www.tasteatlas.com/supangle,https://cdn.tasteatlas.com//images/dishes/28f9767f29e74ca3b6c0ff6fc6a5724f.jpg?mw=660,Pudding,Supangle,Turkey
https://www.tasteatlas.com/yumurtal-pide,https://cdn.tasteatlas.com//Images/Dishes/cf3f4f824f024bcd90f9ad21d2508062.jpg?mw=660,Breakfast,YumurtalÄ± pide,Turkey
https://www.tasteatlas.com/pestil,https://cdn.tasteatlas.com//images/dishes/2df7e54739c14ad6bb6992f183f7d45c.jpg?mw=660,Dessert,Pestil,Turkey
https://www.tasteatlas.com/kuymak,https://cdn.tasteatlas.com//images/dishes/a2a4d36c2f294db28ff5e2c780b0bc75.jpg?mw=660,Cheese Dish,Kuymak,Turkey
https://www.tasteatlas.com/cezerye,https://cdn.tasteatlas.com//images/dishes/0319b7143bd74689957cc405ac76509f.jpg?mw=660,Dessert,Cezerye,Turkey
https://www.tasteatlas.com/perde-pilavi,https://cdn.tasteatlas.com//images/dishes/0c8fb1f9b3734862a70a9ee0c6805389.jpg?mw=660,Rice Dish,Perde pilavÄ±,Turkey
https://www.tasteatlas.com/kumru,https://cdn.tasteatlas.com//images/dishes/c0dbb76c039542d3a0d8a6ef4290e40e.jpg?mw=660,Sandwich,Kumru,Turkey
https://www.tasteatlas.com/fistikli-sarma,https://cdn.tasteatlas.com//Images/Dishes/35f88450f8a34bacb79d806aed7117b3.jpg?mw=660,Sweet Pastry,FÄ±stÄ±klÄ± sarma,Turkey
https://www.tasteatlas.com/semizotu-salatas,https://cdn.tasteatlas.com//images/dishes/9d59030716014ad3a52f204b7f6d2aea.jpg?mw=660,Salad,Semizotu salatasÄ±,Turkey
https://www.tasteatlas.com/hosaf,https://cdn.tasteatlas.com//images/dishes/f725fe2179a047ebb50b6be45775ca45.jpg?mw=660,Dessert,HoÅaf,Turkey
https://www.tasteatlas.com/zerde,https://cdn.tasteatlas.com//images/dishes/214a44c05fc444628e8e8a89615c9957.jpg?mw=660,Pudding,Zerde,Turkey
https://www.tasteatlas.com/kapuska,https://cdn.tasteatlas.com//images/dishes/2e463e49dedf4f3db54bd72f77fe0a35.jpg?mw=660,Stew,Kapuska,Turkey
https://www.tasteatlas.com/cilbir,https://cdn.tasteatlas.com//images/dishes/2542ee08027d440dbd6b739b0bcbecaa.jpg?mw=660,Egg Dish,Ãilbir,Turkey
https://www.tasteatlas.com/dugun-corbas,https://cdn.tasteatlas.com//images/dishes/7a1ea3b4f45e44f6828e2f85599406a5.jpg?mw=660,Soup,DÃ¼ÄÃ¼n Ã§orbasÄ±,Turkey
https://www.tasteatlas.com/sulu-kofte,https://cdn.tasteatlas.com//images/dishes/71b6f18ca11b471bb27de9c769cb2986.jpg?mw=660,Stew,Sulu kÃ¶fte,Turkey
https://www.tasteatlas.com/islim-kebab,https://cdn.tasteatlas.com//images/dishes/91ed693784614d8f951c3202392e04be.jpg?mw=660,Meat Dish,Ä°slim kebabÄ±,Turkey
https://www.tasteatlas.com/nokul,https://cdn.tasteatlas.com//images/dishes/5e9e624517ac4cb49b5ff76ad6c4824f.jpg?mw=660,Sweet Pastry,Nokul,Turkey
https://www.tasteatlas.com/piyaz,https://cdn.tasteatlas.com//images/dishes/2eaf31c3136a441e81172ec1fca13145.jpg?mw=660,Salad,Piyaz,Turkey
