search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/borscht,https://cdn.tasteatlas.com//Images/Dishes/8bc2a081e04948f7a4413f1c9b2bd78d.jpg?mw=660,Vegetable Soup,Borscht,Ukraine
https://www.tasteatlas.com/varenyky,https://cdn.tasteatlas.com//images/dishes/ee6e1d28fa404583941de62acdfbfac8.jpg?mw=660,Dumplings,Varenyky,Ukraine
https://www.tasteatlas.com/paska,https://cdn.tasteatlas.com//images/dishes/66c99b8854f64f06ba8932f72061156d.jpg?mw=660,Sweet Bread,Paska,Ukraine
https://www.tasteatlas.com/chicken-kiev,https://cdn.tasteatlas.com//images/dishes/8a954a3fbd134f62a88ab362491992a2.jpg?mw=660,Fried Chicken Dish,Chicken Kiev,Ukraine
https://www.tasteatlas.com/kutia,https://cdn.tasteatlas.com//Images/Dishes/534bcf9a9035425795e945c83c34bf91.jpg?mw=660,Pudding,Kutia,Ukraine
https://www.tasteatlas.com/bublik,https://cdn.tasteatlas.com//Images/Dishes/5543e41ee0e64b03a4a5f70faa872934.jpg?mw=660,Sweet Bread,Bublik,Ukraine
https://www.tasteatlas.com/pampushka,https://cdn.tasteatlas.com//images/dishes/a6caeaa44c1440d1a09a33ac16fa5fa5.jpg?mw=660,Bread,Pampushka,Ukraine
https://www.tasteatlas.com/korovai,https://cdn.tasteatlas.com//images/dishes/f2a76859721f4679924a399e3922d941.jpg?mw=660,Bread,Korovai,Ukraine
https://www.tasteatlas.com/banosh,https://cdn.tasteatlas.com//Images/Dishes/0212a2756c5d4b8c8ba152ab31020181.jpg?mw=660,Porridge,Banosh,Ukraine
https://www.tasteatlas.com/koliva,https://cdn.tasteatlas.com//Images/Dishes/22de0c703b7b45b8b8bfc4b64a34bf74.jpg?mw=660,Porridge,Koliva,Ukraine
https://www.tasteatlas.com/kievsky-tort,https://cdn.tasteatlas.com//images/dishes/3e4860a126e744cc96d8afaac62ebef9.jpg?mw=660,Cake,Kievsky tort,Ukraine
https://www.tasteatlas.com/sorrel-soup,https://cdn.tasteatlas.com//Images/Dishes/2f6cacdb46cf414db920f22468020879.jpg?mw=660,Vegetable Soup,Sorrel Soup,Ukraine
https://www.tasteatlas.com/deruny,https://cdn.tasteatlas.com//images/dishes/79c8319880454384baec39456e35e961.jpg?mw=660,Pancake,Deruny,Ukraine
https://www.tasteatlas.com/perepichka,https://cdn.tasteatlas.com//images/dishes/30cbc6bd5d0f4a8596b571e8b15a9383.jpg?mw=660,Savory Pastry,Perepichka,Ukraine
https://www.tasteatlas.com/kruchenyky,https://cdn.tasteatlas.com//images/dishes/050610d4754c4c649a9ca99f39bbf04d.jpg?mw=660,Meat Dish,Kruchenyky,Ukraine
https://www.tasteatlas.com/nachynka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Casserole,Nachynka,Ukraine
https://www.tasteatlas.com/komes,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Potato Dish,Komes,Ukraine
