search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/afternoon-tea,https://cdn.tasteatlas.com//Images/Dishes/2eb1fb2ff12d45fbbe34ae6429409f42.jpg?mw=660,Assorted Small Dishes or Ritual,Afternoon Tea,United Kingdom
https://www.tasteatlas.com/fish-and-chips,https://cdn.tasteatlas.com//images/dishes/952be31521114ce89c8525996e17dbce.jpg?mw=660,Saltwater Fish Dish,Fish and Chips,United Kingdom
https://www.tasteatlas.com/crumble,https://cdn.tasteatlas.com//Images/Dishes/10a21ca62c0e41e2b7884f3350170ddd.jpg?mw=660,Dessert,Crumble,United Kingdom
https://www.tasteatlas.com/sunday-roast-beef,https://cdn.tasteatlas.com//images/dishes/ee433d70eb8447eb83242c0f0efe46a2.jpg?mw=660,Meat Dish,Sunday Roast,United Kingdom
https://www.tasteatlas.com/scone,https://cdn.tasteatlas.com//images/dishes/8a8e1c9e4b5f47479fb31203bf67998e.jpg?mw=660,Sweet Bread,Scone,United Kingdom
https://www.tasteatlas.com/english-breakfast,https://cdn.tasteatlas.com//images/dishes/b92a3d74b4cf48c28abba34197798049.jpg?mw=660,Breakfast,English Breakfast,United Kingdom
https://www.tasteatlas.com/haggis,https://cdn.tasteatlas.com//Images/Dishes/bf5a2efed355495f8e9f754d37f733c8.jpg?mw=660,Offal Dish,Haggis,United Kingdom
https://www.tasteatlas.com/pound-cake,https://cdn.tasteatlas.com//Images/Dishes/6ddc18899a3a4956995f288bfb9d69d5.jpg?mw=660,Cake,Pound Cake,United Kingdom
https://www.tasteatlas.com/high-tea,https://cdn.tasteatlas.com//images/dishes/72e5d424e42840e9b744b29232953721.jpg?mw=660,Assorted Small Dishes or Ritual,High Tea,United Kingdom
https://www.tasteatlas.com/trifle,https://cdn.tasteatlas.com//images/dishes/b172565360774655ade40b05803a5855.jpg?mw=660,Dessert,Trifle,United Kingdom
https://www.tasteatlas.com/yorkshire-pudding,https://cdn.tasteatlas.com//Images/Dishes/f2cc3141c16d451ebda809c71d61c5aa.jpg?mw=660,Side Dish,Yorkshire Pudding,United Kingdom
https://www.tasteatlas.com/beef-wellington,https://cdn.tasteatlas.com//Images/Dishes/10af79aa36f244c5a38408bccf570ec6.jpg?mw=660,Beef Dish,Beef Wellington,United Kingdom
https://www.tasteatlas.com/shepherds-pie,https://cdn.tasteatlas.com//Images/Dishes/ba1114cafe034472b3a3cbdf5175f477.jpg?mw=660,Savory Pie,Shepherd's Pie,United Kingdom
https://www.tasteatlas.com/pie-and-mash,https://cdn.tasteatlas.com//Images/Dishes/f53768d9d761471ca0309c69f4cf4e72.jpg?mw=660,Savory Pie,Pie and Mash,United Kingdom
https://www.tasteatlas.com/mince-pie,https://cdn.tasteatlas.com//Images/Dishes/9d392b0a65f2444ba60a9cb3f4bf7478.jpg?mw=660,Sweet Pie,Mince Pie,United Kingdom
https://www.tasteatlas.com/plum-pudding,https://cdn.tasteatlas.com//images/dishes/2f65789d873541ae9dcc77f0a124bb91.jpg?mw=660,Pudding,Plum Pudding,United Kingdom
https://www.tasteatlas.com/sticky-toffee-pudding,https://cdn.tasteatlas.com//Images/Dishes/b12914235425454fa07051b90bac4fff.jpg?mw=660,Dessert,Sticky Toffee Pudding,United Kingdom
https://www.tasteatlas.com/hot-cross-buns,https://cdn.tasteatlas.com//images/dishes/b03c087d90154e838245f104ca8d73fa.jpg?mw=660,Sweet Bread,Hot Cross Buns,United Kingdom
https://www.tasteatlas.com/pork-pie,https://cdn.tasteatlas.com//images/dishes/c63a9864cb6148d7be5e2bd5a02b8dea.jpg?mw=660,Savory Pie,Pork Pie,United Kingdom
https://www.tasteatlas.com/crumpet,https://cdn.tasteatlas.com//images/dishes/2e42890ed8394f7ea44018ebc98d87fb.jpg?mw=660,Breakfast,Crumpet,United Kingdom
https://www.tasteatlas.com/bangers-and-mash,https://cdn.tasteatlas.com//Images/Dishes/aa41041b74394f84bb30e86be3954bca.jpg?mw=660,Meat Dish,Bangers and Mash,United Kingdom
https://www.tasteatlas.com/scottish-shortbread,https://cdn.tasteatlas.com//Images/Dishes/49913e3d404742a0bba24928aa935bd2.jpg?mw=660,Cookie,Scottish Shortbread,United Kingdom
