search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/burger,https://cdn.tasteatlas.com//Images/Dishes/223d2928b1e04701854f387c30d940f0.jpg?mw=660,Burger,Burger,United States of America
https://www.tasteatlas.com/cupcake,https://cdn.tasteatlas.com//Images/Dishes/3021765eda914b4cb253e72f5565a101.jpg?mw=660,Dessert,Cupcake,United States of America
https://www.tasteatlas.com/brownies,https://cdn.tasteatlas.com//Images/Dishes/d2d057282be34eb28f6b1696e072d783.jpg?mw=660,Chocolate Dessert,Brownies,United States of America
https://www.tasteatlas.com/cheeseburger,https://cdn.tasteatlas.com//images/dishes/df459d9fe5ad400e8bf69e4f25d9cf12.jpg?mw=660,Burger,Cheeseburger,United States of America
https://www.tasteatlas.com/bbq,https://cdn.tasteatlas.com//images/dishes/912c358d19fd418cb7f0ff15c1e6d8f1.jpg?mw=660,Barbecue,Barbecue,United States of America
https://www.tasteatlas.com/milkshake,https://cdn.tasteatlas.com//images/dishes/5291b5f2fcee42849cd84a03bff55e0a.jpg?mw=660,Frozen Dessert,Milkshake,United States of America
https://www.tasteatlas.com/doughnut,https://cdn.tasteatlas.com//Images/Dishes/e64c8b5fab4b436f8297e4b8962f1900.jpg?mw=660,Sweet Pastry,Doughnut,United States of America
https://www.tasteatlas.com/fudge,https://cdn.tasteatlas.com//Images/Dishes/a80d58e4be1647aa944959fbe888bd2f.jpg?mw=660,Dessert,Fudge,United States of America
https://www.tasteatlas.com/mac-and-cheese,https://cdn.tasteatlas.com//Images/Dishes/43b9fc3a33314d2cb2d25bd73bb5a046.jpg?mw=660,Pasta,Mac and Cheese,United States of America
https://www.tasteatlas.com/fried-chicken,https://cdn.tasteatlas.com//Images/Dishes/a8f794cc11bb4b969b7d5ec54714010e.jpg?mw=660,Fried Chicken Dish,Fried Chicken,United States of America
https://www.tasteatlas.com/burrito-california,https://cdn.tasteatlas.com//images/dishes/f4291f3e82f84c33a5997f801e8fb24f.jpg?mw=660,Wrap,Burrito,United States of America
https://www.tasteatlas.com/sundae,https://cdn.tasteatlas.com//Images/Dishes/39d1a4212e7f49ecbb94c4d336cc770b.jpg?mw=660,Ice Cream,Sundae,United States of America
https://www.tasteatlas.com/toll-house-chocolate-chip-cookies,https://cdn.tasteatlas.com//images/dishes/99c88d81724442cd96126b8cc74eefd5.jpg?mw=660,Cookie,Chocolate Chip Cookie,United States of America
https://www.tasteatlas.com/fajitas,https://cdn.tasteatlas.com//images/dishes/950cac1a6e1f4e6682ce70788c279910.jpg?mw=660,Meat Dish,Fajitas,United States of America
https://www.tasteatlas.com/grilled-cheese,https://cdn.tasteatlas.com//Images/Dishes/fbefddd4e4de4f6ab8d43d6fda3dc21f.jpg?mw=660,Sandwich type,Grilled Cheese,United States of America
https://www.tasteatlas.com/frozen-yogurt,https://cdn.tasteatlas.com//images/dishes/25d6f8f98c57444c973971d33a538bde.jpg?mw=660,Frozen Dessert,Frozen Yogurt,United States of America
