search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/chivito,https://cdn.tasteatlas.com//Images/Dishes/dbec6eed812c43ed9a990e70f6b1486c.jpg?mw=660,Sandwich,Chivito,Uruguay
https://www.tasteatlas.com/asado-uruguay,https://cdn.tasteatlas.com//Images/Dishes/bc210d52370b456092dde323280efbb7.jpg?mw=660,Barbecue,Asado,Uruguay
https://www.tasteatlas.com/pancho,https://cdn.tasteatlas.com//images/dishes/3f8047bda94a423081eb0e63970dd22c.jpg?mw=660,Hot Dog,Pancho,Uruguay
https://www.tasteatlas.com/dulce-de-leche-uruguay,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,Dessert,Dulce de leche,Uruguay
https://www.tasteatlas.com/garrapinada,https://cdn.tasteatlas.com//images/dishes/f4686915862d4683b284887bf9043fae.jpg?mw=660,Street Food Sweets,GarrapiÃ±ada,Uruguay
https://www.tasteatlas.com/martin-fierro,https://cdn.tasteatlas.com//Images/Dishes/d833a7b7331e4e9b93a1dec27ae45eef.jpg?mw=660,Cheese Dessert,MartÃ­n Fierro,Uruguay
https://www.tasteatlas.com/tortas-fritas-uruguay,https://cdn.tasteatlas.com//images/dishes/b0ba725af07e4488b174620773a5ae18.jpg?mw=660,Snack,Tortas fritas,Uruguay
https://www.tasteatlas.com/choripan-uruguay,https://cdn.tasteatlas.com//Images/Dishes/19ca5c1cba384f128b06dc2de20cd935.jpg?mw=660,Sandwich,ChoripÃ¡n,Uruguay
https://www.tasteatlas.com/chaja,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cake,ChajÃ¡,Uruguay
https://www.tasteatlas.com/lengua-a-la-vinagreta,https://cdn.tasteatlas.com//images/dishes/6e450ad3fe154cadb64ed4a0608f2d7f.jpg?mw=660,Appetizer,Lengua a la vinagreta,Uruguay
https://www.tasteatlas.com/caruso-sauce,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Sauce,Caruso Sauce,Uruguay
