search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/plov,https://cdn.tasteatlas.com//images/dishes/e1b246cb89094b32a53da1782f161d92.jpg?mw=660,Rice Dish,Plov,Uzbekistan
https://www.tasteatlas.com/obi-non,https://cdn.tasteatlas.com//Images/Dishes/52e24e8154744528add3f6ede9d9b189.jpg?mw=660,Flatbread,Obi non,Uzbekistan
https://www.tasteatlas.com/manti-uzbekistan,https://cdn.tasteatlas.com//images/dishes/6b66f5a7a8aa4ff8bf8a062f1cd6330b.jpg?mw=660,Dumplings,Manti,Uzbekistan
https://www.tasteatlas.com/chuchvara,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dumplings,Chuchvara,Uzbekistan
https://www.tasteatlas.com/dimlama,https://cdn.tasteatlas.com//images/dishes/9e2afa6e91b940f290e953b5b4450647.jpg?mw=660,Stew,Dimlama,Uzbekistan
https://www.tasteatlas.com/tuy-palovi,https://cdn.tasteatlas.com//images/dishes/03fcfba4053c4f37a884e52c25099682.jpg?mw=660,Rice Dish,Tuy palovi,Uzbekistan
https://www.tasteatlas.com/tuxum-barak,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pasta,Tuxum barak,Uzbekistan
https://www.tasteatlas.com/shakarap,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Salad,Shakarap,Uzbekistan
https://www.tasteatlas.com/kovatok-palov,https://cdn.tasteatlas.com//images/dishes/3d60860b58b04719b0efe27ded41df65.jpg?mw=660,Rice Dish,Kovatok palov,Uzbekistan
https://www.tasteatlas.com/kovurma-palov,https://cdn.tasteatlas.com//images/dishes/a726ef99952e4bc2baa75b8c151d0c09.jpg?mw=660,Rice Dish,Kovurma palov,Uzbekistan
https://www.tasteatlas.com/mayizli-palov,https://cdn.tasteatlas.com//images/dishes/27db9824904b49ec8e4164ce73bafb12.jpg?mw=660,Rice Dish,Mayizli palov,Uzbekistan
https://www.tasteatlas.com/behili-palov,https://cdn.tasteatlas.com//images/dishes/26b4e8d361794b9fbd15c29e54807c76.jpg?mw=660,Rice Dish,Behili palov,Uzbekistan
https://www.tasteatlas.com/sarimsokli-palov,https://cdn.tasteatlas.com//images/dishes/6781d8e993c64ac0856802487f2c8c9e.jpg?mw=660,Rice Dish,Sarimsokli palov,Uzbekistan
https://www.tasteatlas.com/sofakli-palov,https://cdn.tasteatlas.com//images/dishes/61e70924005c4fafa52e4c72aeac3b99.jpg?mw=660,Rice Dish,Sofakli palov,Uzbekistan
https://www.tasteatlas.com/tovukli-palov,https://cdn.tasteatlas.com//images/dishes/1e64aa545df148aea715b5589eba46a8.jpg?mw=660,Rice Dish,Tovukli palov,Uzbekistan
https://www.tasteatlas.com/majun-palov,https://cdn.tasteatlas.com//images/dishes/70d8135c0d4442c2bb949cc02eb14902.jpg?mw=660,Rice Dish,Ma'jun palov,Uzbekistan
https://www.tasteatlas.com/olma-palov,https://cdn.tasteatlas.com//images/dishes/1e0821e330f3406fa60f2518426cc7a3.jpg?mw=660,Rice Dish,Olma palov,Uzbekistan
https://www.tasteatlas.com/juhori-palov,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Ju'hori palov,Uzbekistan
https://www.tasteatlas.com/nuhatli-palov,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Rice Dish,Nuhatli palov,Uzbekistan
https://www.tasteatlas.com/pomidor-quymoqli-palov,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Rice Dish,Pomidor quymoqli palov,Uzbekistan
https://www.tasteatlas.com/tashkent-salad,https://cdn.tasteatlas.com//images/dishes/1531b3a07bb04fd59ec581d9672b88aa.jpg?mw=660,Salad,Tashkent Salad,Uzbekistan
https://www.tasteatlas.com/achicuk-salad,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Salad,Achicuk Salad,Uzbekistan
https://www.tasteatlas.com/samarkand-non,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Bread,Samarkand non,Uzbekistan
