search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/arepa,https://cdn.tasteatlas.com//Images/Dishes/aaa50fed110a4cabbeffb4c52e5fa6cf.jpg?mw=660,Sandwich type,Arepa,Venezuela
https://www.tasteatlas.com/arequipe,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,Dessert,Arequipe,Venezuela
https://www.tasteatlas.com/sopa-de-mondongo,https://cdn.tasteatlas.com//Images/Dishes/24af0278a9f54465a23ed15e9e069f6e.jpg?mw=660,Offal Soup,Sopa de mondongo,Venezuela
https://www.tasteatlas.com/pabellon-criollo,https://cdn.tasteatlas.com//images/dishes/469b767737d4417f8310da5a0409fcbd.jpg?mw=660,Beef Dish,PabellÃ³n criollo,Venezuela
https://www.tasteatlas.com/pan-de-jamon,https://cdn.tasteatlas.com//images/dishes/ccc7d81514424966b25cc81c26db0937.jpg?mw=660,Sweet Bread,Pan de jamÃ³n,Venezuela
https://www.tasteatlas.com/asado-negro,https://cdn.tasteatlas.com//Images/Dishes/60f74b2ed5164191bd894547ba2e17ac.jpg?mw=660,Beef Dish,Asado negro,Venezuela
https://www.tasteatlas.com/hallaca,https://cdn.tasteatlas.com//Images/Dishes/30823fe90b7e43289c1f4dbbf0ff55b6.jpg?mw=660,Wrap,Hallaca,Venezuela
https://www.tasteatlas.com/perico-venezolano,https://cdn.tasteatlas.com//images/dishes/207be82e7cb64f25bcfeb73b93af4090.jpg?mw=660,Egg Dish,Perico Venezolano,Venezuela
https://www.tasteatlas.com/casabe,https://cdn.tasteatlas.com//Images/Dishes/7d9861ae4d0946a79694a7dd03d8982b.jpg?mw=660,Flatbread,Casabe,Venezuela
https://www.tasteatlas.com/golfeados,https://cdn.tasteatlas.com//images/dishes/43cb1cebd0c14be2af4bb419cd65372e.jpg?mw=660,Sweet Pastry,Golfeados,Venezuela
https://www.tasteatlas.com/arepa-reina-pepiada,https://cdn.tasteatlas.com//images/dishes/97dda5c0481348f1a0aa8f48c0e27fc9.jpg?mw=660,Sandwich,Arepa reina pepiada,Venezuela
https://www.tasteatlas.com/majarete,https://cdn.tasteatlas.com//Images/Dishes/8beff8cc6e004a56bad9e18cc6683233.jpg?mw=660,Pudding,Majarete,Venezuela
https://www.tasteatlas.com/tequenos,https://cdn.tasteatlas.com//images/dishes/3fe3a33644b7405aa865d37a6f1960bd.jpg?mw=660,Snack,TequeÃ±os,Venezuela
https://www.tasteatlas.com/cachapa,https://cdn.tasteatlas.com//Images/Dishes/d73bdee15af2408396ace1235aef6ef5.jpg?mw=660,Pancake,Cachapa,Venezuela
https://www.tasteatlas.com/guasacaca,https://cdn.tasteatlas.com//images/dishes/c90cb15fc18c454d9aaf89cd3edb9d2b.jpg?mw=660,Dip,Guasacaca,Venezuela
https://www.tasteatlas.com/caraotas-negras,https://cdn.tasteatlas.com//images/dishes/5e548069e314409bbd743e53d3737796.jpg?mw=660,Side Dish,Caraotas negras,Venezuela
https://www.tasteatlas.com/arepa-frita,https://cdn.tasteatlas.com//Images/Dishes/c91926db10514090a5e9873bf1fa5d09.jpg?mw=660,Sandwich,Arepa frita,Venezuela
https://www.tasteatlas.com/arepa-andina,https://cdn.tasteatlas.com//Images/Dishes/0ebc8209bf364b9cbfcff4eb1c26cd0e.jpg?mw=660,Sandwich,Arepa andina,Venezuela
https://www.tasteatlas.com/bunuelos-de-yuca,https://cdn.tasteatlas.com//Images/Dishes/f2af6ff2e75548cea7c629b6b012bc29.jpg?mw=660,Deep-fried Dessert,BuÃ±uelos de yuca,Venezuela
https://www.tasteatlas.com/mandoca,https://cdn.tasteatlas.com//images/dishes/8d0e4dc512354addb0b8aac7e307560f.jpg?mw=660,Snack,Mandoca,Venezuela
https://www.tasteatlas.com/sopa-de-cebollin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Soup,Sopa de cebollin,Venezuela
https://www.tasteatlas.com/polvorosa-de-pollo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Savory Pie,Polvorosa de pollo,Venezuela
https://www.tasteatlas.com/torta-bejarana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cake,Torta Bejarana,Venezuela
