search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pho,https://cdn.tasteatlas.com//images/dishes/fa12a95fe7ce41e89951e5d153269402.jpg?mw=660,Noodle Soup,Pho,Vietnam
https://www.tasteatlas.com/banh-mi,https://cdn.tasteatlas.com//images/dishes/35651b57246741479b4ed4b924f017ee.jpg?mw=660,Sandwich type,BÃ¡nh mÃ¬,Vietnam
https://www.tasteatlas.com/cha-gio,https://cdn.tasteatlas.com//images/dishes/d82b09094f0d481e80243c1cc1822b48.jpg?mw=660,Appetizer,Vietnamese Fried Spring Rolls (Cháº£ giÃ²),Vietnam
https://www.tasteatlas.com/banh-xeo,https://cdn.tasteatlas.com//images/dishes/c50f70b06ace4660bf2f7580f5db1e50.jpg?mw=660,Pancake,Crispy Vietnamese Pancake (BÃ¡nh xÃ¨o),Vietnam
https://www.tasteatlas.com/quay,https://cdn.tasteatlas.com//Images/Dishes/37dc43e90a2940c09c66539332352bbf.jpg?mw=660,Side Dish,Vietnamese Crullers (Quáº©y),Vietnam
https://www.tasteatlas.com/mi-quang,https://cdn.tasteatlas.com//images/dishes/0bcb913f20694ac1a459e2a0b9e5357a.jpg?mw=660,Noodle Dish,Quang-Style Noodles (MÃ¬ Quáº£ng),Vietnam
https://www.tasteatlas.com/bo-kho,https://cdn.tasteatlas.com//images/dishes/c3b400178b494c3e8f0a6640e274bdee.jpg?mw=660,Stew,Vietnamese Beef Stew (BÃ² kho),Vietnam
https://www.tasteatlas.com/bun-bo-hue,https://cdn.tasteatlas.com//images/dishes/f14abc2e4cab42fd81d0b5a61bdb9060.jpg?mw=660,Noodle Soup,Hue Breakfast Noodle Soup (BÃºn bÃ² Huáº¿),Vietnam
https://www.tasteatlas.com/che,https://cdn.tasteatlas.com//Images/Dishes/2a6a9c9525a64d0684dc6f0a32b15515.jpg?mw=660,Dessert,ChÃ¨,Vietnam
https://www.tasteatlas.com/banh-beo,https://cdn.tasteatlas.com//Images/Dishes/c79077996b3442008293ae4fb2ea77bf.jpg?mw=660,Rice Dish,Vietnamese Steamed Savory Rice Cake (BÃ¡nh bÃ¨o),Vietnam
https://www.tasteatlas.com/canh-chua,https://cdn.tasteatlas.com//images/dishes/673b82583d6a49b4b0b38f1461f22643.png?mw=660,Fish Soup,Sweet and Sour Tamarind Soup (Canh chua),Vietnam
