search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/mandi,https://cdn.tasteatlas.com//Images/Dishes/b193475abd95466891777508f68b8542.jpg?mw=660,Meat Dish,Mandi,Yemen
https://www.tasteatlas.com/martabak,https://cdn.tasteatlas.com//Images/Dishes/06d7d25393c04739b4b1f3491b0a0f71.jpg?mw=660,Pancake,Martabak,Yemen
https://www.tasteatlas.com/madfoon,https://cdn.tasteatlas.com//Images/Dishes/8779325ab35f43f28551ac0766581b60.jpg?mw=660,Meat Dish,Madfoon,Yemen
https://www.tasteatlas.com/maraq,https://cdn.tasteatlas.com//images/dishes/85757560cf0246ae8e22dc00da86370e.jpg?mw=660,Meat Soup,Maraq,Yemen
https://www.tasteatlas.com/aseeda,https://cdn.tasteatlas.com//images/dishes/d9f5ab779f3b4c4fa985398860d6d8a3.jpg?mw=660,Breakfast,Aseeda,Yemen
https://www.tasteatlas.com/zhoug,https://cdn.tasteatlas.com//images/dishes/6f8b33d4cb0a483b99b963fdd38a7f31.jpg?mw=660,Sauce,Zhoug,Yemen
https://www.tasteatlas.com/masoub,https://cdn.tasteatlas.com//images/dishes/2e908f5c52cf45f58f5801aefe99151d.jpg?mw=660,Dessert,Masoub,Yemen
https://www.tasteatlas.com/shakshouka-yemen,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Yemen
https://www.tasteatlas.com/saltah,https://cdn.tasteatlas.com//Images/Dishes/ee8801c266e8497bb4aa998f172cc369.jpg?mw=660,Stew,Saltah,Yemen
https://www.tasteatlas.com/areeka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Areeka,Yemen
https://www.tasteatlas.com/jachnun,https://cdn.tasteatlas.com//images/dishes/191d106d925b45d28c8d3d638eb743ba.jpg?mw=660,Pastry,Jachnun,Yemen
https://www.tasteatlas.com/kubaneh,https://cdn.tasteatlas.com//Images/Dishes/10868c589f3b447c90c6691eb459d368.jpg?mw=660,Bread,Kubaneh,Yemen
https://www.tasteatlas.com/malooga,https://cdn.tasteatlas.com//Images/Dishes/17cab83dcc80468eb0120a9f3cbbd1b3.jpg?mw=660,Flatbread,Malooga,Yemen
