search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5,mini-ingredients__link href 6
https://www.tasteatlas.com/bolani,https://cdn.tasteatlas.com//Images/Dishes/5f424508b3e2467fb518128733213f4b.jpg?mw=660,1,Flatbread,https://www.tasteatlas.com/Flatbreads,Bolani,n/a,"The Afghan bolani is a stuffed, pan-fried flatbread made with unleavened dough that is typically filled with a mixture of potato mash and various other ingredients such as spinach, spring onions, pumpkin, or even green or red lentils. In Afghanist...",https://www.tasteatlas.com/bolani/wheretoeat,,,,,,,
https://www.tasteatlas.com/kabuli-pulao,https://cdn.tasteatlas.com//Images/Dishes/db17e2af35a0422b86622fe636daac10.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Kabuli pulao,,"The crown of Afghan cuisine, Kabuli pulao is often said to have been originally created by the upper-class families of Kabul who could afford to prepare this elaborate meat and rice dish. Over time, pulao had spread across the country and changed ...",https://www.tasteatlas.com/kabuli-pulao/wheretoeat,,,,,,,
https://www.tasteatlas.com/gosh-e-feel,https://cdn.tasteatlas.com//images/dishes/fdc258041d53467c901507572d557227.jpg?mw=660,3,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Gosh-e fil,n/a,"Gosh-e fil is an Afghan fried sweet pastry that is popularly nicknamed  due to its shape. The main ingredients in the dough are flour, sugar, eggs, and milk, which once it's kneaded and rested, is thinly rolled and only shor...",https://www.tasteatlas.com/gosh-e-feel/wheretoeat,elephant's ear,,,,,,
https://www.tasteatlas.com/borani-banjan,https://cdn.tasteatlas.com//Images/Dishes/4b2a220f583d48df8a41ed7b13b44667.jpg?mw=660,4,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Borani banjan,n/a,This delicious Afghan vegetable dish is made with slices of fried eggplant that are simmered in an aromatic tomato sauce and served topped with a thick yogurt that is heavily seasoned with garlic and mint. Even though  is oft...,https://www.tasteatlas.com/borani-banjan/wheretoeat,borani banjan,https://www.tasteatlas.com/Eggplants,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/Tomatoes,https://www.tasteatlas.com/turmeric,https://www.tasteatlas.com/cayenne-pepper,https://www.tasteatlas.com/oil
https://www.tasteatlas.com/chopan-kabob,https://cdn.tasteatlas.com//Images/Dishes/91b0bccf225b4dff846ffc26cd6767bf.jpg?mw=660,5,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Chopan kabob,n/a,"A specialty of Pashtun cuisine, chopan kabob is made with lamb meat roasted over a traditional Afghan charcoal brazier called . It was named after sheep herders ( is a Pashto word for shepherd) who used to rub chunks ...",https://www.tasteatlas.com/chopan-kabob/wheretoeat,mankal,https://www.tasteatlas.com/Lamb,https://www.tasteatlas.com/Salt,https://www.tasteatlas.com/sumac,https://www.tasteatlas.com/naan,,
https://www.tasteatlas.com/borani-kadoo,https://cdn.tasteatlas.com//images/dishes/92b901d3023f4c0f9ec60b053fa7a03c.jpg?mw=660,6,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Borani kadoo,n/a,"The main ingredients in this Afghan dish are chunks of pumpkin or squash that are slowly braised in a flavorful combination of onions, garlic, coriander, ginger, turmeric, chili peppers, and tomatoes. Borani kadoo can be enjoyed as the main course...",https://www.tasteatlas.com/borani-kadoo/wheretoeat,,https://www.tasteatlas.com/Pumpkins,https://www.tasteatlas.com/Tomatoes,https://www.tasteatlas.com/ginger,https://www.tasteatlas.com/turmeric,https://www.tasteatlas.com/Hot-peppers,https://www.tasteatlas.com/coriander
https://www.tasteatlas.com/mastawa,https://cdn.tasteatlas.com//Images/Dishes/8e459f95ce2c4861ab0bbbbf8224bda8.jpg?mw=660,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Mastawa,n/a,"This traditional Afghan winter dish is made with chickpeas, short-grained rice, and salted, sun-dried mutton called , all simmered together in an aromatic broth flavored with onions, garlic, turmeric, coriander, and mint.",https://www.tasteatlas.com/mastawa/wheretoeat,lahndi,https://www.tasteatlas.com/Rice,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Lamb,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/turmeric,https://www.tasteatlas.com/garlic
https://www.tasteatlas.com/haft-mewa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,8,Dessert,https://www.tasteatlas.com/Desserts,Haft mewa,n/a,"This Afghan dried fruit and nut soup is traditionally prepared the evening before Naw Roz, the Afghan New Year celebrated on the first day of spring. Haft mewa literally translates to  and is made with green and red raisins, a...",https://www.tasteatlas.com/haft-mewa/wheretoeat,seven fruits,,,,,,
https://www.tasteatlas.com/aushak,https://cdn.tasteatlas.com//Images/Dishes/2a0c71064bd54d089976b2ea92b5af07.jpg?mw=660,9,Dumplings,https://www.tasteatlas.com/Dumplings,Aushak,n/a,"These delicious Afghan dumplings are traditionally filled with either chopped spring onions or , a type of leek grown in almost every province in Afghanistan. Aushak, called also , is usually served with minced beef o...",https://www.tasteatlas.com/aushak/wheretoeat,gandana,,,,,,
https://www.tasteatlas.com/aush,,10,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Aush,n/a,"Aush or  is a thick Afghan noodle soup that can be made in numerous ways. The basic ingredients are always the noodles, along with garlic, tomatoes, different herbs and spices (mint being the most prevalent), and , a ty...",https://www.tasteatlas.com/aush/wheretoeat,ash,,,,,,
https://www.tasteatlas.com/shirpera,,11,Dessert,https://www.tasteatlas.com/Desserts,Shirpera,n/a,"Shirpera is a traditional dessert originating from Afghanistan. It's usually made with a combination of powdered milk, pistachios, sugar, cardamom, rosewater, butter, and almonds. The sugar is dissolved in water, brought to a boil until the syrup ...",https://www.tasteatlas.com/shirpera/wheretoeat,,https://www.tasteatlas.com/powdered-milk,https://www.tasteatlas.com/Pistachios,https://www.tasteatlas.com/Almonds,https://www.tasteatlas.com/Butter,https://www.tasteatlas.com/rose-waters,https://www.tasteatlas.com/Sugar
https://www.tasteatlas.com/koftachallow,,12,Meatballs,https://www.tasteatlas.com/meatballs,Kofta challow,n/a,"Kofta challow is a traditional Afghan dish consisting of meatballs and white rice, where  refers to  and  refers to . The meatballs are typically prepared with a combination of ground la...",https://www.tasteatlas.com/koftachallow/wheretoeat,kofta,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Lamb,https://www.tasteatlas.com/Rice,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/Eggs
https://www.tasteatlas.com/firnee,,13,Pudding,https://www.tasteatlas.com/puddings,Firnee,n/a,"Firnee is a traditional Afghan dessert that is believed to have originated in India, where it is known as . Afghan firnee is usually made with cornstarch (instead of ground rice in the Indian version) that is cooked in a mixture of ...",https://www.tasteatlas.com/firnee/wheretoeat,phirni,,,,,,
https://www.tasteatlas.com/zamarod-pulao,,14,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Zamarod pulao,n/a,"Zamarod pulao, translated to , is a famous Afghan dish made with lamb or beef, rice, and spinach cooked in vegetable stock. The spinach imparts its signature green color to the dish, so it is usually incorporated into the ric...",https://www.tasteatlas.com/zamarod-pulao/wheretoeat,emerald pilaf,,,,,,
https://www.tasteatlas.com/maash-pulao,,15,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Maash pulao,n/a,"Maash pulao is a traditional Afghan dish made with a combination of rice, mung beans, dried fruits, and aromatic spices. Cooked mung beans and long-grain rice such as basmati are combined with a mixture of sautéed onions, ginger, garlic, ch...",https://www.tasteatlas.com/maash-pulao/wheretoeat,,,,,,,
https://www.tasteatlas.com/shola,,16,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Shola,n/a,"Shola is a traditional Afghan dish that is based on a kind of short-grain sticky rice, which is also referred to as shola. The dish has been prepared in both sweet and savory versions, although the latter version is more common these days. Savory ...",https://www.tasteatlas.com/shola/wheretoeat,,,,,,,
https://www.tasteatlas.com/sheer-pira,,17,Dessert,https://www.tasteatlas.com/Desserts,Sheer pira,n/a,"Sheer pira, meaning  in Dari, is a traditional Afghan dessert made with a mixture of full-cream milk powder, ground cardamom, rosewater, and ground or chopped nuts combined with hot sugar syrup. The creamy mixture is added to a ...",https://www.tasteatlas.com/sheer-pira/wheretoeat,sweet milk,,,,,,
https://www.tasteatlas.com/malida,,18,Dessert,https://www.tasteatlas.com/Desserts,Malida,n/a,"Malida is a dessert from Afghanistan, prepared most commonly for weddings or other festive occasions, as well as for religious holidays. Bread made with flour, yeast, oil, baking soda, and water is ground very finely in a grinder, and the resultin...",https://www.tasteatlas.com/malida/wheretoeat,,,,,,,
https://www.tasteatlas.com/mastawa,https://cdn.tasteatlas.com//Images/Dishes/8e459f95ce2c4861ab0bbbbf8224bda8.jpg?mw=660,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Mastawa,n/a,"This traditional Afghan winter dish is made with chickpeas, short-grained rice, and salted, sun-dried mutton called , all simmered together in an aromatic broth flavored with onions, garlic, turmeric, coriander, and mint.",https://www.tasteatlas.com/mastawa/wheretoeat,lahndi,https://www.tasteatlas.com/Rice,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Lamb,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/turmeric,https://www.tasteatlas.com/garlic
https://www.tasteatlas.com/aush,https://cdn.tasteatlas.com//Images/Dishes/c4f7b4f20e88479c86381f1b79a3e555.jpg?mw=660,10,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Aush,n/a,"Aush or  is a thick Afghan noodle soup that can be made in numerous ways. The basic ingredients are always the noodles, along with garlic, tomatoes, different herbs and spices (mint being the most prevalent), and , a ty...",https://www.tasteatlas.com/aush/wheretoeat,ash,,,,,,
https://www.tasteatlas.com/shirpera,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,11,Dessert,https://www.tasteatlas.com/Desserts,Shirpera,n/a,"Shirpera is a traditional dessert originating from Afghanistan. It's usually made with a combination of powdered milk, pistachios, sugar, cardamom, rosewater, butter, and almonds. The sugar is dissolved in water, brought to a boil until the syrup ...",https://www.tasteatlas.com/shirpera/wheretoeat,,https://www.tasteatlas.com/powdered-milk,https://www.tasteatlas.com/Pistachios,https://www.tasteatlas.com/Almonds,https://www.tasteatlas.com/Butter,https://www.tasteatlas.com/rose-waters,https://www.tasteatlas.com/Sugar
https://www.tasteatlas.com/koftachallow,https://cdn.tasteatlas.com//images/dishes/b12ba277496d4c2098350105c2fa6366.jpg?mw=660,12,Meatballs,https://www.tasteatlas.com/meatballs,Kofta challow,n/a,"Kofta challow is a traditional Afghan dish consisting of meatballs and white rice, where  refers to  and  refers to . The meatballs are typically prepared with a combination of ground la...",https://www.tasteatlas.com/koftachallow/wheretoeat,kofta,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Lamb,https://www.tasteatlas.com/Rice,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/Eggs
https://www.tasteatlas.com/firnee,https://cdn.tasteatlas.com//images/dishes/44105dba1f104a9d84a84d46d46d3368.jpg?mw=660,13,Pudding,https://www.tasteatlas.com/puddings,Firnee,n/a,"Firnee is a traditional Afghan dessert that is believed to have originated in India, where it is known as . Afghan firnee is usually made with cornstarch (instead of ground rice in the Indian version) that is cooked in a mixture of ...",https://www.tasteatlas.com/firnee/wheretoeat,phirni,,,,,,
https://www.tasteatlas.com/zamarod-pulao,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,14,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Zamarod pulao,n/a,"Zamarod pulao, translated to , is a famous Afghan dish made with lamb or beef, rice, and spinach cooked in vegetable stock. The spinach imparts its signature green color to the dish, so it is usually incorporated into the ric...",https://www.tasteatlas.com/zamarod-pulao/wheretoeat,emerald pilaf,,,,,,
https://www.tasteatlas.com/maash-pulao,https://cdn.tasteatlas.com//images/dishes/a19e7ba84ea74a96a636b64c60811612.jpg?mw=660,15,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Maash pulao,n/a,"Maash pulao is a traditional Afghan dish made with a combination of rice, mung beans, dried fruits, and aromatic spices. Cooked mung beans and long-grain rice such as basmati are combined with a mixture of sautéed onions, ginger, garlic, ch...",https://www.tasteatlas.com/maash-pulao/wheretoeat,,,,,,,
https://www.tasteatlas.com/shola,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,16,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Shola,n/a,"Shola is a traditional Afghan dish that is based on a kind of short-grain sticky rice, which is also referred to as shola. The dish has been prepared in both sweet and savory versions, although the latter version is more common these days. Savory ...",https://www.tasteatlas.com/shola/wheretoeat,,,,,,,
https://www.tasteatlas.com/sheer-pira,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,17,Dessert,https://www.tasteatlas.com/Desserts,Sheer pira,n/a,"Sheer pira, meaning  in Dari, is a traditional Afghan dessert made with a mixture of full-cream milk powder, ground cardamom, rosewater, and ground or chopped nuts combined with hot sugar syrup. The creamy mixture is added to a ...",https://www.tasteatlas.com/sheer-pira/wheretoeat,sweet milk,,,,,,
