search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,item-location href,item-location,score-text--na,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5
https://www.tasteatlas.com/qofte-ferguara,https://cdn.tasteatlas.com//Images/Dishes/28d92c45587a48409f328fa2c0aca116.jpg?mw=660,1,Meatballs,https://www.tasteatlas.com/meatballs,Qofte fërguara,4.5,Best in   (Gjirokastër),Taverna Kuka,https://www.tasteatlas.com/TavernaKuka,"These delectable fried meatballs are prepared in both Albania and Kosovo either as a main dish or an appetizer. The origin of qofte fërguara can be ascribed to Turkish and Middle Eastern influence on the region, evident in both the ingredient...",https://www.tasteatlas.com/qofte-ferguara/wheretoeat,,,,,,,,
https://www.tasteatlas.com/tave-kosi,https://cdn.tasteatlas.com//images/dishes/4b7608861de64b4ea220d6163abcb2c3.jpg?mw=660,2,Casserole,https://www.tasteatlas.com/casserole,Tavë kosi,4.3,Best in   (Berat),Restaurant Mangalemi,https://www.tasteatlas.com/RestaurantMangalemi,"Tavë kosi, dubbed the unofficial national dish of Albania, is a casserole dish consisting of lamb meat and rice that's been seasoned and topped with , Albanian soured milk made from goat's or ewe's milk. The dish dates back to the...",https://www.tasteatlas.com/tave-kosi/wheretoeat,https://www.tasteatlas.com/elbasan,Elbasan,,,,,,
https://www.tasteatlas.com/flija,https://cdn.tasteatlas.com//Images/Dishes/e5cc168df59e4f98a7ff1804dd0c178b.jpg?mw=660,3,Pancake,https://www.tasteatlas.com/pancakes,Flija,3.9,Best in   (Fishtë),Mrizi i Zanave Agriturizëm,https://www.tasteatlas.com/mrizi-i-zanave-agriturizem,"is a typical dish of Albanian cuisine, prepared both in Albania and Kosovo. Although it is commonly termed as a pie or a cake, flija can more accurately be described as a stack of layered pancakes. The recipe consists of two differe...",https://www.tasteatlas.com/flija/wheretoeat,,,,,,,,
https://www.tasteatlas.com/shapkat,https://cdn.tasteatlas.com//images/dishes/eaf2e913154b497f8f0105349fb8da4f.jpg?mw=660,4,Savory Pie,https://www.tasteatlas.com/savory-pies,Shapkat,,,,,,https://www.tasteatlas.com/shapkat/wheretoeat,https://www.tasteatlas.com/gjirokaster,Gjirokastër,n/a,,,,,
https://www.tasteatlas.com/fergese-tirane,https://cdn.tasteatlas.com//images/dishes/e0ad2655cb20475e9cb41b7b0df15eb9.jpg?mw=660,5,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Fërgesë Tirane,,Best in   (Tirana),Restaurant Piceri Era Blloku,https://www.tasteatlas.com/restaurant-piceri-era-blloku,"One of Albania's national dishes, fërgesë tirane is a baked vegetable and cheese specialty originating from the capital of Tirana. Traditionally, this recipe uses bell peppers, onions, tomatoes, locally made salted cottage cheese (or fet...",https://www.tasteatlas.com/fergese-tirane/wheretoeat,https://www.tasteatlas.com/tirana,Tirana,n/a,https://www.tasteatlas.com/bell-peppers,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Tomatoes,https://www.tasteatlas.com/feta,https://www.tasteatlas.com/basil
https://www.tasteatlas.com/jani-me-fasule,https://cdn.tasteatlas.com//images/dishes/cfa3462a3c184352b1cfbbbdcf82bdd1.jpg?mw=660,6,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Jani me fasule,,Best in   (Fishtë),Mrizi i Zanave Agriturizëm,https://www.tasteatlas.com/mrizi-i-zanave-agriturizem,"Jani me fasule is a traditional Albanian white bean soup that has a variable recipe (and even name), depending on the region of the country. The preparation starts by soaking the white beans overnight, after which they are rinsed and boiled. Meanw...",https://www.tasteatlas.com/jani-me-fasule/wheretoeat,,,n/a,,,,,
https://www.tasteatlas.com/qumeshtor,https://cdn.tasteatlas.com//images/dishes/16f3a5c9b7f2442c831de671659b1c1c.jpg?mw=660,7,Custard,https://www.tasteatlas.com/custards,Qumështor,,,,,"Qumështor is a simple and traditional Albanian baked custard, made with eggs, milk, flour, butter, and sugar. It is typically eaten by the Orthodox population of southeastern Albania before the beginning of Lent. The recipe is straightforward...",https://www.tasteatlas.com/qumeshtor/wheretoeat,,,n/a,,,,,
https://www.tasteatlas.com/ballokume,https://cdn.tasteatlas.com//images/dishes/1777fe6eb1fd478b9ec3ce6ed55c4b1c.jpg?mw=660,8,Cookie,https://www.tasteatlas.com/Cookies,Ballokume Elbasani,,,,,"Ballokume is an Albanian biscuit originating from the city of Elbasan that was, and still is, traditionally prepared on Dita e Verës, a pagan holiday celebrated annually on March 14, first only in Elbasan, and from 2004 throughout Albania as ...",https://www.tasteatlas.com/ballokume/wheretoeat,https://www.tasteatlas.com/elbasan,Elbasan,n/a,https://www.tasteatlas.com/corn-flours,https://www.tasteatlas.com/Butter,https://www.tasteatlas.com/Sugar,https://www.tasteatlas.com/Eggs,https://www.tasteatlas.com/Milk
https://www.tasteatlas.com/pace-koke,https://cdn.tasteatlas.com//images/dishes/c7581e1098bf48e1af790b8dc1683085.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Paçe koke,,,,,"Paçe koke is a traditional Albanian stew made with the head of a lamb or a goat. Various fresh local vegetables and greens are added, such as carrots, celery, onions, parsley, and bay leaves. Once the meat is tender enough and easily separa...",https://www.tasteatlas.com/pace-koke/wheretoeat,,,n/a,,,,,
https://www.tasteatlas.com/sarma-albania,,10,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Sarma,4.4,,,,"One of the staples of traditional Turkish cuisine, sarma consists of a filling that is snugly surrounded by leaves or leafy vegetables. There are numerous versions of this dish but the mixture typically combines ingredients such as minced meat, ri...",https://www.tasteatlas.com/sarma-albania/wheretoeat,,,,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Lamb,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/Cabbages,https://www.tasteatlas.com/chard
