search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/Couscous-algeria,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Couscous (dish),4.1,"Numerous tiny, light, tender grains, ideally arranged to form a pyramid and served on a platter at the end of a meal - that is couscous, the national dish of Morocco and a must-have dish in any Moroccan restaurant. The word itself refers both to t...",https://www.tasteatlas.com/Couscous-algeria/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,,,,,,,
https://www.tasteatlas.com/mahjouba,https://cdn.tasteatlas.com//images/dishes/609374d8a1974d0aa7d84fb582262aa4.jpg?mw=660,2,Pancake,https://www.tasteatlas.com/pancakes,Mahjouba,5.0,"Mahjouba is a traditional Algerian pancake that is one of the most popular street food items in the country. These thick and flaky pancakes are made with semolina, then filled with a combination of tomatoes and caramelized onions. Mahjouba is ofte...",https://www.tasteatlas.com/mahjouba/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/harira-algeria,https://cdn.tasteatlas.com//Images/Dishes/31c8c0d449884b7692a0b12910f25687.jpg?mw=660,3,Soup,https://www.tasteatlas.com/Soups,Harira,4.5,"Harira is a herb-rich, tomato-based soup with a velvety-smooth, creamy texture, as the word  signifies  in Arabic. It's the most popular soup in Morocco, symbolizing the unification of people during Ramadan, the ...",https://www.tasteatlas.com/harira-algeria/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,
https://www.tasteatlas.com/rechta,https://cdn.tasteatlas.com//images/dishes/9288364b5dec4132b26844ec2d7d2314.jpg?mw=660,4,Noodle Dish,https://www.tasteatlas.com/Noodles,Rechta,4.7,"Rechta is a traditional Algerian dish consisting of thin and flat noodles and chicken sauce. The noodles are made with a combination of flour, salt, water, and ghee, while the sauce is made with chicken pieces, onions, garlic, oil, chickpeas, ras ...",https://www.tasteatlas.com/rechta/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/chorba-frik,https://cdn.tasteatlas.com//Images/Dishes/aa325778a367403dab3091939991a2cb.jpg?mw=660,5,Soup,https://www.tasteatlas.com/Soups,Chorba frik,4.6,"The traditional soup known as chorba frik is one of the staples of Algerian diet. It is a tomato-based soup made with meat, chickpeas, and an ancient grain called . The dish is seasoned with traditional Algerian spices such as mint or...",https://www.tasteatlas.com/chorba-frik/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/chakhchoukha,https://cdn.tasteatlas.com//images/dishes/b019ff38fb52455497d53708c972de4e.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Chakhchoukha,4.7,"Chakhchoukha is a flavorful Algerian meal consisting of torn pieces of a thin, round flatbread known as  and  – a stew made with diced lamb, tomatoes, chickpeas, onions, and flavorings such as cumin, ras el hano...",https://www.tasteatlas.com/chakhchoukha/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/tajine-zitoune,https://cdn.tasteatlas.com//images/dishes/12d8d78e1e6e4d2fb4ddb7f015415a5a.jpg?mw=660,7,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Tajine zitoune,4.3,"Tajine zitoune is a traditional Algerian dish made with a combination of chicken pieces, olives, onions, carrots, mushrooms, thyme, bay leaves, lemon juice, and saffron or turmeric. The olives are blanched and dried, while at the same time, the ch...",https://www.tasteatlas.com/tajine-zitoune/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,
https://www.tasteatlas.com/garantita,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Street Food,https://www.tasteatlas.com/Street-food,Garantita,4.5,"Garantita is a popular Algerian street food item that is consumed as a snack and prepared as a kind of cake or tart. The dough is made with a combination of chickpea flour, oil, spices, and water. It is then covered with a beaten egg and baked in ...",https://www.tasteatlas.com/garantita/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/msemen-algeria,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,9,Flatbread,https://www.tasteatlas.com/Flatbreads,Msemen,4.4,"Msemen is a traditional Moroccan flatbread made with a combination of flour, semolina, sugar, salt, yeast, warm water, oil, and clarified butter. The dough is kneaded until it becomes smooth, and pieces of it are then flattened and shaped into squ...",https://www.tasteatlas.com/msemen-algeria/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/maaqouda,https://cdn.tasteatlas.com//images/dishes/276dadfa31ae46c3a612642dc2b7dbac.jpg?mw=660,10,Appetizer,https://www.tasteatlas.com/Appetizers,Maaqouda,,"Maakouda are traditional potato fritters that are popular throughout the Maghreb, especially in Morocco, Algeria, and Tunisia. The fritters are usually prepared plain, but they can also be stuffed with meat, tuna, or cheese, although not that ofte...",https://www.tasteatlas.com/maaqouda/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,n/a
