search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5
https://www.tasteatlas.com/calulu,https://cdn.tasteatlas.com//images/dishes/f00b68dd394f4f1db0b796d2fcd7462a.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Calulu,n/a,"This hearty stew is commonly enjoyed in São Tomé e Príncipe and Angola. Though it is typically prepared with fresh or dry fish and shrimps, when it goes under the name , some versions can occasionally e...",calulu de peixe,https://www.tasteatlas.com/calulu/wheretoeat,,,,,
https://www.tasteatlas.com/cabidela-angola,https://cdn.tasteatlas.com//Images/Dishes/5e565961e3e74c4bb797f3b2462a5779.jpg?mw=660,2,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Cabidela,,"Cabidela is a Portuguese dish consisting of rice and poultry or game meat cooked together with animal’s blood. Rice can be cooked alongside meat or served on the side, while red wine or vinegar are sometimes added to moderate the tartness. W...",,https://www.tasteatlas.com/cabidela-angola/wheretoeat,,,,,
https://www.tasteatlas.com/funje,https://cdn.tasteatlas.com//images/dishes/2df5715b082c4bceb1c2298d2e1e93b5.jpg?mw=660,3,Porridge,https://www.tasteatlas.com/Porridge,Funje,n/a,"One of the most popular foods in Angola, funje is an essential side dish accompanying breakfast, lunch, and dinner meals in many households of rural families throughout the country. It is a type of porridge made from cassava flour that is stirred ...",,https://www.tasteatlas.com/funje/wheretoeat,,,,,
https://www.tasteatlas.com/muamba-de-galinha,https://cdn.tasteatlas.com//Images/Dishes/346d8c20b76b4e9682f02d2dc5dfb9db.jpg?mw=660,4,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Muamba de galinha,n/a,"Muamba de galinha or  is a dish made with chicken, red palm oil sauce called , garlic, okra and  - a variety of Angolan hot chile pepper. Palm oil gives the dish a specific flavor, w...",chicken muamba,https://www.tasteatlas.com/muamba-de-galinha/wheretoeat,https://www.tasteatlas.com/Chicken,https://www.tasteatlas.com/Okras,https://www.tasteatlas.com/thyme,https://www.tasteatlas.com/bouillon-cubes,https://www.tasteatlas.com/palm-oils
https://www.tasteatlas.com/piri-piri-sauce,https://cdn.tasteatlas.com//images/dishes/33ea3a8cb42a4f1b952a54d19b6cd484.jpg?mw=660,5,Sauce,https://www.tasteatlas.com/Sauces,Piri Piri Sauce,n/a,"Piri piri or  is a spicy sauce originating from either Angola or Mozambique. Variations of the sauce have been around for a long time, since the 15th century when the Portuguese settlers in Angola and Mozambique used bird's eye c...",peri peri,https://www.tasteatlas.com/piri-piri-sauce/wheretoeat,https://www.tasteatlas.com/bird's-eye-chili,https://www.tasteatlas.com/Vinegar,https://www.tasteatlas.com/Lemons,https://www.tasteatlas.com/paprika,https://www.tasteatlas.com/oil
https://www.tasteatlas.com/kizaka,https://cdn.tasteatlas.com//images/dishes/9e69d589f3c9412fa4ff9e68da335424.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Kizaka,n/a,"Traditional Angolan dish kizaca, sometimes spelled  or , is one of the most popular vegetarian dishes in the country. It is made with boiled cassava leaves mixed with ground peanuts. Cassava and peanuts are stewed un...",quizaca,https://www.tasteatlas.com/kizaka/wheretoeat,https://www.tasteatlas.com/cassava-leaves,https://www.tasteatlas.com/Collard-greens,https://www.tasteatlas.com/Kale,https://www.tasteatlas.com/spinach,https://www.tasteatlas.com/vegetable-oils
https://www.tasteatlas.com/cocada-amarela,,7,Pudding,https://www.tasteatlas.com/puddings,Cocada amarela,n/a,"Cocada amarela is a sweet Angolan custard or pudding that was originally brought over to the country by the Portuguese, and was then modified by the locals. It consists of water, sugar, salt, grated coconut, and eggs. The dessert is characterized ...",,https://www.tasteatlas.com/cocada-amarela/wheretoeat,,,,,
https://www.tasteatlas.com/catatos,,8,Insect Dish,https://www.tasteatlas.com/insect-dishes,Catatos,n/a,"Catatos is a unique and unusual Angolan dish. At its most basic, the dish is made by frying caterpillars with garlic, but it can be enriched with the addition of onions, peppers, and tomatoes. The caterpillars should be quite tender, but with a cr...",,https://www.tasteatlas.com/catatos/wheretoeat,,,,,
https://www.tasteatlas.com/chikwanga-angola,,9,Bread,https://www.tasteatlas.com/Breads,Chikwanga,n/a,"Chikwanga or  is a traditional bread from the Democratic Republic of Congo, consisting of cassava flour cakes that are wrapped in dry banana leaves, then steamed. Its savory flavor pairs well with most of the main meals in the count...",kwanga,https://www.tasteatlas.com/chikwanga-angola/wheretoeat,,,,,
https://www.tasteatlas.com/gafanhotos-de-palmeira,,10,Insect Dish,https://www.tasteatlas.com/insect-dishes,Gafanhotos de palmeira,n/a,"Gafanhotos de palmeira is a traditional Angolan insect dish. It's made by frying or toasting grasshoppers in red palm oil in order to give them the unique flavor and color. These grasshoppers are usually harvested from palm trees. Once prepared, t...",,https://www.tasteatlas.com/gafanhotos-de-palmeira/wheretoeat,,,,,
https://www.tasteatlas.com/papaya-with-port-wine,,11,Appetizer,https://www.tasteatlas.com/Appetizers,Papaya with Port Wine,n/a,"Papaya with Port wine is an unusual Angolan appetizer that's also an interesting way of starting a meal, usually dinner. The dish consists of sliced papayas that are drizzled with lime juice and a few drops of Port wine. Since it is such an easy d...",,https://www.tasteatlas.com/papaya-with-port-wine/wheretoeat,,,,,
