search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,item-location href,item-location,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5,mini-ingredients__link href 6,mini-ingredients__image src,mini-ingredients__image src 2,mini-ingredients__image src 3,mini-ingredients__image src 4,mini-ingredients__image src 5,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/alfajor,https://cdn.tasteatlas.com//Images/Dishes/e56d10e630ae46bcb9e04c7ef912dd04.jpg?mw=660,1,Cookie,https://www.tasteatlas.com/Cookies,Alfajor,4.3,Best in   (Buenos Aires),Havanna,https://www.tasteatlas.com/Havanna,Alfajor is a type of treat with  or milk jam stuffing sandwiched between two sweet cookies. The combination is then coated with a layer of chocolate or sprinkled with confectioners' sugar. The name  stems fro...,dulce de leche,https://www.tasteatlas.com/alfajor/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/asado,https://cdn.tasteatlas.com//Images/Dishes/bc210d52370b456092dde323280efbb7.jpg?mw=660,2,Barbecue,https://www.tasteatlas.com/barbecue,Asado,4.8,Best in   (Buenos Aires),Steaks by Luis,https://www.tasteatlas.com/steaks-by-luis,"Considered an epitome of Argentinean gastronomy and culture, asado (lit. roast; roasted) is much more than merely a meal. In Argentina, Chile, Uruguay, Paraguay, and in a number of other South American countries, it is both a culinary and social e...",,https://www.tasteatlas.com/asado/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/parrilla,https://cdn.tasteatlas.com//images/dishes/ee1a2c7d7ae84299a02d9680a556903f.jpg?mw=660,3,Barbecue,https://www.tasteatlas.com/barbecue,Parrilla,4.4,Best in   (Buenos Aires),Don Julio,https://www.tasteatlas.com/DonJulio,"Parrilla is an Argentine word with two meanings – it can be used to describe a typical Argentine steakhouse restaurant, or it can denote a metal grill used for preparing the meat. The metal grill is a part of traditional asado barbecues. It ...",,https://www.tasteatlas.com/parrilla/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/dulce-de-leche,,4,Dessert,https://www.tasteatlas.com/Desserts,Dulce de leche,4.5,,,,"Dulce de leche is a type of condensed milk sweet from Argentina. Traditionally, it is made by heating sweetened cow's milk until it caramelizes and achieves a thick consistency, enough to act as a spread, a filling for cakes and pies, or an ice cr...",,https://www.tasteatlas.com/dulce-de-leche/wheretoeat,https://www.tasteatlas.com/buenos-aires,Buenos Aires,https://www.tasteatlas.com/Milk,https://www.tasteatlas.com/Sugar,https://www.tasteatlas.com/vanilla,,,,,,,,,,
https://www.tasteatlas.com/milanesa,,5,Beef Dish,https://www.tasteatlas.com/beef-dishes,Milanesa,4.5,Best in   (Buenos Aires),Don Ignacio,https://www.tasteatlas.com/don-ignacio,"Often referred to as Argentina's unofficial national dish, milanesa is a humble, yet delicious meal consisting of a breaded slice of prime beef that is fried in hot oil, curling up as it cooks, due to the fact that the chosen cuts of meat have les...",,https://www.tasteatlas.com/milanesa/wheretoeat,,,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/breadcrumbs,https://www.tasteatlas.com/Eggs,https://www.tasteatlas.com/parsley,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/sunflower-oils,,,,,,,
https://www.tasteatlas.com/chimichurri,,6,Sauce,https://www.tasteatlas.com/Sauces,Chimichurri,4.2,Best in   (Buenos Aires),La Cabrera Parrilla Palermo,https://www.tasteatlas.com/LaCabrera,"What harissa is to Moroccan cuisine and what mustard is to hot dogs in the USA, chimichurri is to steaks in Argentina. It is an aromatic mixture of parsley, garlic, oregano, olive oil, vinegar, and hot red pepper flakes, although additional ingred...",,https://www.tasteatlas.com/chimichurri/wheretoeat,,,https://www.tasteatlas.com/parsley,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/oregano,https://www.tasteatlas.com/Olive-oil,https://www.tasteatlas.com/Vinegar,https://www.tasteatlas.com/red-chili-flakes,,,,,,,
https://www.tasteatlas.com/medialunas,,7,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Medialunas,4.1,Best in   (Buenos Aires),Dos Escudos,https://www.tasteatlas.com/DosEscudos,"These soft crescent rolls are regarded as the Argentinian take on traditional French . Even though they are very similar to the French variety, medialunas are slightly smaller and a bit sweeter. There are two traditional types o...",croissants,https://www.tasteatlas.com/medialunas/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/choripan,,8,Sandwich,https://www.tasteatlas.com/sandwiches,Choripán,4.4,Best in   (Buenos Aires),Nuestra Parrilla,https://www.tasteatlas.com/NuestraParrilla,"Choripán is the ultimate in Argentine street food, a sandwich consisting of a  sausage and a variety of condiments in a crusty bun. It is usually consumed on the go, since it is mostly sold at street stands throughout Latin ...",chorizo,https://www.tasteatlas.com/choripan/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sandwich-de-lomo,,9,Sandwich,https://www.tasteatlas.com/sandwiches,Sandwich de lomo,4.2,Best in   (Buenos Aires),La Rambla,https://www.tasteatlas.com/la-rambla,"This is an extreme version of a steak sandwich – filled with thinly sliced lomo steak, tomatoes, onions, lettuce, mayonnaise, chimichurri sauce, ham, cheese, and a fried egg, sandwich de lomo or  is a behemoth of a sandwich th...",lomito,https://www.tasteatlas.com/sandwich-de-lomo/wheretoeat,https://www.tasteatlas.com/cordoba-province,Córdoba Province,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Tomatoes,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Lettuce,https://www.tasteatlas.com/mayonnaise,https://www.tasteatlas.com/chimichurri,,,,,,,
https://www.tasteatlas.com/rogel,,10,Cake,https://www.tasteatlas.com/cakes,Rogel,3.6,Best in   (Buenos Aires),Dos Escudos,https://www.tasteatlas.com/DosEscudos,"Rogel is a classic Argentinian dessert consisting of numerous thin layers of dough that are topped with a creamy dulce de leche spread. The cake traditionally includes eight layers, while the top is usually decorated with Italian meringue. Althoug...",,https://www.tasteatlas.com/rogel/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/locro,,11,Stew,https://www.tasteatlas.com/Stews,Locro,3.5,Best in   (Buenos Aires),El Sanjuanino,https://www.tasteatlas.com/elsanjuanino,"Locro is a thick and nourishing stew which originated in South America, long before the arrival of Spanish conquistadores. This authentic and traditional stew has numerous varieties, but the most famous version is the Argentinian locro, mostly mad...",,https://www.tasteatlas.com/locro/wheretoeat,,,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/organ-meats,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/Sausages,https://www.tasteatlas.com/bacon,https://www.tasteatlas.com/Corn,,,,,,,
