search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/lavash,https://cdn.tasteatlas.com//Images/Dishes/e187e389c5344e0695f9bc24f25d6bac.jpg?mw=660,1,Flatbread,https://www.tasteatlas.com/Flatbreads,Lavash,4.1,Best in   (Yerevan),Lavash Restaurant,https://www.tasteatlas.com/lavashrestaurant,"Lavash is a traditional Armenian flatbread claimed by many food specialists to be Armenian in origin, but it is well-known and prepared throughout Western Asia and the Caucasus. The dough consists of wheat flour, salt, and water leavened only with...",https://www.tasteatlas.com/lavash/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/lahmacun-armenia,https://cdn.tasteatlas.com//Images/Dishes/175eaf225ea5486c92f856a8426b7f0c.jpg?mw=660,2,Snack,https://www.tasteatlas.com/Snacks,Lamadjo,4.4,,,,"Even though lahmacun is popularly nicknamed , that name doesn't really do justice to what this crunchy, doughy treat topped with spicy minced meat truly represents. In Turkey, lahmacun is the ultimate street food and a favori...",https://www.tasteatlas.com/lahmacun-armenia/wheretoeat,Turkish pizza,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,
https://www.tasteatlas.com/dzhash,https://cdn.tasteatlas.com//Images/Dishes/aaad4be3ac8f4b3099908d16aa96ff25.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Dzhash,,Best in   (Yerevan),The Club,https://www.tasteatlas.com/the-club,"Traditionally cooked in a , a built-in underground clay oven, dzhash is a tomato-based stew that can be made with either meat or legumes, but always includes vegetables. The stew is often generously seasoned with a variety of spices....",https://www.tasteatlas.com/dzhash/wheretoeat,tonir,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Legumes,https://cdn.tasteatlas.com/images/ingredientgroups/36724388dfaf439db7295fc9cc38e9dd.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com/images/dishes/e2e04922bd2647f3a8cf147a736c34b5.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,n/a
https://www.tasteatlas.com/dolma-armenia,https://cdn.tasteatlas.com//Images/Dishes/9dfe8ce1742c474586de7a8baf07aa63.jpg?mw=660,4,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Dolma,4.0,,,,"Dolma is Turkey's national dish, and it signifies any sort of vegetable stuffed with a mixture based on rice. For traditional dolma, grape leaves are stuffed with rice and ground meat. Stuffed leaves were first made at the court of King Khusrow II...",https://www.tasteatlas.com/dolma-armenia/wheretoeat,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/grape-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/d513c688debe447ab21222e865ca9924.png?h=120&w=120,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,
https://www.tasteatlas.com/ghapama,https://cdn.tasteatlas.com//Images/Dishes/ed773d785fd2446cae6dd284fa1f8ddb.jpg?mw=660,5,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Ghapama,,,,,"Ghapama is an Armenian dish typically prepared by stuffing a pumpkin with rice, various nuts and dried fruits, butter, honey, and cinnamon, but there are also some recipes calling for meat. The dish is traditionally prepared between New Year and A...",https://www.tasteatlas.com/ghapama/wheretoeat,,https://www.tasteatlas.com/Pumpkins,https://cdn.tasteatlas.com/images/ingredientgroups/e9b4f1746e4b409e96acc5ec788b0fda.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Plums,https://cdn.tasteatlas.com/images/ingredientgroups/6b5b38011c7d4e43af117c875ad232b2.png?h=120&w=120,https://www.tasteatlas.com/Apricots,https://cdn.tasteatlas.com/images/ingredientgroups/0a0cb8afaa784da8896f7d5404da7ef1.png?h=120&w=120,https://www.tasteatlas.com/nuts,https://cdn.tasteatlas.com/images/ingredientgroups/0641a2da3cfe4d998fced5b092b43999.png?h=120&w=120,n/a
https://www.tasteatlas.com/harissa,https://cdn.tasteatlas.com//images/dishes/bc96eb0b7b2e42e69d07f88b4a442fd2.jpg?mw=660,6,Porridge,https://www.tasteatlas.com/Porridge,Harissa,3.9,Best in   (Yerevan),Tavern Yerevan,https://www.tasteatlas.com/TavernYerevan,"Considered the national dish of Armenia, harissa is a thick porridge made by slowly simmering  (dried or roasted cracked wheat) together with fatty pieces of lamb or chicken meat. Said to have been invented in the Ararat plains, the...",https://www.tasteatlas.com/harissa/wheretoeat,korkot,,,,,,,,,,,,,
https://www.tasteatlas.com/manti-armenia,https://cdn.tasteatlas.com//images/dishes/6b66f5a7a8aa4ff8bf8a062f1cd6330b.jpg?mw=660,7,Dumplings,https://www.tasteatlas.com/Dumplings,Manti,4.5,,,,"Manti are traditional Turkish dumplings filled with spiced ground meat and onions. The dumplings are most commonly topped with a sauce consisting of yogurt and garlic. The name of the dish is derived from , meaning ...",https://www.tasteatlas.com/manti-armenia/wheretoeat,mantu,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,
https://www.tasteatlas.com/khorovats,https://cdn.tasteatlas.com//Images/Dishes/77a84104db0b4e9f962f06e192127656.jpg?mw=660,8,Barbecue,https://www.tasteatlas.com/barbecue,Khorovats,4.5,Best in   (Yerevan),Urartu Restaurant,https://www.tasteatlas.com/UrartuRestaurant,"Khorovats is a unique Armenian barbecue method where the meat is first placed on a set of high-quality skewers called  and , then grilled on , a grill often shared among neighbors, or less commonly, b...",https://www.tasteatlas.com/khorovats/wheretoeat,shish,,,,,,,,,,,,,
https://www.tasteatlas.com/gata,https://cdn.tasteatlas.com//Images/Dishes/b2df6ce55d1e4f85b3016f83cf93c328.jpg?mw=660,9,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Gata,,Best in   (Aparan),Gntuniq Bakery,https://www.tasteatlas.com/GntuniqBakery,"Gata is a mildly-sweet Armenian pastry with a shiny glaze crust. It comes in two varieties: plain, or if made for weddings and festive occasions, decorated with an intricate design on its top. There are many variations of gata, usually specific to...",https://www.tasteatlas.com/gata/wheretoeat,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/topik,https://cdn.tasteatlas.com//images/dishes/a9b77c0ae31e48dc853810afee8a730f.jpg?mw=660,10,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Topik,,,,,"This Armenian vegetarian dish is traditionally consumed during Lent. Topik consists of a potato and chickpea shell that is wrapped around a paste-like filling of onions, currants, pine nuts, tahini, and olive oil. The filling is typically flavored...",https://www.tasteatlas.com/topik/wheretoeat,,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/currants,https://cdn.tasteatlas.com/images/ingredientgroups/345ce7fb5e5e403b9541291fa31e30f7.png?h=120&w=120,https://www.tasteatlas.com/pine-nuts,https://cdn.tasteatlas.com/images/ingredientgroups/2108a7804fe04f57a002907791e0e43f.png?h=120&w=120,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,n/a
