search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location,search-results__item-description,search-results__item-description 2,search-results__item-description 3,read-more,score-text--na
https://www.tasteatlas.com/macadamia,https://cdn.tasteatlas.com//Images/Ingredients/64d0a217095343f0b5200f4e5ef6d2aa.jpg?mw=660,1,Nuts,https://www.tasteatlas.com/nuts,Macadamia,https://www.tasteatlas.com/queensland,Queensland,"are indigenous to Australia and native to northeastern New South Wales, along with central and south-eastern Queensland. What was known to the Aborigines as  or  was later renamed to",Macadamia nuts,gyndl,READ MORE,
https://www.tasteatlas.com/granny-smith,https://cdn.tasteatlas.com//Images/Ingredients/7ea01754d8a24c4d939bcb841c4eab8f.jpg?mw=660,2,Apple,https://www.tasteatlas.com/Apples,Granny Smith,https://www.tasteatlas.com/new-south-wales,New South Wales,"These world-famous green apples actually have Australian origins. According to legend, Maria Ann Smith found an apple seedling near her house in 1868. Shortly thereafter, it began to bear light green colored apples which proved to be perfect for b...",,,READ MORE,
https://www.tasteatlas.com/tim-tam,https://cdn.tasteatlas.com//images/ingredients/c8528e2cdd3a4a32a50c1d11d15d1bee.jpg?mw=660,3,Chocolate Biscuit,https://www.tasteatlas.com/chocolate-biscuits,Tim Tam,,,"Tim Tam is an Australian brand of chocolate biscuits created by Arnott’s. They consists of two malted biscuits which are separated by chocolate cream, then coated in a thin layer of chocolate. Tim Tams were created by Ian Norris and named by...",,,READ MORE,
https://www.tasteatlas.com/cripps-pink,https://cdn.tasteatlas.com//images/ingredients/08168b19a3ac4ada8577d3a41f40f55b.jpg?mw=660,4,Apple,https://www.tasteatlas.com/Apples,Cripps Pink,,,is an Australian variety of apples which were developed by John Cripps in the late 20th century. The apples are characterized by their red color and flesh that is white to cream or pale yellow in color. These flavorful fruits ...,Cripps pink,,READ MORE,
https://www.tasteatlas.com/lemon-myrtle,https://cdn.tasteatlas.com//images/ingredients/4a775cdadc3140d28ec37ed298f0b730.jpg?mw=660,5,Herb,https://www.tasteatlas.com/herbs,Lemon Myrtle,https://www.tasteatlas.com/queensland,Queensland,"Lemon myrtle is a shrub or tree native to Queensland, Australia. Fresh or dried leaves are used for human consumption, and lemon myrtle is a great producer of citrol, the oil responsible for its signature flavor and aroma. Some say that these leav...",,,READ MORE,n/a
https://www.tasteatlas.com/quandong,https://cdn.tasteatlas.com//images/ingredients/bb0570951e984a3c8c6522e5d13e1a91.jpg?mw=660,6,Fruit,https://www.tasteatlas.com/fruits,Quandong,,,is a small Australian fruit with a bright red color and a slightly tart flavor that is often described as a cross between peaches and apricots. Fruit pits at the center have an almond-like flavor and can be roasted or pressed for...,Quandong,,READ MORE,n/a
https://www.tasteatlas.com/fior-di-latte-cheese,https://cdn.tasteatlas.com//images/ingredients/4c257374184245a79d572fd29d26308f.jpg?mw=660,7,Cheese,https://www.tasteatlas.com/Cheese,Fior di Latte (Australia),https://www.tasteatlas.com/new-south-wales,New South Wales,"is an Australian cow's milk cheese produced in New South Wales. It is characterized by its mild, tangy, and milky flavor, and a pale yellow color, similar to that of Italian  cheese. The cheese has an elas...",Fior di latte,mozzarella,READ MORE,n/a
https://www.tasteatlas.com/lilly-pilly,https://cdn.tasteatlas.com//images/ingredients/7187e7c1dfa04f6a85ff8b76c638ce37.jpg?mw=660,8,Plant,https://www.tasteatlas.com/Plants,Lilly Pilly,,,"is an evergreen plant with dense and glossy leaves. It is grown throughout Australia as an ornamental tree, as well for its fruit, known as  or . Since there are more than fifty varieties of...",Lilly pilly,lilly pilly,READ MORE,n/a
https://www.tasteatlas.com/kangaroo-meat,https://cdn.tasteatlas.com//images/ingredients/d552499134a54ca3b1839e0e61bd9691.jpg?mw=660,9,Game,https://www.tasteatlas.com/Game,Kangaroo Meat,,,"is mostly produced throughout Australia. Due to its low-fat content, grilled kangaroo steaks should be served medium rare. The meat pairs well with plums, oranges, red currants, rosemary, juniper, and garlic. Its taste is of...",Kangaroo meat,,READ MORE,n/a
https://www.tasteatlas.com/emu-meat,https://cdn.tasteatlas.com//images/ingredients/934411eeef084471861b01aef5b1998d.jpg?mw=660,10,Game,https://www.tasteatlas.com/Game,Emu Meat,,,"is a type of red meat characterized by having a low content of fat and cholesterol. Due to its low-fat content, it should be cooked carefully in order to avoid the meat becoming dried out. The most tender cuts of emu meat include...",Emu meat,,READ MORE,n/a
