search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,score-text--na,search-results__item-description 2,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/baliq-kebab,https://cdn.tasteatlas.com//Images/Dishes/201a4e4b511f421ab7e91a5ea5006d0c.jpg?mw=660,1,Freshwater Fish Dish,https://www.tasteatlas.com/freshwater-fish-dishes,Baliq kebab,4.8,"Baliq is a popular Azerbaijani kebab consisting of any firm, rich fish that is marinated, skewered, and grilled. In Azerbaijan, sturgeon from the Caspian Sea is the most common choice for baliq. The fish is divided into chunks, which are then typi...",https://www.tasteatlas.com/baliq-kebab/wheretoeat,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/dill,https://cdn.tasteatlas.com/images/ingredientgroups/8384c9ba7c584ab2901cac3361e56fea.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,,,,,
https://www.tasteatlas.com/dovga,https://cdn.tasteatlas.com//Images/Dishes/0a7ea2b56972453e8f570a21e172cd37.jpg?mw=660,2,Soup,https://www.tasteatlas.com/Soups,Dovga,3.9,"Dovga is a soup made by cooking yogurt with a variety of fresh herbs such as dill, mint, and coriander. It is the national dish of Azerbaijan and can be served either cold in the summer as a refreshment, or warm in the winter. If it's served chill...",https://www.tasteatlas.com/dovga/wheretoeat,,,,,,,,,,,Best in   (Baku),Mugam Club,https://www.tasteatlas.com/MugamClub,,,,
https://www.tasteatlas.com/soyutma,https://cdn.tasteatlas.com//Images/Dishes/e922629ef1f047379b4c9b98d30e578a.jpg?mw=660,3,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Soyutma,,"Azerbaijan's national dish is called , meaning . There are two versions of the dish in Azerbaijani cuisine - one is prepared with lamb, the other one with chicken meat. The meat is boiled in water ...",https://www.tasteatlas.com/soyutma/wheretoeat,,,,,,,,,,,,,,n/a,soyutma,,
https://www.tasteatlas.com/yarpaq-dolmas,https://cdn.tasteatlas.com//Images/Dishes/47d748246fc24dd692592360d18dfe80.jpg?mw=660,4,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Yarpaq dolması,4.5,"Azerbaijan's national dish is called yarpaq dolmasi, a savory meal consisting of vine leaves stuffed with chopped meat, onions, rice, salt, pepper, butter, and fresh herbs such as coriander, dill and mint. Dolma belongs to a family of stuffed dish...",https://www.tasteatlas.com/yarpaq-dolmas/wheretoeat,https://www.tasteatlas.com/grape-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/d513c688debe447ab21222e865ca9924.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,Best in   (Baku),Mugam Club,https://www.tasteatlas.com/MugamClub,,,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120
https://www.tasteatlas.com/lyulya-kebab,https://cdn.tasteatlas.com//Images/Dishes/582c366d8d914eb2b345b25731e03b03.jpg?mw=660,5,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Lyulya kebab,4.4,"Lyulya kebab is a unique kebab variety popular throughout the Caucasus region. It typically consists of ground lamb combined with finely chopped onions. The mixture is seasoned with salt and black pepper, then skewered and grilled. Other types of ...",https://www.tasteatlas.com/lyulya-kebab/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/sumac,https://cdn.tasteatlas.com/images/dishes/3870f3fae6b74d40a8204bee307508b2.png?h=120&w=120,Best in   (Baku),Mugam Club,https://www.tasteatlas.com/MugamClub,,,https://www.tasteatlas.com/lavash,https://cdn.tasteatlas.com/images/dishes/16f3181148e84a6c96e601e9fb65d813.png?h=120&w=120
https://www.tasteatlas.com/badambura,https://cdn.tasteatlas.com//Images/Dishes/2c96afe4ac6c46e5ac3dd6650880326d.jpg?mw=660,6,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Badambura,,"Badambura is a popular Azerbaijani pastry consisting of several layers of flaky dough filled with almonds, sugar, and ground cardamom. It is usually brushed with egg wash and baked until it develops a golden-brown color. This flavorful dessert is ...",https://www.tasteatlas.com/badambura/wheretoeat,,,,,,,,,,,,,,n/a,,,
https://www.tasteatlas.com/domates-dolmasi-azerbaijan,https://cdn.tasteatlas.com//images/dishes/1219c0c20bb84aec9f35c073da539c32.jpg?mw=660,7,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Domates dolmasi,,"Domates dolmasi is a traditional Turkish dish that's also popular in Azerbaijan. It consists of stuffed and cooked tomatoes. The tomatoes are stuffed with a combination of ground lamb, rice, onions, parsley, olive oil, mint, and seasonings. They'r...",https://www.tasteatlas.com/domates-dolmasi-azerbaijan/wheretoeat,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,,,,n/a,,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120
https://www.tasteatlas.com/qutab,https://cdn.tasteatlas.com//Images/Dishes/1a069f45c8c1495eb3bbd9e630a0f10f.jpg?mw=660,8,Snack,https://www.tasteatlas.com/Snacks,Qutab,,"Qutab is one of the most famous dishes in Azerbaijan. Similar in shape to a , qutab is made with paper-thin dough, stuffed with a variety of ingredients, folded, and usually baked in , a traditional Azerbaijani fryin...",https://www.tasteatlas.com/qutab/wheretoeat,,,,,,,,,,,Best in   (Baku),Sumakh,https://www.tasteatlas.com/sumakh,n/a,quesadilla,,
https://www.tasteatlas.com/buglama,https://cdn.tasteatlas.com//Images/Dishes/7b7e08fbd55c48a09dafd32afb4c7e83.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Buglama,,"Buglama is a popular Azerbaijani and Georgian dish consisting of lamb pieces that are stewed with onions, tomatoes, peppers, a variety of spices including black pepper and bay leaves, and a small amount of liquid. The name of the dish means steame...",https://www.tasteatlas.com/buglama/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,Best in   (Baku),Sehrli Tandir,https://www.tasteatlas.com/SehrliTandir,n/a,,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120
https://www.tasteatlas.com/shah-pilaf,https://cdn.tasteatlas.com//images/dishes/71440b3e8521401ebd50427c5e29952b.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Shah pilaf,,A dish worthy of a king - or perhaps simply the main course of a wedding ceremony - shah pilaf (translated as ) is a traditional Azerbaijani meal infused with a medley of local aromas. It goes through several stages of preparat...,https://www.tasteatlas.com/shah-pilaf/wheretoeat,https://www.tasteatlas.com/basmati,https://cdn.tasteatlas.com/images/dishes/f818e30c86c2471abb8afe349ffebf40.png?h=120&w=120,https://www.tasteatlas.com/lavash,https://cdn.tasteatlas.com/images/dishes/16f3181148e84a6c96e601e9fb65d813.png?h=120&w=120,https://www.tasteatlas.com/Apricots,https://cdn.tasteatlas.com/images/ingredientgroups/0a0cb8afaa784da8896f7d5404da7ef1.png?h=120&w=120,https://www.tasteatlas.com/Prunes,https://cdn.tasteatlas.com/images/ingredientgroups/75fe720786dd42e0896eef781fd7e6b2.png?h=120&w=120,https://www.tasteatlas.com/Chestnuts,https://cdn.tasteatlas.com/images/ingredientgroups/64a5eba262c14f49a5b0e454a755d5ad.png?h=120&w=120,Best in   (Baku),Shirvanshah Museum Restaurant,https://www.tasteatlas.com/shirvanshah-museum-restaurant,n/a,crown pilaf,https://www.tasteatlas.com/Raisins,https://cdn.tasteatlas.com/images/ingredientgroups/24b73f40527d4dd0967bba896ecb3696.png?h=120&w=120
