search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/fuchka-bangladesh,https://cdn.tasteatlas.com//Images/Dishes/b01fa4c9920d42df9ef472fd4f8e6fda.jpg?mw=660,1,Snack,https://www.tasteatlas.com/Snacks,Fuchka,4.5,"Panipuri is a street snack that is extremely popular in India, Bangladesh, Pakistan, and Nepal. Small in size, it consists of a hollow puri that is fried until crispy, then stuffed with a combination of flavored water called , tamarin...",pani,https://www.tasteatlas.com/fuchka-bangladesh/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/bhorta,https://cdn.tasteatlas.com//images/dishes/0b325cd0cd244541be20a0c5e6a32e62.jpg?mw=660,2,Side Dish,https://www.tasteatlas.com/Sides,Bhorta,,"Bhortas or bhartas are a group of dishes mainly associated with Bangladesh. The group encompasses various combinations of mashed herbs, vegetables, or fish whose base typically combines mustard oil, garlic, onions, and red chili peppers. The most ...",,https://www.tasteatlas.com/bhorta/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/haleem-bangladesh,https://cdn.tasteatlas.com//images/dishes/03df132180744560921a1b481675e559.jpg?mw=660,3,Porridge,https://www.tasteatlas.com/Porridge,Haleem,4.2,"A staple during the month of Ramadan in numerous Middle Eastern countries is a plate of , a satisfying meal which combines coarse wheat and meat. This centuries-old dish probably originated in Saudi Arabia, but has since spread thro...",harees,https://www.tasteatlas.com/haleem-bangladesh/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/paratha-bangladesh,https://cdn.tasteatlas.com//Images/Dishes/7053f1036e63478db68ce8ba7583b39e.jpg?mw=660,4,Flatbread,https://www.tasteatlas.com/Flatbreads,Paratha,4.6,"Golden-brown in color, flaky and layered, paratha is a type of Indian bread that is typically consumed for breakfast. The name comes from a combination of words  and  (flour), referring to the cooked, layered dough. It c...",parat,https://www.tasteatlas.com/paratha-bangladesh/wheretoeat,,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/beguni,https://cdn.tasteatlas.com//images/dishes/63bee7a0b6824622bf4f171c8b7be744.jpg?mw=660,5,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Beguni,,"Beguni is a simple dish consists of deep-fried eggplant slices. The variations may include dipping the slices in batter or coating them with various combination of gram flour and spices. The batter is usually prepared with rice and gram flour, whi...",,https://www.tasteatlas.com/beguni/wheretoeat,n/a,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/gram-flours,https://cdn.tasteatlas.com/images/ingredientgroups/cb656cfef58a41e09269bb98c99caf6f.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/red-chilli-powder,https://cdn.tasteatlas.com/images/ingredientgroups/0bf070508e5f4a41b10e14a0642e59fe.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120
https://www.tasteatlas.com/chomchom,https://cdn.tasteatlas.com//Images/Dishes/71830fdcfe614079b990fc8672603e6b.jpg?mw=660,6,Dessert,https://www.tasteatlas.com/Desserts,Chomchom,,Chomchom is a traditional sweet from Bangladesh consisting of homemade cottage cheese called c that is cooked in sugar syrup. It is often flavored with lemon juice and cardamom powder. The sweet treat can be served in a few different ...,hana,https://www.tasteatlas.com/chomchom/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/jilapi-bangladesh,https://cdn.tasteatlas.com//images/dishes/85dca6a42c8948f6a861fba0a5442c8f.jpg?mw=660,7,Deep-fried Dessert,https://www.tasteatlas.com/deep-fried-desserts,Jilapi,3.8,"Although it is believed to have its origins in Persia, zulbia or jalebi is an international dessert with variations that spread throughout the Middle East, India, and Asia. In its basic form, this sweet dessert is created by combining flour with y...",,https://www.tasteatlas.com/jilapi-bangladesh/wheretoeat,,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120,https://www.tasteatlas.com/Honey,https://cdn.tasteatlas.com/images/ingredientgroups/a5a217a77bba4b058da954c06e385041.png?h=120&w=120,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120
https://www.tasteatlas.com/chotpoti,https://cdn.tasteatlas.com//images/dishes/77b06bb8d756468c8f82dc5832a403af.jpg?mw=660,8,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Chotpoti,,"This traditional Bengali dish consists of chickpeas and diced potatoes that are served in a tamarind-based sauce. Typical additions also include onions, boiled eggs, sliced green chili peppers, and fresh mint or cilantro, while the sauce is usuall...",,https://www.tasteatlas.com/chotpoti/wheretoeat,n/a,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120
https://www.tasteatlas.com/ilish-macher-paturi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,9,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Ilish macher paturi,,,,https://www.tasteatlas.com/ilish-macher-paturi/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/shami-kabab-bangladesh,https://cdn.tasteatlas.com//images/dishes/ea0e277841e14f01b852d23fc664d234.jpg?mw=660,10,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Shami kabab,,"Shami kebab is a variety of kebab made by combining minced lamb, mutton, or beef with split chickpeas, onions, chilis, ginger, garlic, and various herbs and spices such as cumin, red chili flakes, garam masala, and mint leaves. The meat mixture is...",,https://www.tasteatlas.com/shami-kabab-bangladesh/wheretoeat,n/a,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/sheep,https://cdn.tasteatlas.com/images/ingredientgroups/d8778f33783f49fc9cadb7f213e79551.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120
