search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/panades,https://cdn.tasteatlas.com//images/dishes/6851b177dffc4dea920910e003efcb74.jpg?mw=660,1,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Panades,n/a,"Panades is a Belizean version of an , consisting of a deep-fried, crescent-shaped corn flour dough filled with either white fish or beans, which can be red or black. These tasty, crunchy snacks are traditionally paired with a deli...",empanada,https://www.tasteatlas.com/panades/wheretoeat,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120
https://www.tasteatlas.com/salbute-belize,https://cdn.tasteatlas.com//images/dishes/066b23d5a7f94af68d2b48df7e028c4c.jpg?mw=660,2,Street Food,https://www.tasteatlas.com/Street-food,Salbute,,"Salbute is a deep-fried tortilla dish with Mayan influences, originating from the Yucatán peninsula. These tortillas are typically topped with chicken, turkey, lime juice, tomatoes, lettuce, avocados, and pickled red onions. They are also a...",,https://www.tasteatlas.com/salbute-belize/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/belizean-rice-and-beans-with-stewed-chicken,https://cdn.tasteatlas.com//images/dishes/3d10b96a66c34a368beccef520fbcd71.jpg?mw=660,3,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Belizean Rice and Beans with Stewed Chicken,n/a,"Belizean rice and beans with stewed chicken is the national dish of Belize. Simple and cheap ingredients that make the dish are taken to another level by the skillful addition of various spices, with each cook making the dish a little bit differen...",,https://www.tasteatlas.com/belizean-rice-and-beans-with-stewed-chicken/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/fry-jack,https://cdn.tasteatlas.com//images/dishes/463066345820493abf740a9bf58cf309.jpg?mw=660,4,Bread,https://www.tasteatlas.com/Breads,Fry Jack,n/a,"Fry jacks are popular Belizean breakfast breads consisting of golden fried dough that is characterized by puffing up and floating when placed in hot oil. They are usually served with savory accompaniments such as refried beans, eggs, or bacon, but...",,https://www.tasteatlas.com/fry-jack/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/chimole,https://cdn.tasteatlas.com//images/dishes/f68794669e324727936fce53238b4a2f.jpg?mw=660,5,Soup,https://www.tasteatlas.com/Soups,Chimole,n/a,"Chimole is a traditional Belizean Sunday soup, also known as  due to its black color coming from black . The soup also incorporates ingredients such as chicken, onions, potatoes, and a variety of spices such as ...",black dinner,https://www.tasteatlas.com/chimole/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/boil-up,https://cdn.tasteatlas.com//images/dishes/e4a64cf3cc354a75bd1d88106e106951.jpg?mw=660,6,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Boil Up,n/a,"Boil up is one of the national dishes of Belize consisting of boiled fish, eggs, vegetables, and bread dumplings. The dish is served as it is, without the broth that it has been cooked in, and is sometimes served with a lime wedge on the same plat...",,https://www.tasteatlas.com/boil-up/wheretoeat,https://www.tasteatlas.com/red-snappers,https://cdn.tasteatlas.com/images/ingredientgroups/be43e56c2d7e44c38c1fe86ce0d505ca.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,https://www.tasteatlas.com/Sweet-potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/79d9c7e3ce1c4d81b1c725b1336df5f9.png?h=120&w=120,https://www.tasteatlas.com/Plantains,https://cdn.tasteatlas.com/images/ingredientgroups/5bddeceb27324bafa35ead9958fce998.png?h=120&w=120,https://www.tasteatlas.com/Taro,https://cdn.tasteatlas.com/images/ingredientgroups/923d96d0e346444e94bf92dac49f06a9.png?h=120&w=120
https://www.tasteatlas.com/black-fruit-cake,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,7,Cake,https://www.tasteatlas.com/cakes,Black Fruit Cake,n/a,"An integral part of Belizean cuisine in festive times, especially around Christmas, black fruit cake is a unique dessert filled with nuts, dried fruits, warm spices, and burnt sugar syrup - giving it a rich and bitter chocolate flavor and a typica...",,https://www.tasteatlas.com/black-fruit-cake/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/tapou,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Tapou,n/a,"Tapou is a creamy fish-based stew originating from Belize. Apart from the fish, the soup can contain a wide range of ingredients such as coconut oil, garlic, onions, bell peppers, ginger, tomatoes, coconut milk, achiote paste, orange juice, lime j...",,https://www.tasteatlas.com/tapou/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/serre-la-sus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Fish Soup,https://www.tasteatlas.com/fish-soups,Serre la sus,n/a,"Serre la sus is one of the native dishes of the Garifuna peoples living in Belize. It is a hearty and rich fish soup that is enjoyed by numerous locals and tourists. The fish is simmered in a combination of coconut milk, onions, and selected seaso...",,https://www.tasteatlas.com/serre-la-sus/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/darasa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Snack,https://www.tasteatlas.com/Snacks,Darasa,n/a,,,https://www.tasteatlas.com/darasa/wheretoeat,,,,,,,,,,,,
