search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/saltenas,https://cdn.tasteatlas.com//Images/Dishes/2c307394260e4e3a8a71b5590bef4df5.jpg?mw=660,1,Breakfast,https://www.tasteatlas.com/Breakfast,Salteñas,https://www.tasteatlas.com/potosi,Potosí,4.3,Best in   (La Paz),Pacena La Salteña,https://www.tasteatlas.com/PacenaLaSaltena,"Salteñas is the name of the national dish of Bolivia consisting of crescent-shaped, filled pockets of dough. The name is derived from the first known baker of these delicacies, who was born in the city of Salta, but he was later exiled to P...",https://www.tasteatlas.com/saltenas/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,
https://www.tasteatlas.com/picante-de-pollo,https://cdn.tasteatlas.com//images/dishes/b20db01039384713910d1efcd5261667.jpg?mw=660,2,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Picante de pollo,https://www.tasteatlas.com/cochabamba-department,Cochabamba Department,4.4,,,,"Picante de pollo is a spicy Bolivian dish made with pieces of chicken cooked in a combination of onions, potatoes, tomatoes, aji amarillo chilis, peas, and chicken stock. The thick sauce is typically flavored with cumin, garlic, and oregano. It is...",https://www.tasteatlas.com/picante-de-pollo/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,https://www.tasteatlas.com/chicken-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/26ef22f9ecfa4b85961173e2165f1ab8.png?h=120&w=120,
https://www.tasteatlas.com/majadito,https://cdn.tasteatlas.com//images/dishes/94622dde8b1440a99113e3174d23e75e.jpg?mw=660,3,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Majadito,https://www.tasteatlas.com/santa-cruz-de-la-sierra,Santa Cruz de la Sierra,4.1,Best in   (Santa Cruz de la Sierra),Casa del Camba,https://www.tasteatlas.com/CasaDelCamba,"Originating from eastern Bolivia, majadito is a dish consisting of rice, dried meat, chopped onions, and tomatoes. The origin of the dish dates back to the pre-Columbian era in Bolivia when rice, grains, meat, plantains, and cassava formed the usu...",https://www.tasteatlas.com/majadito/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/pique-macho,https://cdn.tasteatlas.com//images/dishes/403e23498e934b6982b04bf97467415b.jpg?mw=660,4,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Pique macho,https://www.tasteatlas.com/cochabamba,Cochabamba,4.2,Best in   (Sucre),Cafe Restaurant Florin,https://www.tasteatlas.com/cafe-restaurant-florin,"Pique macho is a Bolivian dish consisting of a layer of french fries buried underneath a heap of chopped beef, hot dogs, eggs, cheese, onions, bell peppers, and chili peppers. The usual condiments include ketchup, mayonnaise, and mustard, while sl...",https://www.tasteatlas.com/pique-macho/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/chicharron-bolivia,https://cdn.tasteatlas.com//images/dishes/0d02478e9d354c94baf7ec43ecfc68c0.jpg?mw=660,5,Appetizer,https://www.tasteatlas.com/Appetizers,Chicharrón,,,3.3,Best in   (Cochabamba),Chicharrones Doña Pola,https://www.tasteatlas.com/chicharrones-dona-pola,Chicharrón is a popular Spanish and Latin American dish consisting of pork rinds that are fried in oil until they develop a crunchy texture. It is believed that the dish originated in Andalusia and gained popularity in the rest of the world...,https://www.tasteatlas.com/chicharron-bolivia/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/arroz-con-queso,https://cdn.tasteatlas.com//Images/Dishes/9eec9db664f045efa9ba2a4db47ff1a8.jpg?mw=660,6,Side Dish,https://www.tasteatlas.com/Sides,Arroz con queso,,,3.8,Best in   (Santa Cruz de la Sierra),Casa del Camba,https://www.tasteatlas.com/CasaDelCamba,"Arroz con queso is a traditional Bolivian dish with a strikingly white color. It consists of rice (preferrably short and plump, such as ), milk, and semi-firm white cheese. Rich and creamy, this popular dish can often be found alon...",https://www.tasteatlas.com/arroz-con-queso/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/sajta-de-pollo,https://cdn.tasteatlas.com//images/dishes/d89086e5b84b46af82112da772dd3ecb.jpg?mw=660,7,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Sajta de pollo,https://www.tasteatlas.com/la-paz-department,La Paz Department,4.4,Best in   (La Paz),Luciernagas Restaurant,https://www.tasteatlas.com/luciernagas-restaurant,"Sajta de pollo is a Bolivian dish consisting of chicken, onions, tomatoes, peas, and yellow chili peppers. It is typically flavored with parsley, celery, black pepper, garlic, and cumin. The dish is traditionally prepared for Carnival and the All ...",https://www.tasteatlas.com/sajta-de-pollo/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,
https://www.tasteatlas.com/silpancho,https://cdn.tasteatlas.com//Images/Dishes/cd7b45f1f497440e9a5d7c57f26d742e.jpg?mw=660,8,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Silpancho,https://www.tasteatlas.com/cochabamba,Cochabamba,4.7,Best in   (Cochabamba),El Palacio del Silpancho,https://www.tasteatlas.com/el-palacio-del-silpancho,"Silpancho is a traditional Bolivian dish characterized by its huge size and ingredients that are rich in fat and carbohydrates. The dish typically consists of a layer of white rice topped with boiled or steamed potatoes, beef or chicken cutlets, a...",https://www.tasteatlas.com/silpancho/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/sopa-de-mondongo-bolivia,https://cdn.tasteatlas.com//Images/Dishes/24af0278a9f54465a23ed15e9e069f6e.jpg?mw=660,9,Offal Soup,https://www.tasteatlas.com/offal-soups,Sopa de mondongo,,,4.2,,,,"Sopa de mondongo is a term that is widely used all across Central and South America when referring to a hearty tripe and vegetable soup. The star of the dish is beef or pork tripe, the rather tough edible part of animal stomach which is cut into s...",https://www.tasteatlas.com/sopa-de-mondongo-bolivia/wheretoeat,https://www.tasteatlas.com/organ-meats,https://cdn.tasteatlas.com/images/ingredientgroups/108bd41467d64291a9f31591dda75d8a.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Plantains,https://cdn.tasteatlas.com/images/ingredientgroups/5bddeceb27324bafa35ead9958fce998.png?h=120&w=120,
https://www.tasteatlas.com/anticucho-bolivia,https://cdn.tasteatlas.com//Images/Dishes/92c74a79c13f491ab5832012aa64ffba.jpg?mw=660,10,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Anticucho,,,4.4,,,,"Anticucho is a meat dish consisting of small pieces of skewered and grilled meat, the most popular of them made with beef heart, called . Peruvian in origin, the dish quickly gained popularity throughout South ...",https://www.tasteatlas.com/anticucho-bolivia/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/red-wine-vinegars,https://cdn.tasteatlas.com/images/ingredientgroups/cdf728d281da4e4dafb9fd83fc992024.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,,,
