search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,item-location href,item-location,score-text--na
https://www.tasteatlas.com/cevapi,https://cdn.tasteatlas.com//Images/Dishes/a5abc85497774e3f8ba9a7f25c1914df.jpg?mw=660,1,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Ćevapi,4.3,Best in   (Sarajevo),Ćevabdžinica Željo,https://www.tasteatlas.com/Zeljo,"Despite their clear Turkish provenance, Bosnian ćevapi are a source of great national pride and the country's favorite dish. These tiny, hand-rolled minced meat sausages are commonly made with ground beef - or a mix of beef mince with other meats ...",https://www.tasteatlas.com/cevapi/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/somun,https://cdn.tasteatlas.com/images/dishes/db24b0e7f2c541f48b15f45a70b511b0.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/kaymak,https://cdn.tasteatlas.com/images/dishes/20b6b3cc094c4df6bd76a28a30541259.png?h=120&w=120,,,,
https://www.tasteatlas.com/burek,https://cdn.tasteatlas.com//images/dishes/1d0ca43e5dbe48e9b1b68121326fb02f.jpg?mw=660,2,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Burek,4.4,Best in   (Sarajevo),Buregdžinica Bosna,https://www.tasteatlas.com/BuregdzinicaBosna,"Burek consists of layers of phyllo dough stuffed with various savory fillings. Despite its Turkish origins, this dish has evolved into a proud gem of Bosnian national cuisine. Although most locals claim that only burek with ground beef can be call...",https://www.tasteatlas.com/burek/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/allspice,https://cdn.tasteatlas.com/images/ingredientgroups/9f382c998e6b46b79ab26b34cd3b0c2c.png?h=120&w=120,,,,
https://www.tasteatlas.com/sac,https://cdn.tasteatlas.com//images/dishes/b8d7bdd99abe48beb62cb1e2c57dad3a.jpg?mw=660,3,Technique,https://www.tasteatlas.com/Techniques,Sač,4.6,Best in   (Jajce),Konoba Slapovi,https://www.tasteatlas.com/konoba-slapovi,"Peka or  is an ancient technique of preparing various dishes inside the eponymous bell-shaped cooking vessel. The technique is mostly used in the preparation of meat, vegetables, or seafood that are seasoned and cooked together with ol...",https://www.tasteatlas.com/sac/wheretoeat,,,,,,,,,,,,,sać,,,
https://www.tasteatlas.com/sarajevski-cevapi,https://cdn.tasteatlas.com//images/dishes/a0e0db6d072046a89d7bcfca1d203a0b.jpg?mw=660,4,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Sarajevski ćevapi,4.6,Best in   (Sarajevo),Ćevabdžinica Željo,https://www.tasteatlas.com/Zeljo,"This unique variety of ćevapi hails from the city of Sarajevo, hence the name sarajevski ćevapi. There are variable accounts regarding the usage of meat for these tasty meat rolls – purists make them exclusively with ground beef, salt, and p...",https://www.tasteatlas.com/sarajevski-cevapi/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/somun,https://cdn.tasteatlas.com/images/dishes/db24b0e7f2c541f48b15f45a70b511b0.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,https://www.tasteatlas.com/sarajevo,Sarajevo,
https://www.tasteatlas.com/zeljanica,https://cdn.tasteatlas.com//images/dishes/342e6926322d464c8218b95dab9eede9.jpg?mw=660,5,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Zeljanica,4.3,,,,"This savory Bosnian pie () consists of thinly rolled phyllo dough that is filled with a combination of blanched spinach, fresh cow cheese, cream, and eggs. The dough is rolled into a thin sheet called , which is then spr...",https://www.tasteatlas.com/zeljanica/wheretoeat,,,,,,,,,,,,,pita,,,
https://www.tasteatlas.com/tufahije,https://cdn.tasteatlas.com//Images/Dishes/6a2e9faf9b4e4e09bb0d9c51bf6dad88.jpg?mw=660,6,Dessert,https://www.tasteatlas.com/Desserts,Tufahija,3.8,Best in   (Sarajevo),Egipat,https://www.tasteatlas.com/egipat,"Tufahija is a dessert made from apples which are stewed in water and sugar, stuffed with an almond or walnut cream filling, then shortly baked and doused in sugar syrup. The origin of the dessert is Persian - it came to Bosnia with the Ottomans wh...",https://www.tasteatlas.com/tufahije/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/japrak,https://cdn.tasteatlas.com//images/dishes/82e4813711904eedb2dc80db2c9dfb92.jpg?mw=660,7,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Japrak,4.4,Best in   (Mostar),Šadrvan,https://www.tasteatlas.com/sadrvan,"Though it probably derives its origin from Turkish and Levantine cuisine, traditional Herzegovinian japrak is an authentic dish consisting of a minced meat filling that is wrapped in blanched leaves of , a local variety of l...",https://www.tasteatlas.com/japrak/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Collard-greens,https://cdn.tasteatlas.com/images/ingredientgroups/f987830f4261492286dab34d44b81abe.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,raštika,,,
https://www.tasteatlas.com/buranija,https://cdn.tasteatlas.com//images/dishes/34b33ebc3a1447d4a0a3d38d8c01f7d0.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Buranija,3.2,,,,"Buranija is a flavorful Bosnian stew consisting of Romano beans (a variety of green beans) and chunks of veal as its main ingredients. The stew is typically flavored with salt, paprika, pepper, and bay leaves, with additional ingredients such as o...",https://www.tasteatlas.com/buranija/wheretoeat,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Green-beans,https://cdn.tasteatlas.com/images/ingredientgroups/d49f2827cfa34480a91b4519569466a4.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,,,
https://www.tasteatlas.com/jabukovaca,https://cdn.tasteatlas.com//images/dishes/c197f3f85196425eb49672d85d63cd93.jpg?mw=660,9,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Jabukovača,4.5,Best in   (Sarajevo),4 Sobe Gospođe Safije,https://www.tasteatlas.com/4-sobe-gospoe-safije,"Jabukovača is a traditional Bosnian apple pie originating from the city of Sarajevo. It is made just like , with the addition of chopped apples. The thin dough is spread with a combination of chopped apples, sugar, vanilla sugar, w...",https://www.tasteatlas.com/jabukovaca/wheretoeat,,,,,,,,,,,,,baklava,https://www.tasteatlas.com/sarajevo,Sarajevo,
https://www.tasteatlas.com/bosanski-lonac,https://cdn.tasteatlas.com//Images/Dishes/d86a3b299e394d99a5e4af9992b34a11.jpg?mw=660,10,Stew,https://www.tasteatlas.com/Stews,Bosanski lonac,3.9,Best in   (Sarajevo),Inat Kuća,https://www.tasteatlas.com/inat-kuca,"Bosanski lonac or  is a traditional, flavorful stew consisting of layers of large and chunky pieces of meat and vegetables that are covered with water and slowly simmered in a big pot. Due to the size of the meat (usually lamb,...",https://www.tasteatlas.com/bosanski-lonac/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,Bosnian pot,,,
