search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,score-text--na,search-results__item-description 2
https://www.tasteatlas.com/amok-trey,https://cdn.tasteatlas.com//images/dishes/0ff0deac74e94712b1dd824a992ed43f.jpg?mw=660,1,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Steamed Curried Fish (Amok trey),Best in   (Siem Reap),The Sugar Palm,https://www.tasteatlas.com/the-sugar-palm,"Amok trey is Cambodia's national dish, a fragrant and spicy coconut fish curry that is tenderly steamed in banana leaves, although chicken, tofu, and snails can also be used as a substitute for the main protein. The flavour of the dish is reminisc...",https://www.tasteatlas.com/amok-trey/wheretoeat,,
https://www.tasteatlas.com/lok-lak,https://cdn.tasteatlas.com//images/dishes/62cec808390f480bb802f73232084852.jpg?mw=660,2,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Lok lak,Best in   (Siem Reap),Genevieve's Restaurant,https://www.tasteatlas.com/genevieves-restaurant,"Lok lak is a Cambodian stir-fry utilizing beef, chicken, or shrimp as the key ingredients, although beef is typically the most popular option. For the beef version, a bed of lettuce leaves is traditionally topped with cucumbers, tomatoes, raw onio...",https://www.tasteatlas.com/lok-lak/wheretoeat,n/a,
https://www.tasteatlas.com/babor,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,3,Porridge,https://www.tasteatlas.com/Porridge,Babor,Best in   (Phnom Penh),Malis Restaurant,https://www.tasteatlas.com/malis-restaurant,"Babor is a popular Cambodian street food item that is essentially a porridge made with rice, chicken or pork broth, bean sprouts, green onions, fried breadsticks, eggs, and dried fish. Originally developed from the Chinese congee, over the years, ...",https://www.tasteatlas.com/babor/wheretoeat,n/a,
https://www.tasteatlas.com/num-banh-chok,https://cdn.tasteatlas.com//images/dishes/a5390c995b6d4ad9baa9a8c88459fbe3.jpg?mw=660,4,Noodle Dish,https://www.tasteatlas.com/Noodles,Num banh chok,Best in   (Batdâmbâng),Lan Chov Khorko Miteanh,https://www.tasteatlas.com/lan-chov-khorko-miteanh,"Num banh chok or  is a Cambodian dish that is typically served for breakfast or consumed as an afternoon snack. These fermented rice noodles are hand-made in stone or wooden mills, then topped with fish gravy and raw vegetabl...",https://www.tasteatlas.com/num-banh-chok/wheretoeat,n/a,Khmer noodles
https://www.tasteatlas.com/fried-spider,https://cdn.tasteatlas.com//images/dishes/77b56a418c6c4488b572b31f91673498.jpg?mw=660,5,Street Food,https://www.tasteatlas.com/Street-food,Fried Spider,Best in   (Phnom Penh),Romdeng,https://www.tasteatlas.com/romdeng,"The city of Skuon in Cambodia is so infested with spiders that the nearly-starved locals have adapted and started consuming them in the 1970s, and the practice has continued ever since. It is no wonder that the city is known as Spider Town or Spid...",https://www.tasteatlas.com/fried-spider/wheretoeat,n/a,
https://www.tasteatlas.com/yaohon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,6,Stew,https://www.tasteatlas.com/Stews,Yaohon,Best in   (Phnom Penh),Ly Houng Soup,https://www.tasteatlas.com/ly-houng-soup,"Yaohon is a Cambodian hot pot that contains a variety of vegetables, meat, and seafood. The broth is based on a mixture of coconut milk or cream, chicken broth, and coconut soda, and it is typically flavored with barbecue sauce, fish sauce, soybea...",https://www.tasteatlas.com/yaohon/wheretoeat,n/a,
https://www.tasteatlas.com/samlar-kari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,7,Stew,https://www.tasteatlas.com/Stews,Samlar kari,Best in   (Siem Reap),Genevieve's Restaurant,https://www.tasteatlas.com/genevieves-restaurant,"Samlar kari is a traditional Cambodian chicken curry consisting of pieces of chicken in a silky-smooth coconut sauce that is typically flavored with Cambodian kroeung paste, shrimp paste, fish sauce, and palm sugar. This soupy curry derives its di...",https://www.tasteatlas.com/samlar-kari/wheretoeat,n/a,
https://www.tasteatlas.com/bok-lhong,https://cdn.tasteatlas.com//images/dishes/4ebb558b1e4b45fd800558f590343504.jpg?mw=660,8,Salad,https://www.tasteatlas.com/Salads,Green Papaya Salad (Bok l'hong  ),Best in   (Siem Reap),Bugs Café,https://www.tasteatlas.com/bugs-cafe,"Bok l’hong, meaning  in Khmer, is a Cambodian take on the green papaya salad that is widely consumed throughout Southeast Asia and is believed to have originated in Laos. Unlike the Thai version that uses thin strips o...",https://www.tasteatlas.com/bok-lhong/wheretoeat,n/a,pounded papaya
https://www.tasteatlas.com/samlar-machu,https://cdn.tasteatlas.com//images/dishes/dd86a791ad6c44a8b4b1c68257a1d7b7.jpg?mw=660,9,Soup,https://www.tasteatlas.com/Soups,Samlar machu,Best in   (Siem Reap),Chanrey Tree,https://www.tasteatlas.com/chanrey-tree,"Samlar machu, meaning  in Khmer, is a traditional Cambodian dish made with meat, fish, or seafood and vegetables cooked in a sour broth base. The soup usually contains seasonal local vegetables and herbs such as Cambodian water s...",https://www.tasteatlas.com/samlar-machu/wheretoeat,n/a,sour soup
https://www.tasteatlas.com/mee-ketang,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Noodle Dish,https://www.tasteatlas.com/Noodles,Mee ketang,,,,"Mee ketang is a Cambodian take on the Cantonese noodle dish known as . This Cambodian dish consists of wide rice noodles stir-fried with a flavor-packed gravy, vegetables, various condiments, meat, and (sometimes) seafood. Ty...",https://www.tasteatlas.com/mee-ketang/wheretoeat,n/a,beef chow fun
https://www.tasteatlas.com/chien-chuon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,11,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Crispy Fried Fish with Ginger-Garlic Sauce (Chien chuon),,,,"Chien chuon is a Cambodian fish specialty that is made with crispy fried fish cooked with a rich sauce containing stir-fried ginger and garlic. Other typical ingredients added to the sauce include fish sauce, oyster sauce, vinegar, sugar, cornstar...",https://www.tasteatlas.com/chien-chuon/wheretoeat,n/a,
https://www.tasteatlas.com/khar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,12,Stew,https://www.tasteatlas.com/Stews,Khar,,,,"Khar is a traditional Cambodian caramelized stew featuring braised pork or chicken, hard-boiled eggs, and bamboo shoots. The caramelized broth is usually flavored with soy sauce, fish sauce, star anise, and freshly ground black pepper. This hearty...",https://www.tasteatlas.com/khar/wheretoeat,n/a,
