search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,item-location href,item-location,search-results__item-description 2
https://www.tasteatlas.com/ndole,https://cdn.tasteatlas.com//Images/Dishes/d2e933666d2d4693802e106276713bab.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Ndolé,"Ndolé is one of the two national dishes of Cameroon, traditionally made with boiled bitterleaf, peanuts, and melon seeds. Seasoned with spices and hot oil, ndolé can be cooked with either fish or meat. This flavorful stew is usually ...",https://www.tasteatlas.com/ndole/wheretoeat,,,,,,,,
https://www.tasteatlas.com/poulet-dg,https://cdn.tasteatlas.com//images/dishes/0afc5bcac862482ebdbb45d67eda981d.jpg?mw=660,2,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Poulet DG,"Poulet DG is a tasty Cameroonian poultry dish made with a combination of chicken and ripe plantains in a hearty tomato sauce. The dish is typically garnished with a variety of vegetables such as green beans, bell peppers, and carrots, making it vi...",https://www.tasteatlas.com/poulet-dg/wheretoeat,n/a,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,,,
https://www.tasteatlas.com/achu-soup,https://cdn.tasteatlas.com//images/dishes/50ea438b25cc416d8c0d977bc144fdbf.jpg?mw=660,3,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Achu Soup,"Traditionally prepared and consumed by the Ngemba people from the Northwest Region of Cameroon, achu soup consists of boiled and pounded cocoyams,  (lime stone), water, spices, and palm oil. The palm oil changes the color of the soup...",https://www.tasteatlas.com/achu-soup/wheretoeat,n/a,,,,,https://www.tasteatlas.com/northwest-region,Northwest Region,canwa
https://www.tasteatlas.com/kondre,https://cdn.tasteatlas.com//images/dishes/c919519309014c9ca9b865961e8204b0.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Kondre,"Kondre is one of the two national dishes of Cameroon, consisting of platains, tomatoes, onions, spices, and meat such as goat, chicken, or pork. Originally from Bafang, kondre used to be a ceremonial dish that was reserved for special occasions su...",https://www.tasteatlas.com/kondre/wheretoeat,n/a,,,,,,,
https://www.tasteatlas.com/ekwang,https://cdn.tasteatlas.com//images/dishes/5a336c3f3c204853a1f6ee4354cdc3c9.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Ekwang,"Ekwang is a popular Cameroonian dish consisting of grated cocoyams that are tied in cocoyam leaves, then slowly simmered with crayfish, palm oil, and various spices. This delicacy is traditionally prepared by the Bafaw people from the Southwest re...",https://www.tasteatlas.com/ekwang/wheretoeat,n/a,,,,,https://www.tasteatlas.com/southwest-region,Southwest Region,
https://www.tasteatlas.com/sangah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,6,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Sangah,"Sangah is a Cameroonian specialty, a simple dish that is made with cassava leaves, palm oil, and maize. Cassava leaves are pounded and mashed so the final dish looks like a cross between a stew and porridge. The dish can be served with rice or boi...",https://www.tasteatlas.com/sangah/wheretoeat,n/a,https://www.tasteatlas.com/cassava-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/86e31ca8135d480989171fc50988f749.png?h=120&w=120,https://www.tasteatlas.com/palm-oils,https://cdn.tasteatlas.com/images/ingredientgroups/8bfdd58629e84b4f8fc7bb9d67971cb3.png?h=120&w=120,,,
https://www.tasteatlas.com/corn-chaff,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,7,Stew,https://www.tasteatlas.com/Stews,Corn Chaff,"Corn chaff is a hearty Cameroonian stew utilizing corn and beans as the key ingredients. Corn and beans are slowly simmered with ingredients such as onions, palm oil, tomatoes, various spices, and meat or smoked fish, depending on personal prefere...",https://www.tasteatlas.com/corn-chaff/wheretoeat,n/a,,,,,,,
https://www.tasteatlas.com/mbongo-tchobi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,8,Stew,https://www.tasteatlas.com/Stews,Mbongo tchobi,"Although some people may be taken aback by the unappealing grayish-black color of mbongo tchobi, also known as , it is actually a flavorful meal that is typically made with onions, tomatoes, fish, and meat such as lamb, beef, or...",https://www.tasteatlas.com/mbongo-tchobi/wheretoeat,n/a,,,,,,,black stew
https://www.tasteatlas.com/kpwem,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,9,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Kpwem,"Kpwem is a vegetarian dish from Cameroon made with young and tender manioc leaves as the key ingredient. The leaves are pounded and mashed with a mortar and pestle, combined with ginger, salt, onions, garlic, then boiled with peanut butter in wate...",https://www.tasteatlas.com/kpwem/wheretoeat,n/a,https://www.tasteatlas.com/cassava-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/86e31ca8135d480989171fc50988f749.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,,
https://www.tasteatlas.com/kwacoco,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,10,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Kwacoco,"Kwacoco is a Cameroonian dish made with mashed cocoyam that is then wrapped in banana leaves and steamed. The dish is traditionally prepared and consumed by the Kwe people, who pair it with  soup. In cases where cocoyam is combined ...",https://www.tasteatlas.com/kwacoco/wheretoeat,n/a,https://www.tasteatlas.com/Taro,https://cdn.tasteatlas.com/images/ingredientgroups/923d96d0e346444e94bf92dac49f06a9.png?h=120&w=120,https://www.tasteatlas.com/banana-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/7e1b66811f084d4586d1fab5de5e7fa7.png?h=120&w=120,,,mbongo
