search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/marraqueta,https://cdn.tasteatlas.com//images/dishes/e3a7347f21e2461f929908ed4928e997.jpg?mw=660,1,Bread,https://www.tasteatlas.com/Breads,Marraqueta,4.4,Best in   (Santiago),Las Rosas Chicas,https://www.tasteatlas.com/las-rosas-chicas,"Marraqueta (also known as and ) is the most popular bread in Chile, a staple food that is often consumed three times a day. It is made with flour, water, salt, and yeast. Two balls of dough are typica...",pan batido,READ MORE,https://www.tasteatlas.com/marraqueta/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/arroz-con-huevo,https://cdn.tasteatlas.com//Images/Dishes/4fdc9470333b41b191824534237c1af6.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz con huevo,3.7,,,,"Arroz con huevo is a popular lazy lunch throughout Latin America, consisting of rice that’s topped with a fried egg. This humble dish used to be called (poor people food), but today it is enjoyed by people of all soc...",comida de pobre,READ MORE,https://www.tasteatlas.com/arroz-con-huevo/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,,,,,,,,,
https://www.tasteatlas.com/pastel-de-choclo,https://cdn.tasteatlas.com//Images/Dishes/afac73885b784a188bea5691142c740e.jpg?mw=660,3,Savory Pie,https://www.tasteatlas.com/savory-pies,Pastel de choclo,4.5,,,,"Chile's favorite home-cooked meal and Peru's national dish, the soft and creamy pastel de choclo is a casserole-like pie that is also popular in Argentina and Bolivia. It consists of ground beef, black olives, onions, hard-boiled eggs, and corn fl...",,READ MORE,https://www.tasteatlas.com/pastel-de-choclo/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/pebre,https://cdn.tasteatlas.com//Images/Dishes/39fe3f62d6264bd8bbe97cdadcffb1c4.jpg?mw=660,4,Salsa,https://www.tasteatlas.com/salsas,Pebre,4.2,Best in   (Santiago),Boragó,https://www.tasteatlas.com/borago,"Often referred to as  and being the most popular condiment in the country, the versatile pebre is a staple in Chile. It is created with a combination of spicy and crunchy ingredients, with the addition of fragrant fresh herbs...",Chilean salsa,READ MORE,https://www.tasteatlas.com/pebre/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/curanto,https://cdn.tasteatlas.com//images/dishes/83bf1ccc53e846f28695f99fad6c969a.jpg?mw=660,5,Feast,https://www.tasteatlas.com/Feasts,Curanto,4.6,Best in   (Ancud),Restaurante Kuranton,https://www.tasteatlas.com/restaurante-kuranton,"Curanto is a traditional Chilean technique of cooking meat and seafood originating from Chiloé. In order to prepare it, chicken, pork, sausages, seafood (clams, mussels, giant barnacles), chapaleles potato dumplings, potatoes, and various v...",,READ MORE,https://www.tasteatlas.com/curanto/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/mussels,https://cdn.tasteatlas.com/images/ingredientgroups/a050287a4d1149f5898090f628c216e8.png?h=120&w=120,https://www.tasteatlas.com/Clams,https://cdn.tasteatlas.com/images/ingredientgroups/bbb8d8d5cd2f4034814913837a014a44.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/yukon-gold,https://cdn.tasteatlas.com/images/dishes/35131332572c4eb78e265afe585c2f91.png?h=120&w=120,
https://www.tasteatlas.com/barros-luco,https://cdn.tasteatlas.com//Images/Dishes/f02306511a95422a8724b2a964fc056b.jpg?mw=660,6,Sandwich,https://www.tasteatlas.com/sandwiches,Barros Luco,4.3,Best in   (Santiago),Fuente Alemana,https://www.tasteatlas.com/fuente-alemana,"Barros Luco is a simple Chilean sandwich that usually consists of thin slices of grilled beef steak topped with cheese and served inside various buns and bread rolls. It got its unique name after the Chilean president Ramón Barros Luco, who...",,READ MORE,https://www.tasteatlas.com/barros-luco/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/completo,https://cdn.tasteatlas.com//images/dishes/fc9ea9af0c1c42b896f3605f38d4a483.jpg?mw=660,7,Hot Dog,https://www.tasteatlas.com/hot-dogs,Completo,4.3,Best in   (Santiago),Hogs Salchicheria,https://www.tasteatlas.com/hogs-salchicheria,"One of the most popular street food items in Chile is the delicious completo – which is the Chilean version of the famous American hot dog. Made with boiled wiener sausages served inside plain bread rolls, the whole dish is finished with gen...",,READ MORE,https://www.tasteatlas.com/completo/wheretoeat,https://www.tasteatlas.com/wiener-wurstchen,https://cdn.tasteatlas.com/images/dishes/a773ba12ccf94eb8b3dee6a8afd2b672.png?h=120&w=120,https://www.tasteatlas.com/hot-dog-buns,https://cdn.tasteatlas.com/images/ingredientgroups/891d5b3e9bea45489db3e18212169b16.png?h=120&w=120,https://www.tasteatlas.com/Avocados,https://cdn.tasteatlas.com/images/ingredientgroups/1a2a8fc0806246a492a2b86d39d87834.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/mayonnaise,https://cdn.tasteatlas.com/images/dishes/1839d40499514008ba765c0c1815f7e2.png?h=120&w=120,,,
https://www.tasteatlas.com/mojo-de-ajo-chile,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Sauce,https://www.tasteatlas.com/Sauces,Mojo de ajo,3.7,,,,"Mojo de ajo is a garlic sauce that's popular in Mexico, Cuba, Chile, and many Caribbean and Latin American countries. It usually consists of olive oil, crushed garlic, salt, and lemon, orange, or lime juice. The ingredients are simply blended toge...",,READ MORE,https://www.tasteatlas.com/mojo-de-ajo-chile/wheretoeat,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/orange-juices,https://cdn.tasteatlas.com/images/ingredientgroups/b273e6ef03124afa919ff876d1bdee71.png?h=120&w=120,
https://www.tasteatlas.com/chacarero,https://cdn.tasteatlas.com//images/dishes/321adae6a8ef4ff6a963fca7e18921dc.jpg?mw=660,9,Sandwich,https://www.tasteatlas.com/sandwiches,Chacarero,3.0,Best in   (Santiago),Fuente Mardoqueo,https://www.tasteatlas.com/fuente-mardoqueo,"Chacarero is one of the most popular Chilean sandwiches consisting of a fresh bread roll filled with pieces of strip steak, green beans, tomato slices, and hot chili peppers. The name of the sandwich is derived from the Spanish word",chacraREAD MORE,,https://www.tasteatlas.com/chacarero/wheretoeat,https://www.tasteatlas.com/marraqueta,https://cdn.tasteatlas.com/images/dishes/95be8ee6d3f142c4a7c3d5ba8f5ccd46.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Green-beans,https://cdn.tasteatlas.com/images/ingredientgroups/d49f2827cfa34480a91b4519569466a4.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,
https://www.tasteatlas.com/chorrillana,https://cdn.tasteatlas.com//Images/Dishes/7950faeff1574790a01c88841197b545.jpg?mw=660,10,Appetizer,https://www.tasteatlas.com/Appetizers,Chorrillana,4.3,Best in   (Valparaíso),J.Cruz,https://www.tasteatlas.com/jcruz,Chorrillana or is a popular Chilean dish served mostly in pubs where it is labeled as an appetizer or a dish that is meant to be shared. The basis of the meal are French fries which are covered in a combination of ...,bistec a la chorrillana,READ MORE,https://www.tasteatlas.com/chorrillana/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/worcestershire-sauce,https://cdn.tasteatlas.com/images/dishes/bd541fdde25746e991d836c691f315d2.png?h=120&w=120,
