search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/dim-sum,https://cdn.tasteatlas.com//images/dishes/a000ac2b437b4c5aae6ca6b6b8ac384f.jpg?mw=660,1,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Dim sum,https://www.tasteatlas.com/guangdong,Guangdong,4.5,Best in   (Hong Kong),Tai Cheong Bakery,https://www.tasteatlas.com/tai-cheong-bakery,"Dim sum is a variety of bite-sized food that is usually served with tea. It can range from savory dumplings, buns, and noodle rolls to sweet puddings and tarts. The term  translates to, and according to leg...",dim sum,https://www.tasteatlas.com/dim-sum/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/jiaozi,https://cdn.tasteatlas.com//Images/Dishes/cdc9ff6690ad42ab9e96cbfff7d1af69.jpg?mw=660,2,Dumplings,https://www.tasteatlas.com/Dumplings,Jiaozi,,,4.4,Best in   (Hong Kong),Ho Lee Fook,https://www.tasteatlas.com/HoLeeFook,"These Chinese dumplings known as jiaozi, consisting of a thinly rolled piece of dough which contains either meat or a vegetable filling, are one of the most popular and most commonly eaten dishes in China and East Asia. They can be served either a...",,https://www.tasteatlas.com/jiaozi/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/rice-wine,https://cdn.tasteatlas.com/images/dishes/7197a895bdd8441b85f96d2f775caea5.png?h=120&w=120,https://www.tasteatlas.com/napa-cabbage,https://cdn.tasteatlas.com/images/dishes/671bb902f41043dda85b12d0b2d8006b.png?h=120&w=120,https://www.tasteatlas.com/bamboo-shots,https://cdn.tasteatlas.com/images/dishes/a95c8ecb6f17438082aee18b5a8c6e59.png?h=120&w=120,
https://www.tasteatlas.com/baozi,https://cdn.tasteatlas.com//images/dishes/4c265ad0d0e4421c8d16613b22e6ff72.jpg?mw=660,3,Dumplings,https://www.tasteatlas.com/Dumplings,Baozi,,,4.4,Best in   (Shanghai),Din Tai Fung Shanghai,https://www.tasteatlas.com/din-tai-fung-shanghai,"One of China's favorite breakfast foods and an everyday snack, baozi - or simply , as it’s usually called - is a steamed bun, made with the so-called  bread, and stuffed with a wide variety of fillings ranging from...",bao,https://www.tasteatlas.com/baozi/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/wonton,https://cdn.tasteatlas.com//Images/Dishes/4d0ea1a4056f4f5088e6857539560192.jpg?mw=660,4,Dumplings,https://www.tasteatlas.com/Dumplings,Wonton,,,4.2,Best in   (Chengdu),Long Chao Shou,https://www.tasteatlas.com/long-chao-shou,"Often referred to as the , wontons are a variety of thin-skinned dumplings with meat, seafood or vegetable filling enclosed in tender wheat dough wrappers. Many sources suggest that the origins of wontons date back to the H...",Chinese ravioli,https://www.tasteatlas.com/wonton/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,
https://www.tasteatlas.com/mooncake,https://cdn.tasteatlas.com//Images/Dishes/76c513e6c3214386b6c1dd9c98a564cc.jpg?mw=660,5,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Mooncake,https://www.tasteatlas.com/guangdong,Guangdong,3.4,Best in   (Hong Kong),Maxim's Cake Shop,https://www.tasteatlas.com/MaximsCakeShop,"An ancient Chinese delicacy eaten during the Mid-August Festival or Moon Festival, known as mooncake, is a pie-like pastry made with a shortcrust base called that is traditionally filled with black sesame seed or lotus seed past...",yueh ping,https://www.tasteatlas.com/mooncake/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120,https://www.tasteatlas.com/lye-water,https://cdn.tasteatlas.com/images/ingredientgroups/ffa9e3d74c7f49b7a956a749bdff29ae.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/spring-rolls,https://cdn.tasteatlas.com//Images/Dishes/b151eebf5805474aa899f41b8c331b56.jpg?mw=660,6,Appetizer,https://www.tasteatlas.com/Appetizers,Spring Rolls,,,3.9,Best in   (Hong Kong),Dim Sum Square,https://www.tasteatlas.com/DimSumSquare,"Spring rolls are traditional Chinese snacks consisting of thin sheets of dough that are filled with various ingredients, then deep-fried in hot oil. Some of the more common ingredients for the filling include shredded pork, shrimp, mushrooms, and ...",,https://www.tasteatlas.com/spring-rolls/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,
https://www.tasteatlas.com/chow-mein,https://cdn.tasteatlas.com//Images/Dishes/0946b9809ef24450a6cfcb738de3dd51.jpg?mw=660,7,Noodle Dish,https://www.tasteatlas.com/Noodles,Chow mein,,,4.2,Best in   (Hong Kong),Duddell's,https://www.tasteatlas.com/duddells,"Although food historians can't really agree on who made the first chow mein and when, this stir-fry dish whose name comes from the Mandarin  and Taishanese  (lit. fried noodles) had probably origin...",chǎomiàn,https://www.tasteatlas.com/chow-mein/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/shabu-shabu-china,https://cdn.tasteatlas.com//Images/Dishes/20eb7a41894a457181057348f1314c1b.jpg?mw=660,8,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Shabu-shabu,,,4.1,,,,"Shabu-shabu is a popular Japanese dish consisting of thinly sliced meat and vegetables cooked in water. The dish is an evolved version of the traditional Mongolian  (one-pot) cooking. Roughly translated to , it...",nabemono,https://www.tasteatlas.com/shabu-shabu-china/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/Duck,https://cdn.tasteatlas.com/images/ingredientgroups/0a14c8f14ae348468a1f8f23c4738bef.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/lobsters,https://cdn.tasteatlas.com/images/ingredientgroups/be6b9286ffeb4b1495768f974f9d4a69.png?h=120&w=120,
https://www.tasteatlas.com/bing,https://cdn.tasteatlas.com//images/dishes/47230a52a4e842d7acd7dc8cd1cd1eda.jpg?mw=660,9,Flatbread,https://www.tasteatlas.com/Flatbreads,Shaobing,https://www.tasteatlas.com/shandong,Shandong,,Best in   (Chaoyang District),Ding Ding Xiang,https://www.tasteatlas.com/DingDingXiang,"Known as a common snack food in Northern China, shaobing is a type of layered flatbread, typically topped with sesame seeds. It is made with multiple layers of dough brushed with sesame paste and resembles a flattened bread roll. Shaobing originat...",,https://www.tasteatlas.com/bing/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120,https://www.tasteatlas.com/Sesame-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/725082941a654eb0925163274078bea9.png?h=120&w=120,n/a
https://www.tasteatlas.com/manju-china,https://cdn.tasteatlas.com//Images/Dishes/fea3e4a030d14a499d5cd83d4016752d.jpg?mw=660,10,Dessert,https://www.tasteatlas.com/Desserts,Manjū,,,4.0,,,,"Manjū is a steamed Japanese confectionery product shaped into various forms and incorporating different ingredients and flavors. Usually, there are two main parts of manju, the outer shell, created out of kneaded wheat or rice flour, and the cream...",,https://www.tasteatlas.com/manju-china/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/paocai,https://cdn.tasteatlas.com//Images/Dishes/02fedfcb808643d5a6b6995bec8bd328.jpg?mw=660,11,Pickling,https://www.tasteatlas.com/Picklings,Pào cài,https://www.tasteatlas.com/sichuan,Sichuan,,,,,"Served as an appetizer, palate freshener, or a side dish, pào cài is a Sichuan-style pickle made with various vegetables, mostly Chinese cabbage, carrots, mustard stems, long beans, daikon radish, turnips, cucumbers, ginger, and hot ...",,https://www.tasteatlas.com/paocai/wheretoeat,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/long-beans,https://cdn.tasteatlas.com/images/dishes/2eacc293bd844f32be0e58da4617a3f2.png?h=120&w=120,https://www.tasteatlas.com/daikon-radish,https://cdn.tasteatlas.com/images/dishes/f479498dbb304d8d85d743c4f7ed3cc6.png?h=120&w=120,https://www.tasteatlas.com/Turnips,https://cdn.tasteatlas.com/images/ingredientgroups/e063a9431e8f4714b9ef42b808482935.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,n/a
https://www.tasteatlas.com/kung-pao-chicken,https://cdn.tasteatlas.com//Images/Dishes/91e1f0236e414f9dbaefe548f5384a20.jpg?mw=660,12,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Kung Pao Chicken,https://www.tasteatlas.com/sichuan,Sichuan,4.3,Best in   (Chengdu),Chen Mapo Tofu,https://www.tasteatlas.com/ChenMapoTofu,"A staple of westernized Chinese cuisine and one of the favorite dishes of foreigners in China, kung pao chicken is a spicy stir-fry dish made with diced chicken, vegetables, peanuts, and Sichuan peppercorns. It was invented in the Sichuan Province...",,https://www.tasteatlas.com/kung-pao-chicken/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/sichuan-pepper,https://cdn.tasteatlas.com/images/dishes/8df558d4156a4148a0e8d7015e02fd41.png?h=120&w=120,https://www.tasteatlas.com/Peanuts,https://cdn.tasteatlas.com/images/ingredientgroups/2880e31ec7bc4b538f2d2884786b69c3.png?h=120&w=120,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/chicken-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/26ef22f9ecfa4b85961173e2165f1ab8.png?h=120&w=120,https://www.tasteatlas.com/soy-sauce,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,
https://www.tasteatlas.com/hot-pot,https://cdn.tasteatlas.com//Images/Dishes/6680af3463bb4eeebfe37fa96a0feef4.jpg?mw=660,13,Technique,https://www.tasteatlas.com/Techniques,Hot Pot,,,4.5,Best in   (Chengdu),Chengdu Huangcheng Laoma,https://www.tasteatlas.com/ChengduHuangchengLaoma,"Hot pot is a traditional Chinese technique of preparing soup-like or stew-like dishes made with a variety of East Asian ingredients. The dish is prepared by simmering a pot of soup stock at the table, then placing the ingredients into the pot. Typ...",,https://www.tasteatlas.com/hot-pot/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/sweet-and-sour-sauce,https://cdn.tasteatlas.com//Images/Dishes/246acd31811840e380f00221fe7d6569.jpg?mw=660,14,Sauce,https://www.tasteatlas.com/Sauces,Sweet and Sour Sauce,https://www.tasteatlas.com/hunan,Hunan,4.5,,,,"Sweet and sour sauce is usually associated with the authentic Chinese combination of rice vinegar and sugar. The probable origin of this sweet and sour mixture is the Chinese province of Hunan, where it was originally used as a condiment or a sauc...",,https://www.tasteatlas.com/sweet-and-sour-sauce/wheretoeat,https://www.tasteatlas.com/rice-vinegar,https://cdn.tasteatlas.com/images/dishes/51e1fbbcc27f43d79c0358b91eef1496.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,,,,,,,,,
https://www.tasteatlas.com/century-egg,https://cdn.tasteatlas.com//Images/Dishes/559347f0b0ed43349099de96d5184b7e.jpg?mw=660,15,Appetizer,https://www.tasteatlas.com/Appetizers,Century Egg,https://www.tasteatlas.com/hunan,Hunan,3.9,Best in   (Hong Kong),Yung Kee,https://www.tasteatlas.com/YungKee,"Century egg is a Chinese delicacy made by preserving duck, quail, or chicken eggs in a saline solution that consists of salt, clay, and sometimes ash, quicklime, or rice hulls. The solution causes the yolk to develop a creamy texture, and it chang...",,https://www.tasteatlas.com/century-egg/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/youtiao,https://cdn.tasteatlas.com//Images/Dishes/5e7b95fc504b4db6ab1176e9890cf8de.jpg?mw=660,16,Breakfast,https://www.tasteatlas.com/Breakfast,Youtiao,https://www.tasteatlas.com/beijing,Beijing,4.3,Best in   (Hong Kong),Hung Lee,https://www.tasteatlas.com/hung-lee,"Youtiao is one of the most popular breakfast foods in China, consisting of Chinese breadsticks that are fried in pairs and connected in the middle. The result is a puffy snack that is crispy on the exterior and tender on the interior. Youtiao date...",,https://www.tasteatlas.com/youtiao/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/baking-soda,https://cdn.tasteatlas.com/images/ingredientgroups/eed7d6a3369340d6a1c6218e16f6cbe4.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,
https://www.tasteatlas.com/zhajiangmian,https://cdn.tasteatlas.com//Images/Dishes/ae09eae7d55745b19059dbe883da3829.jpg?mw=660,17,Noodle Dish,https://www.tasteatlas.com/Noodles,Zhajiangmian,https://www.tasteatlas.com/beijing,Beijing,4.4,Best in   (Dongcheng District),Old Beijing Zha Jiang Noodle King,https://www.tasteatlas.com/OldBeijingZhaJiangNoodleKing,Zhajiangmian is a Beijing specialty consisting of wheat noodles in soybean sauce and vegetables such as summer radish and sliced cucumbers. The sauce is usually made by cooking ground pork or beef in combination with fermented soybean paste. There...,,https://www.tasteatlas.com/zhajiangmian/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/chen-mapo-doufu,https://cdn.tasteatlas.com//Images/Dishes/8738dc28f1824697b53a1852456ccff5.jpg?mw=660,18,Stew,https://www.tasteatlas.com/Stews,Mapo doufu,https://www.tasteatlas.com/sichuan,Sichuan,4.2,Best in   (Chengdu),Chen Mapo Tofu,https://www.tasteatlas.com/ChenMapoTofu,"Sichuan in origin, mapo doufu consists of tofu cubes settled in a spicy sauce containing minced meat, traditionally beef or pork, and fermented black beans known as . The dish is said to have been invented in a small restaurant call...",douchi,https://www.tasteatlas.com/chen-mapo-doufu/wheretoeat,https://www.tasteatlas.com/tofu,https://cdn.tasteatlas.com/images/dishes/9a7358d6b7dc42cb8156a394d174dc44.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/sichuan-pepper,https://cdn.tasteatlas.com/images/dishes/8df558d4156a4148a0e8d7015e02fd41.png?h=120&w=120,https://www.tasteatlas.com/doubanjiang,https://cdn.tasteatlas.com/images/dishes/43a454cee46b429ab56ae6d211b0a2f8.png?h=120&w=120,https://www.tasteatlas.com/soy-sauce,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,https://www.tasteatlas.com/rice-wine,https://cdn.tasteatlas.com/images/dishes/7197a895bdd8441b85f96d2f775caea5.png?h=120&w=120,
https://www.tasteatlas.com/peking-duck,https://cdn.tasteatlas.com//images/dishes/d8c9977734d040b3bed4e29caff5b2b2.jpg?mw=660,19,Duck Dish,https://www.tasteatlas.com/duck-dishes,Peking Duck,https://www.tasteatlas.com/beijing,Beijing,4.2,Best in   (Dongcheng District),Beijing Da Dong,https://www.tasteatlas.com/BeijingDaDong,"The history of Peking duck goes back to China's Yuan Dynasty of the 13th century. , Beijing's oldest restaurant specializing in Peking duck has been in business since the Jiajing reign of the 16th century, serving as a testament...",Bianyifang,https://www.tasteatlas.com/peking-duck/wheretoeat,https://www.tasteatlas.com/Duck,https://cdn.tasteatlas.com/images/ingredientgroups/0a14c8f14ae348468a1f8f23c4738bef.png?h=120&w=120,https://www.tasteatlas.com/hoisin-sauce,https://cdn.tasteatlas.com/images/dishes/9ec8b4038c2c4104a9e55f2729c1ef4b.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Honey,https://cdn.tasteatlas.com/images/ingredientgroups/a5a217a77bba4b058da954c06e385041.png?h=120&w=120,https://www.tasteatlas.com/rice-vinegar,https://cdn.tasteatlas.com/images/dishes/51e1fbbcc27f43d79c0358b91eef1496.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,
https://www.tasteatlas.com/shumai,https://cdn.tasteatlas.com//Images/Dishes/9a1dd20923f6437aa939f9aa9a2ea8a0.jpg?mw=660,20,Dumplings,https://www.tasteatlas.com/Dumplings,Shumai,https://www.tasteatlas.com/guangdong,Guangdong,4.2,Best in   (Hong Kong),One Dim Sum,https://www.tasteatlas.com/OneDimSum,", literally translated as , is a staple of  cuisine consisting of an open-topped dumpling filled with steamed ground pork, and sometimes finely chopped shrimp or Chinese black mushrooms. When...",Shumai,https://www.tasteatlas.com/shumai/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,
https://www.tasteatlas.com/jianbing,https://cdn.tasteatlas.com//images/dishes/f39430e2250744f1a13669aa4afd094f.jpg?mw=660,21,Pancake,https://www.tasteatlas.com/pancakes,Jianbing,https://www.tasteatlas.com/tianjin,Tianjin,4.2,,,,"A favorite breakfast item in China sold by numerous street food vendors early in the morning, jianbing or  is a thin and savory crêpe-like pancake that is made by spreading batter over a hot, cast-iron slab with a woode...",fried pancake,https://www.tasteatlas.com/jianbing/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/shanghai-hairy-crab,https://cdn.tasteatlas.com//Images/Dishes/de827a7d5f0a4a46a4e7a162de35e118.jpg?mw=660,22,Crab Dish,https://www.tasteatlas.com/crab-dishes,Chinese Mitten Crab,https://www.tasteatlas.com/shanghai,Shanghai,,Best in   (Shanghai),Crystal Jade,https://www.tasteatlas.com/CrystalJade,"Easily identifiable by the patches of scruffy dark hair on its claws, the succulent, moist, and meaty Shanghai hairy crab is a delicacy that is large as an adult person's palm. Its flesh is firm, yet tender and delicate, so it is always steamed wh...",,https://www.tasteatlas.com/shanghai-hairy-crab/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/orange-chicken,https://cdn.tasteatlas.com//Images/Dishes/4cc2758bb1354d4e8b1e018105767fed.jpg?mw=660,23,Fried Chicken Dish,https://www.tasteatlas.com/fried-chicken-dishes,Orange Chicken,https://www.tasteatlas.com/hunan,Hunan,3.9,Best in   (Hong Kong),Little Bao,https://www.tasteatlas.com/LittleBao,"Originally a Chinese dish from the region of Hunan, orange chicken quickly became Americanized and served in numerous North American fast-food restaurants. It is a dish consisting of battered chicken that is fried with sweet and sour orange and ch...",,https://www.tasteatlas.com/orange-chicken/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/corn-starch,https://cdn.tasteatlas.com/images/ingredientgroups/dfa4af586b3845a8b4e676e648dbf1eb.png?h=120&w=120,https://www.tasteatlas.com/Oranges,https://cdn.tasteatlas.com/images/ingredientgroups/97233a9e84cb4d268005d5954060664b.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/rice-vinegar,https://cdn.tasteatlas.com/images/dishes/51e1fbbcc27f43d79c0358b91eef1496.png?h=120&w=120,
https://www.tasteatlas.com/egg-tart,https://cdn.tasteatlas.com//Images/Dishes/7215c17478d54e7f9d4f77102cd1a51c.jpg?mw=660,24,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Egg Tart,https://www.tasteatlas.com/guangdong,Guangdong,4.1,Best in   (Hong Kong),Tai Cheong Bakery,https://www.tasteatlas.com/tai-cheong-bakery,"One of the most famous Chinese desserts is the classic egg tart, a delicious pastry consisting of a flaky outer shell with a creamy, but firm egg custard in the center. The origin of this traditional Chinese dessert is vague. It is believed that i...",,https://www.tasteatlas.com/egg-tart/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,
