search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na,item-location href,item-location
https://www.tasteatlas.com/casados,https://cdn.tasteatlas.com//images/dishes/84af7f3910f94f1aa98ef20efa984579.jpg?mw=660,1,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Casados,4.5,"Casados, also known as  (lit. typical dish), is the most popular dish in Costa Rica. Whichever traditional restaurant (called ) you visit, it will most likely be on their menu. Casado consists of white rice, bea...",comida tipica,https://www.tasteatlas.com/casados/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/gallo-pinto,https://cdn.tasteatlas.com//Images/Dishes/139333a2eb264050a43f4a5e44cc0c8e.jpg?mw=660,2,Side Dish,https://www.tasteatlas.com/Sides,Gallo pinto,4.5,"Gallo pinto, sometimes referred to only as , is the traditional national dish of Costa Rica. Although many variations of the dish exist, at its most basic it is a blend of cooked and fried rice and beans, combined with herbs and vege...",pinto,https://www.tasteatlas.com/gallo-pinto/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/black-beans,https://cdn.tasteatlas.com/images/ingredientgroups/23e2317d37d54983bf78237cb224ee70.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,,,
https://www.tasteatlas.com/olla-de-carne,https://cdn.tasteatlas.com//Images/Dishes/a5d4b41162a9436e9ca82dbc160c63af.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Olla de carne,,"Olla de carne is a rich and hearty Costa Rican stew made from beef cuts such as flank and short ribs, becoming especially tender when simmered in a broth together with cassava, carrots, potatoes, corn, plantains, and taro roots. This stew is tradi...",,https://www.tasteatlas.com/olla-de-carne/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,https://www.tasteatlas.com/Plantains,https://cdn.tasteatlas.com/images/ingredientgroups/5bddeceb27324bafa35ead9958fce998.png?h=120&w=120,n/a,,
https://www.tasteatlas.com/chorreadas,https://cdn.tasteatlas.com//Images/Dishes/e58d0330f78540799ee6f5960549f21c.jpg?mw=660,4,Pancake,https://www.tasteatlas.com/pancakes,Chorreadas,,"Chorreadas are Costa Rican corn pancakes that can be classified into three main categories: plain, sweet, and cheese chorreadas. The pancakes consist only of corn, and they are traditionally consumed for breakfast, although some like to eat them a...",,https://www.tasteatlas.com/chorreadas/wheretoeat,,,,,,,,,,,,,n/a,,
https://www.tasteatlas.com/picadillo-de-papa,https://cdn.tasteatlas.com//Images/Dishes/f8562b9b7d234a57aea92cadf5ed3f1a.jpg?mw=660,5,Beef Dish,https://www.tasteatlas.com/beef-dishes,Picadillo de papa,,"Picadillo de papa is a savory Costa Rican dish consisting of picadillo potatoes, chopped bell peppers, onions, and ground beef. The dish is traditionally served with tortillas and rice, and it is customary to consume it by filling the tortillas wi...",,https://www.tasteatlas.com/picadillo-de-papa/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/sesame-oils,https://cdn.tasteatlas.com/images/ingredientgroups/de788b76d4ea4a90a26c86b261c2fd7c.png?h=120&w=120,n/a,,
https://www.tasteatlas.com/chilera,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,6,Pickling,https://www.tasteatlas.com/Picklings,Chilera,,"Chilera is perhaps the only thing that is appearing more frequently than the popular salsa Lizano on a Costa Rican table, a condiment made by pickling vegetables such as carrots, chili peppers, onions, cauliflower, and green beans in banana vinega...",,https://www.tasteatlas.com/chilera/wheretoeat,,,,,,,,,,,,,n/a,,
https://www.tasteatlas.com/sopa-negra,https://cdn.tasteatlas.com//images/dishes/2729923d0fde4dbe915adba627057054.jpg?mw=660,7,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Sopa negra,,"Sopa negra is a traditional Costa Rican soup with variations throughout Latin America. It's made with a combination of black beans, onions, bell peppers, hot peppers, cilantro, garlic, and chicken broth. The soup is cooked until the beans become t...",,https://www.tasteatlas.com/sopa-negra/wheretoeat,,,,,,,,,,,,,n/a,,
https://www.tasteatlas.com/chifrijo,https://cdn.tasteatlas.com//images/dishes/14a26dd50f804be2b9d6e109728518b3.jpg?mw=660,8,Appetizer,https://www.tasteatlas.com/Appetizers,Chifrijo,,"Chifrijo is a unique Costa Rican dish made by layering the following components in a bowl: white rice, beans cooked in spices,  pork pieces, pico de gallo, and tortilla chips, which can also be served on the side. The nam...",chicharrón,https://www.tasteatlas.com/chifrijo/wheretoeat,,,,,,,,,,,,,n/a,https://www.tasteatlas.com/san-jose-costa-rica,San José
https://www.tasteatlas.com/rosquillas-costa-rica,https://cdn.tasteatlas.com//images/dishes/4bbb29f3ccb04b8a991107d57b458e46.jpg?mw=660,9,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Rosquillas,3.8,"Rosquillas are traditional Spanish deep-fried donuts, characterized by their fluffy texture and a hole in the middle. They are typically prepared during the Holy Week festivities. Although there are many varieties of rosquillas, the classic ones a...",,https://www.tasteatlas.com/rosquillas-costa-rica/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/cajeta-de-coco,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Dessert,https://www.tasteatlas.com/Desserts,Cajeta de coco,,"Cajeta de coco is a traditional Costa Rican dessert consisting of condensed milk, grated coconut, butter, sugar, and wafer crumbs. All of the ingredients are cooked together and then formed into small balls and rolled in either coconut or crumbs. ...",,https://www.tasteatlas.com/cajeta-de-coco/wheretoeat,,,,,,,,,,,,,n/a,https://www.tasteatlas.com/guanacaste-province,Guanacaste Province
https://www.tasteatlas.com/pargo-relleno,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,11,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Pargo relleno,,"Pargo relleno is a traditional fish dish that's popular in Cuba and Costa Rica. It consists of a stuffed red snapper. The fish is seasoned with salt, pepper, lemon juice, and garlic. It's covered with onions and rings of green pepper, and then it'...",,https://www.tasteatlas.com/pargo-relleno/wheretoeat,,,,,,,,,,,,,n/a,https://www.tasteatlas.com/puntarenas-province,Puntarenas Province
