search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location src,item-location,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/strukli,https://cdn.tasteatlas.com//images/dishes/5ba5ea4678cf4940a0f19356a560becf.jpg?mw=660,1,Pasta,https://www.tasteatlas.com/pasta,Štrukli,https://www.tasteatlas.com/krapina-zagorje-county,https://cdn.tasteatlas.com/images/emblems/9f1f437fff374baf96203c4a88ae789b.png,Krapina-Zagorje County,4.3,Best in   (Zagreb),Le Bistro Esplanade,https://www.tasteatlas.com/LeBistroEsplanade,"Štrukli is a rather simple 'pulled pasta' dish, which, depending on the type of filling, can be either savory or sweet. Once the dough has been pulled, filled, and rolled, it is cut into smaller pieces which can then be baked or cooked. The...",https://www.tasteatlas.com/strukli/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/sour-cream,https://cdn.tasteatlas.com/images/ingredientgroups/929559246bc24b9597fcefe8eef305f7.png?h=120&w=120,,
https://www.tasteatlas.com/brudet,https://cdn.tasteatlas.com//images/dishes/80be02b5400848c5ba190ed280283da0.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Brudet,https://www.tasteatlas.com/dalmatia,https://cdn.tasteatlas.com/images/emblems/05479e1caa2240c0be46d4690196465f.png,Dalmatia,3.9,Best in   (Vis),Konoba Senko,https://www.tasteatlas.com/konoba-senko,"Brudet is one of the true classics of traditional Croatian cuisine. Prepared with a variety of seafood, this rustic stew is consumed along the entire Croatian coast. It is nearly impossible to find a unique brudet recipe, since every region, town,...",https://www.tasteatlas.com/brudet/wheretoeat,https://www.tasteatlas.com/Clams,https://cdn.tasteatlas.com/images/ingredientgroups/bbb8d8d5cd2f4034814913837a014a44.png?h=120&w=120,https://www.tasteatlas.com/mussels,https://cdn.tasteatlas.com/images/ingredientgroups/a050287a4d1149f5898090f628c216e8.png?h=120&w=120,https://www.tasteatlas.com/scallops,https://cdn.tasteatlas.com/images/ingredientgroups/397b2832e0c7437082719b0d5a1607a9.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,
https://www.tasteatlas.com/peka,https://cdn.tasteatlas.com//images/dishes/b8d7bdd99abe48beb62cb1e2c57dad3a.jpg?mw=660,3,Technique,https://www.tasteatlas.com/Techniques,Peka,https://www.tasteatlas.com/dalmatia,https://cdn.tasteatlas.com/images/emblems/05479e1caa2240c0be46d4690196465f.png,Dalmatia,4.6,Best in   (Vis),Roki's,https://www.tasteatlas.com/rokis,"Peka or  is an ancient technique of preparing various dishes inside the eponymous bell-shaped cooking vessel. The technique is mostly used in the preparation of meat, vegetables, or seafood that are seasoned and cooked together with ol...",https://www.tasteatlas.com/peka/wheretoeat,,,,,,,,,,,,,sać,
https://www.tasteatlas.com/madjarica,https://cdn.tasteatlas.com//images/dishes/b8b74be2d6e44998977c7c19312dd211.jpg?mw=660,4,Chocolate Cake,https://www.tasteatlas.com/chocolate-cakes,Mađarica,,,,4.2,,,,"Mađarica, meaning , is a traditional Croatian layered cake that is usually associated with festive occasions. The layers are coated in a velvety, chocolate-infused cream, and the whole cake is finished with a dark chocolate ...",https://www.tasteatlas.com/madjarica/wheretoeat,,,,,,,,,,,,,Hungarian girl,
https://www.tasteatlas.com/fritule,https://cdn.tasteatlas.com//images/dishes/23ee053fc47a49a0b9f26c4715358038.jpg?mw=660,5,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Fritule,https://www.tasteatlas.com/dalmatia,https://cdn.tasteatlas.com/images/emblems/05479e1caa2240c0be46d4690196465f.png,Dalmatia,4.2,Best in   (Zagreb),Konoba Dida,https://www.tasteatlas.com/KonobaDida,"are traditional Croatian version of sweet, round fritters. They are prepared with a basic yeasted dough which incorporates eggs, flour, milk, butter, and sugar. Different varieties often employ raisins, grated apples, yogurt, and ...",https://www.tasteatlas.com/fritule/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,Fritule,
https://www.tasteatlas.com/dalmatinska-pasticada,https://cdn.tasteatlas.com//Images/Dishes/9a45c206d14a43548d604bc05953bc08.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Dalmatinska pašticada,https://www.tasteatlas.com/split-dalmatia-county,https://cdn.tasteatlas.com/Images/Emblems/92e3f8cf0cbf4971a8d1f94212913f39.png,Split-Dalmatia County,4.6,Best in   (Split),Konoba Hvaranin,https://www.tasteatlas.com/konoba-hvaranin,"Dalmatinska pašticada is a traditional Dalmatian dish consisting of beef that is marinated in vinegar and spices for up to a couple of days, after which it’s stewed in red wine or  with bacon, tomatoes, a few dri...",https://www.tasteatlas.com/dalmatinska-pasticada/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/prosek,https://cdn.tasteatlas.com/images/dishes/ac98b6f731974165a42fd2ad45d84065.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Prunes,https://cdn.tasteatlas.com/images/ingredientgroups/75fe720786dd42e0896eef781fd7e6b2.png?h=120&w=120,prošek,
https://www.tasteatlas.com/kotlovina,https://cdn.tasteatlas.com//Images/Dishes/01a5ceeeb6844a0b884265425bc3e0b4.jpg?mw=660,7,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Kotlovina,https://www.tasteatlas.com/northern-croatia,,Northern Croatia,4.4,Best in   (Graberje Ivanićko),Seoski turizam Kezele,https://www.tasteatlas.com/seoski-turizam-kezele,"Kotlovina is a traditional Croatian dish made by cooking various types of meat, sausages, and vegetables in a large, shallow plate that is placed over an open fire. The dish is typically prepared outdoors, often in gardens or courtyards. There are...",https://www.tasteatlas.com/kotlovina/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/cobanac,https://cdn.tasteatlas.com//images/dishes/2bf95d26b7204db28570d41cf2a4b7b1.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Čobanac,https://www.tasteatlas.com/slavonia-and-baranja,https://cdn.tasteatlas.com/images/emblems/5a44733560674043be59d4b60c97d5f8.png,Slavonia and Baranja,4.4,Best in   (Osijek),Kod Ruže,https://www.tasteatlas.com/KodRuze,"Čobanac is a traditional meat stew originating from Slavonia and Baranja, located in the eastern part of Croatia. The dish is traditionally prepared by slowly cooking all of the ingredients for several hours in a large copper pot that is strung ov...",https://www.tasteatlas.com/cobanac/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/janjetina-s-raznja,https://cdn.tasteatlas.com//images/dishes/3cb65d28253f4b7ca6de612bcf91ad9e.jpg?mw=660,9,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Janjetina s ražnja,https://www.tasteatlas.com/dalmatia,https://cdn.tasteatlas.com/images/emblems/05479e1caa2240c0be46d4690196465f.png,Dalmatia,4.2,Best in   (Klis),Restoran Perlica,https://www.tasteatlas.com/RestoranPerlica,"Janjetina s ražnja is a popular Dalmatian dish made by roasting a whole lamb on a spit. It is roasted over an open fire until the skin becomes crispy and golden-brown in color. Before roasting, the lamb can be marinated in oil with fresh herbs, bu...",https://www.tasteatlas.com/janjetina-s-raznja/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/crni-rizot,https://cdn.tasteatlas.com//images/dishes/ccd1cbc574e641cc8ab6f900910f6491.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Crni rižot,https://www.tasteatlas.com/dalmatia,https://cdn.tasteatlas.com/images/emblems/05479e1caa2240c0be46d4690196465f.png,Dalmatia,4.4,Best in   (Mali Ston),Kapetanova Kuća,https://www.tasteatlas.com/KapetanovaKuca,"Typically served as a light lunch and a staple of many Dalmatian taverns (called ) and restaurants, crni rižot is a unique black risotto made with fresh squid or cuttlefish. Squid or cuttlefish ink gives the risotto its intimidating...",https://www.tasteatlas.com/crni-rizot/wheretoeat,,,,,,,,,,,,,konoba,
