search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/picadillo,https://cdn.tasteatlas.com//Images/Dishes/f9c517e5c54d4c96b21d100a9bd581f7.jpg?mw=660,1,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Picadillo,n/a,Best in   (Havana),Dona Eutimia,https://www.tasteatlas.com/DonaEutimia,"Picadillo is a spicy dish consisting of ground meat, tomatoes, and onions in its basic version. It is popular throughout Latin America, Spain, and the Philippines, where it is known as . The dish is usually served with a side of r...",giniling,https://www.tasteatlas.com/picadillo/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120
https://www.tasteatlas.com/ropa-vieja,https://cdn.tasteatlas.com//Images/Dishes/8d55a8dc11fe4061ae44bed6795eb1dd.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Ropa vieja,,Best in   (Havana),Dona Eutimia,https://www.tasteatlas.com/DonaEutimia,"Ropa vieja is the national dish of Cuba, a hearty stew made with shredded beef, tomato sauce, onions, and peppers. The stew is traditionally served with yellow rice and a glass of cold beer on the side. Like many Cuban dishes, this one also origin...",,https://www.tasteatlas.com/ropa-vieja/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,,
https://www.tasteatlas.com/arroz-con-huevo-cuba,https://cdn.tasteatlas.com//Images/Dishes/4fdc9470333b41b191824534237c1af6.jpg?mw=660,3,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz con huevo,,,,,"Arroz con huevo is a popular lazy lunch throughout Latin America, consisting of rice that’s topped with a fried egg. This humble dish used to be called (poor people food), but today it is enjoyed by people of all soc...",comida de pobre,https://www.tasteatlas.com/arroz-con-huevo-cuba/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,,,,,,,,
https://www.tasteatlas.com/medianoche,https://cdn.tasteatlas.com//Images/Dishes/dc2d169b63884b80a314a941e95747ff.jpg?mw=660,4,Sandwich,https://www.tasteatlas.com/sandwiches,Medianoche,,Best in   (Havana),Art Pub,https://www.tasteatlas.com/art-pub,"Medianoche is a tasty Cuban sandwich filled with roasted pork, ham, Swiss cheese, and pickles. The bread is made with a sweet and soft egg dough which is very similar to the Jewish . The name of the sandwich means ...",challah,https://www.tasteatlas.com/medianoche/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/boiled-hams,https://cdn.tasteatlas.com/images/ingredientgroups/fb34b118929b46ddae86e0f84ab6d1d9.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/pickled-vegetables,https://cdn.tasteatlas.com/images/ingredientgroups/bd15e7b0df76474bbc010821fa77412b.png?h=120&w=120,,,,
https://www.tasteatlas.com/platillo-moros-y-cristiano,https://cdn.tasteatlas.com//images/dishes/efefb414156f4121a87beee3dce39c11.jpg?mw=660,5,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Platillo moros y cristiano,,Best in   (Havana),El Gringo Viejo,https://www.tasteatlas.com/el-gringo-viejo,"Platillo Moros y Cristiano, roughly translated as  - a poetic name referring to history, is the national dish of Cuba, a hearty combination of fluffy white rice and seasoned black beans, cooked together in the sam...",Moors and Christians dish,https://www.tasteatlas.com/platillo-moros-y-cristiano/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/boliche,https://cdn.tasteatlas.com//Images/Dishes/81fd3768548c4ac5a093642ceed53b35.jpg?mw=660,6,Beef Dish,https://www.tasteatlas.com/beef-dishes,Boliche,n/a,Best in   (Camagüey),La Campana de Toledo,https://www.tasteatlas.com/la-campana-de-toledo,"Boliche is a popular Cuban main course dish consisting of roasted beef that is stuffed with chorizo and (sometimes) olives. The meat is traditionally simmered in a sauce with onions, water, and potatoes. Most often, the dish is served with fried p...",,https://www.tasteatlas.com/boliche/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/chorizo,https://cdn.tasteatlas.com/images/dishes/ddcb3e5f086b45568444ae268a16697c.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,,
https://www.tasteatlas.com/frita,https://cdn.tasteatlas.com//images/dishes/93b085a03ca64ca1b2f5a72f2682273a.jpg?mw=660,7,Burger,https://www.tasteatlas.com/burgers,Frita,n/a,,,,"Frita Cubana (or simply ) is a burger variety with Cuban origins. It was invented in Havana in the 1930s, 1940s, and 1950s (there's still no consensus). Originally, these burgers were sold by  from their stands, call...",frita,https://www.tasteatlas.com/frita/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/burger-buns,https://cdn.tasteatlas.com/images/ingredientgroups/ebaad11172ee4fae9c47fae670443b11.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/ketchup,https://cdn.tasteatlas.com/images/dishes/64adc6ca5bbd48e283fb1a4515c749f0.png?h=120&w=120
https://www.tasteatlas.com/cucurucho,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Dessert,https://www.tasteatlas.com/Desserts,Cucurucho,n/a,Best in   (Havana),Topoly,https://www.tasteatlas.com/topoly,"A specialty of the Cuban city of Baracoa, cucurucho is a sweet treat consisting of sugar, coconut, honey, pineapple, or nuts wrapped in a palm leaf that is shaped into a cone. The name of the dish means  or , referring ...",cone,https://www.tasteatlas.com/cucurucho/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/arroz-con-maiz,https://cdn.tasteatlas.com//images/dishes/977beb96e81a470dafd6f7eccc0a1f7a.jpg?mw=660,9,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz con maiz,n/a,,,,"Arroz con maiz is a flavorful rice dish popular throughout Latin America. At its most basic, the dish consists of rice cooked together with corn, usually in the same cooking vessel. However, there are a few variations on the dish, especially in Cu...",,https://www.tasteatlas.com/arroz-con-maiz/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/vaca-frita,https://cdn.tasteatlas.com//images/dishes/87944a50374048acaf956f14ca53cccb.jpg?mw=660,10,Beef Dish,https://www.tasteatlas.com/beef-dishes,Vaca frita,n/a,Best in   (Havana),NaO Bar Paladar,https://www.tasteatlas.com/nao-bar-paladar,"Vaca frita is a Cuban dish made by frying shredded skirt or flank steak. When translated, the name of the dish means , referring to the preparation process. The meat is sometimes topped with sautéed onions, and it is tradi...",fried cow,https://www.tasteatlas.com/vaca-frita/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120
