search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/knedliky,https://cdn.tasteatlas.com//Images/Dishes/beb7e6fabbca4a018553a352003e249e.jpg?mw=660,1,Dumplings,https://www.tasteatlas.com/Dumplings,Knedlíky,4.0,Best in   (Prague),Café Savoy,https://www.tasteatlas.com/cafe-savoy,"Czech knedlíky are traditional savory and sweet dumplings created with various ingredients. The main savory varieties include  made with soaked bread,  made with mashed potatoes,","houskový,",https://www.tasteatlas.com/knedliky/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120
https://www.tasteatlas.com/gulas,https://cdn.tasteatlas.com//Images/Dishes/ac9575707133493f984feb3f97619e48.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Guláš,4.3,Best in   (Prague),Mlejnice,https://www.tasteatlas.com/Mlejnice,"Traditional guláš is a hearty meat stew served with a dark red sauce that is heavily seasoned with paprika. Through history, this dish with Hungarian origins has become one of the most common meals in the Czech Republic and Slovakia....",,https://www.tasteatlas.com/gulas/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/marjoram,https://cdn.tasteatlas.com/images/ingredientgroups/12b31184394747588ce88ac03cfa4f1d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120
https://www.tasteatlas.com/bublanina,https://cdn.tasteatlas.com//Images/Dishes/28f6aa5fb4f14b65adf6b2fc172df188.jpg?mw=660,3,Cake,https://www.tasteatlas.com/cakes,Bublanina,4.1,,,,"Bublanina is a light sponge cake prepared with eggs, butter, sugar, flour, and a variety of different fruits such as cherries, strawberries, blueberries, apricots, and fragrant plums and pears. The sponge is occasionally lightly flavored with vani...",,https://www.tasteatlas.com/bublanina/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/Apricots,https://cdn.tasteatlas.com/images/ingredientgroups/0a0cb8afaa784da8896f7d5404da7ef1.png?h=120&w=120,https://www.tasteatlas.com/Cherries,https://cdn.tasteatlas.com/images/ingredientgroups/0411ae75867b42a0b65c39cc5a44e7ee.png?h=120&w=120
https://www.tasteatlas.com/kolach,https://cdn.tasteatlas.com//Images/Dishes/318a93f09682496793856dfa06198829.jpg?mw=660,4,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Koláče,4.3,Best in   (Prague),Perníčkův Sen,https://www.tasteatlas.com/PernickuvSen,"Koláče or  (plural: ) is a sweet pastry roll that is traditionally topped with plums or plum jam, cheese, or poppy seeds. Modern toppings might include fruit such as apricots, blueberries, cherries, lemon, p...",kolache,https://www.tasteatlas.com/kolach/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/poppy-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/97155d8b74314c729dd497a01bcad98b.png?h=120&w=120
https://www.tasteatlas.com/svickova,https://cdn.tasteatlas.com//images/dishes/816ef03512524348a002bdbcb449f7ef.jpg?mw=660,5,Beef Dish,https://www.tasteatlas.com/beef-dishes,Svíčková,4.3,Best in   (Prague),Café Imperial,https://www.tasteatlas.com/CafeImperial,"This delicious beef dish is one of the best-known creations of Czech cuisine. It is made with marinated braised beef, usually tenderloin, served in a creamy vegetable sauce made with carrots, celeriac, and parsley root. The dish is usually spiced ...",,https://www.tasteatlas.com/svickova/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/ovocne-knedliky,https://cdn.tasteatlas.com//Images/Dishes/0fc754462dde4b058002324656d6518c.jpg?mw=660,6,Dumplings,https://www.tasteatlas.com/Dumplings,Ovocné knedlíky,4.2,Best in   (Prague),Café Savoy,https://www.tasteatlas.com/cafe-savoy,"These sweet, fruit-filled Czech dumplings appear in numerous varieties throughout the country. They are made with either leavened or potato dough, or the combination of wheat flour and fresh quark cheese. The fillings, which are completely enclose...",,https://www.tasteatlas.com/ovocne-knedliky/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/quarks,https://cdn.tasteatlas.com/images/ingredientgroups/adddf40ecafb49cfbea0cb18d74ac987.png?h=120&w=120,https://www.tasteatlas.com/Apricots,https://cdn.tasteatlas.com/images/ingredientgroups/0a0cb8afaa784da8896f7d5404da7ef1.png?h=120&w=120
https://www.tasteatlas.com/rizek,https://cdn.tasteatlas.com//Images/Dishes/8f1f4441e3e74fa88b100632bbb50739.jpg?mw=660,7,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Řízek,4.4,Best in   (Prague),Lokál Dlouhááá,https://www.tasteatlas.com/AmbienteLokal,"Řízek is the Czech version of the famous Austrian , consisting of thin, tenderized pieces of meat that are coated in a combination of breadcrumbs, flour, and eggs. The meat is then gently fried in oil or butter. The...",Wiener schnitzel,https://www.tasteatlas.com/rizek/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/sekana,https://cdn.tasteatlas.com//images/dishes/7ad3d3ffba094b209f22e566ab1504ea.jpg?mw=660,8,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Sekaná,4.0,Best in   (Prague),Naše Maso,https://www.tasteatlas.com/nase-maso,"Although it appears in numerous varieties throughout the country, this traditional Czech meatloaf is usually prepared with a combination of ground beef and pork, eggs, soaked bread, and a variety of spices such as marjoram and cumin. Shaped into l...",,https://www.tasteatlas.com/sekana/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/houska,https://cdn.tasteatlas.com//Images/Dishes/d11d187528ea4ac1833d0eb9d6c0a73f.jpg?mw=660,9,Bread,https://www.tasteatlas.com/Breads,Houska,4.2,,,,"Houska is a popular Czech bread roll, simple and small in size. It is made with plain wheat flour, water, yeast, salt, and, occasionally, eggs. Before baking, it is usually braided and shaped into a plump circular form resembling a knot. The top i...",,https://www.tasteatlas.com/houska/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/misa,https://cdn.tasteatlas.com//Images/Dishes/16708686fb304d72b0eaee292fe81cc0.jpg?mw=660,10,Ice Cream,https://www.tasteatlas.com/ice-creams,Miša,4.3,,,,"Miša is a Czech popsicle treat made from a combination of cream and quark cheese that is covered in a layer of dark chocolate, then frozen. Today, miša is produced in other varieties with strawberry or apricot flavorings. This ice cr...",,https://www.tasteatlas.com/misa/wheretoeat,,,,,,,,,,,,
