search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/smorrebrod,https://cdn.tasteatlas.com//Images/Dishes/38f732904c25404e969194da16fe3aed.jpg?mw=660,1,Sandwich type,https://www.tasteatlas.com/sandwich-types,Smørrebrød,4.1,Best in   (Copenhagen),Slotskælderen,https://www.tasteatlas.com/slotskaelderen,"Smørrebrød is a traditional Danish open-faced sandwich consisting of buttered rye bread that is topped with numerous ingredients and typically accompanied by vegetables, herbs, and salads. Toppings include ingredients such as cold cu...",READ MORE,https://www.tasteatlas.com/smorrebrod/wheretoeat,https://www.tasteatlas.com/herrings,https://cdn.tasteatlas.com/images/ingredientgroups/80ae21710b104835bc0b61adebf572e0.png?h=120&w=120,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/pickled-cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/56d0a8dfb98446e3a2ab9baeaf87e5e8.png?h=120&w=120,https://www.tasteatlas.com/dill,https://cdn.tasteatlas.com/images/ingredientgroups/8384c9ba7c584ab2901cac3361e56fea.png?h=120&w=120,,
https://www.tasteatlas.com/danish-pastry,https://cdn.tasteatlas.com//Images/Dishes/51a44b52b30c4d8eb0306fb944e261d1.jpg?mw=660,2,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Danish Pastry,4.3,Best in   (Copenhagen),Conditori La Glace,https://www.tasteatlas.com/ConditoriLaGlace,"The epitome of a cozy Sunday breakfast in Denmark is a crispy sweet treat known as Danish pastry. It is made with laminated dough, where the dough is repeatedly covered with butter and folded over itself. The result is a creation that is quite sim...",READ MORE,https://www.tasteatlas.com/danish-pastry/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,,
https://www.tasteatlas.com/frikadeller,https://cdn.tasteatlas.com//Images/Dishes/1221a2d90d004c21bc37d6c0573829cf.jpg?mw=660,3,Meatballs,https://www.tasteatlas.com/meatballs,Frikadeller,4.1,Best in   (Copenhagen),Restaurant Klubben,https://www.tasteatlas.com/RestaurantKlubben,"Frikadeller are popular Danish meatballs that are usually made with ground pork, with the occasional addition of ground veal. These small meatballs have been prepared and consumed in Denmark for more than 200 years. They are enjoyed all year round...",READ MORE,https://www.tasteatlas.com/frikadeller/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,
https://www.tasteatlas.com/smakager,https://cdn.tasteatlas.com//Images/Dishes/2b562ba1927543b19db32ff52564db51.jpg?mw=660,4,Cookie,https://www.tasteatlas.com/Cookies,Småkager,3.8,Best in   (Copenhagen),Conditori La Glace,https://www.tasteatlas.com/ConditoriLaGlace,"Various types of Danish cookies are all united under the name småkager This broad group incorporates traditional and modern varieties which differ in ingredients, shape, and consistency. Today, they are usually prepared with wheat ...",READ MORE,https://www.tasteatlas.com/smakager/wheretoeat,,,,,,,,,,,,,.,
https://www.tasteatlas.com/stegt-flsk,https://cdn.tasteatlas.com//Images/Dishes/23be659637384b36a383bcb72d1370fe.jpg?mw=660,5,Pork Dish,https://www.tasteatlas.com/pork-dishes,Stegt flæsk,4.2,Best in   (Copenhagen),Restaurant Klubben,https://www.tasteatlas.com/RestaurantKlubben,"is a quintessential Danish dish which consists of fried, grilled, or oven-roasted pork belly. Thick and crispy pork belly slices are traditionally served alongside boiled potatoes and a flavorful parsley sauce. The dish ...",READ MORE,https://www.tasteatlas.com/stegt-flsk/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,Stegt flæsk,
https://www.tasteatlas.com/polser,https://cdn.tasteatlas.com//Images/Dishes/f3d6a801f5274d489c7712ef78bf2743.jpg?mw=660,6,Hot Dog,https://www.tasteatlas.com/hot-dogs,Pølser,3.8,Best in   (Copenhagen),John's Hotdog Deli,https://www.tasteatlas.com/johns-hotdog-deli,"This famous snack is often referred to as the rød pølser, and it is the most common fast food eaten in Denmark. In fact, nothing is considered to be more Danish than eating freshly prepared pølser followed by a refreshing bott...",READ MORE,https://www.tasteatlas.com/polser/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/lagkage,https://cdn.tasteatlas.com//Images/Dishes/cd276b9fad0541c4bf1cd11c30fd5044.jpg?mw=660,7,Cake,https://www.tasteatlas.com/cakes,Lagkage,4.2,,,,"Danish lagkage is a type of round layered cake that is usually served on special occasions. It consists of at least three layers of sponge intertwined with pastry creams, fresh fruit, or fruit preserves. The sponges can be made with various cake b...",READ MORE,https://www.tasteatlas.com/lagkage/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/risengrd,https://cdn.tasteatlas.com//images/dishes/21f31723b1fe492191f9baf75df278c7.jpg?mw=660,8,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Risengrød,3.3,,,,"Danish is a luscious and sweet rice pudding, an ancient dessert considered a luxurious and rare treat that is reserved for Christmas. It consists of short-grained rice cooked in a mixture of milk and water, with the addit...",READ MORE,https://www.tasteatlas.com/risengrd/wheretoeat,,,,,,,,,,,,,risengrød,
https://www.tasteatlas.com/flskesteg,https://cdn.tasteatlas.com//Images/Dishes/db2890c6d5a5422d9c832e8e0b0e68e5.jpg?mw=660,9,Pork Dish,https://www.tasteatlas.com/pork-dishes,Flæskesteg,4.1,,,,Flæskesteg is a traditional Danish pork roast characterized by a crispy rind. It is usually accompanied by classic Danish sides such as braised red cabbage and caramelized or boiled potatoes. The dish is traditionally associated with Christm...,READ MORE,https://www.tasteatlas.com/flskesteg/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,
https://www.tasteatlas.com/stjerneskud,https://cdn.tasteatlas.com//Images/Dishes/8578738bee3e4da1abcf8fa6d2ad996d.jpg?mw=660,10,Sandwich,https://www.tasteatlas.com/sandwiches,Stjerneskud,4.0,Best in   (Copenhagen),Frk. Barners Kælder,https://www.tasteatlas.com/FrkBarnersKlder,"Translated as , Danish stjerneskud is one of the most famous  varieties. This open-faced sandwich consists of various seafood ingredients such as fried fish fillets, shrimps, caviar, and s...",READ MORE,https://www.tasteatlas.com/stjerneskud/wheretoeat,,,,,,,,,,,,,the shooting star,
