search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/pica-pollo,https://cdn.tasteatlas.com//Images/Dishes/21d9dfe874f6419590b174219ff049fc.jpg?mw=660,1,Fried Chicken Dish,https://www.tasteatlas.com/fried-chicken-dishes,Pica pollo,4.1,Best in   (Santo Domingo),Pica Pollo JOA,https://www.tasteatlas.com/pica-pollo-joa,Pica pollo refers to Dominican-style fried chicken that is often eaten with a side dish of fried plantains and paired with a refreshing beverage on the side — usually beer or Coke. The freshness of the chicken comes from lemon juice in which...,https://www.tasteatlas.com/pica-pollo/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/Cornmeal,https://cdn.tasteatlas.com/images/ingredientgroups/6797b68e16ed459c9ad8ee5fc1441414.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/carne-guisada,https://cdn.tasteatlas.com//images/dishes/8d94472e14da4e0c90eba9ad78ecdb37.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Carne guisada,4.3,,,,"Carne guisada is a simple, traditional beef stew flavored with cumin, jalapeños, and chili powder. It is popular throughout Latin America, especially in Puerto Rico and the Dominican Republic. The dish is usually simmered over low heat for ...",https://www.tasteatlas.com/carne-guisada/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/jalapenos,https://cdn.tasteatlas.com/images/dishes/807ac1398f3a4a7f8ac2694bf07aee37.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,,,,
https://www.tasteatlas.com/mangu,https://cdn.tasteatlas.com//Images/Dishes/d027bfab58994f93a9048fd51662d58d.jpg?mw=660,3,Breakfast,https://www.tasteatlas.com/Breakfast,Mangú,4.4,Best in   (Bonao),Tipico Bonao Norte,https://www.tasteatlas.com/tipico-bonao,"Mangú is a popular side dish from the Dominican Republic, and it is also one of the best-known representatives of Dominican cuisine. The meal consists of five elements: boiled and mashed green plantains, eggs, fried cheese, fried Dominican ...",https://www.tasteatlas.com/mangu/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/chivo-guisado,https://cdn.tasteatlas.com//images/dishes/f58d0a468cf94b0c9a70945bb6592046.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Chivo guisado,4.1,Best in   (Bonao),Tipico Bonao Norte,https://www.tasteatlas.com/tipico-bonao,"Chivo guisado is a Dominican goat stew. It is usually prepared with pieces of goat meat, onions, bitter oranges, garlic, and tomatoes, while the secrets to this delicacy are wild oregano and Scotch bonnet peppers. Local goats feed on wild oregano,...",https://www.tasteatlas.com/chivo-guisado/wheretoeat,https://www.tasteatlas.com/Goat,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,https://www.tasteatlas.com/Oranges,https://cdn.tasteatlas.com/images/ingredientgroups/97233a9e84cb4d268005d5954060664b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/oregano,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,,
https://www.tasteatlas.com/la-bandera-dominicana,https://cdn.tasteatlas.com//images/dishes/27305d70e04f4d3a8fcdca962badd80d.jpg?mw=660,5,Meat Dish,https://www.tasteatlas.com/Meat-dishes,La bandera Dominicana,4.3,Best in   (Santo Domingo),El Conuco Restaurante,https://www.tasteatlas.com/el-conuco-restaurante,"Dominican food is a unique mixture of African, Spanish, and Taino Indian influences, without spiciness but with a lot of herbs and sauces. La bandera Dominicana (literally translated as ) is one such dish and a staple of...",https://www.tasteatlas.com/la-bandera-dominicana/wheretoeat,,,,,,,,,,,,,the Dominican Flag,
https://www.tasteatlas.com/yaroa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,6,Casserole,https://www.tasteatlas.com/casserole,Yaroa,,,,,"Yaroa is a traditional dish originating from Santiago in the Dominican Republic. This casserole is prepared in many versions throughout the country, but it's most often made with mashed sweet plantains, beef, pork, chicken, cheese, fries, and cond...",https://www.tasteatlas.com/yaroa/wheretoeat,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/ninos-envueltos,https://cdn.tasteatlas.com//images/dishes/f02664362f864db9a79606dd0db99a48.jpg?mw=660,7,Beef Dish,https://www.tasteatlas.com/beef-dishes,Niños envueltos,,,,,"Niños envueltos (lit. wrapped children) is a traditional Dominican dish consisting of rice and ground beef that are wrapped in cabbage and cooked in tomato sauce. Apart from the main ingredients, the dish also often contains garlic, basil, ...",https://www.tasteatlas.com/ninos-envueltos/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/basil,https://cdn.tasteatlas.com/images/ingredientgroups/71d3ba7ab4d243b6bd51683ad625a2c6.png?h=120&w=120,,n/a
https://www.tasteatlas.com/chimichurri-burger,https://cdn.tasteatlas.com//images/dishes/3a5c4644db8a408aa56d65d66bb5ea8d.jpg?mw=660,8,Burger,https://www.tasteatlas.com/burgers,Chimichurri Burger,,Best in   (Santo Domingo),Chimi Cafetería El Caco,https://www.tasteatlas.com/chimi-cafeteria-el-caco,"Chimichurris is a Dominican hamburger characterized by the addition of numerous spices to the meat patty, such as oregano, garlic, parsley, and red pepper flakes. It is usually not prepared at home, but bought from street food vendors. Like most b...",https://www.tasteatlas.com/chimichurri-burger/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/burger-buns,https://cdn.tasteatlas.com/images/ingredientgroups/ebaad11172ee4fae9c47fae670443b11.png?h=120&w=120,https://www.tasteatlas.com/oregano,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/red-chili-flakes,https://cdn.tasteatlas.com/images/ingredientgroups/0ea6693aa6ea4ac88e0277319fdec69e.png?h=120&w=120,,n/a
https://www.tasteatlas.com/chapea,https://cdn.tasteatlas.com//images/dishes/5923293669544543b2b791896fcf13c1.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Chapea,,,,,"Chapea is a hearty Dominican stew made with beans, rice, and vegetables such as plantains, auyama squash, onions, green peppers, carrots, and garlic. The stew is usually flavored with coriander and sour orange juice or lime juice. When served, it ...",https://www.tasteatlas.com/chapea/wheretoeat,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/suspiritos,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,10,Dessert,https://www.tasteatlas.com/Desserts,Suspiritos,,,,,"Suspiritos is one of the simplest Dominican desserts made with a combination of egg whites, lime juice, and powdered sugar. The name of this dessert can be translated as . When prepared, suspiritos are consumed immediately,...",https://www.tasteatlas.com/suspiritos/wheretoeat,,,,,,,,,,,,,meringue kisses,n/a
https://www.tasteatlas.com/bacalao-guisado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,11,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Bacalao guisado,,,,,"Bacalao guisado is a traditional fish stew originating from the Dominican Republic. Although there are a few versions, including the one with potatoes (bacalao guisado con papa), this version is usually made with a combination of salted cod, garli...",https://www.tasteatlas.com/bacalao-guisado/wheretoeat,https://www.tasteatlas.com/cods,https://cdn.tasteatlas.com/images/ingredientgroups/50d034c867d14f909a90fd06b36740f4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/tomato-pastes,https://cdn.tasteatlas.com/images/ingredientgroups/4284624f3cde451e9683452b5ccf0f21.png?h=120&w=120,,n/a
https://www.tasteatlas.com/moro-de-habichuelas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,12,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Moro de habichuelas,,,,,"Moro de habichuelas is a traditional way of preparing rice and beans in the Dominican Republic, and it's also one of the most commonly prepared dishes in the country. Although any kind of beans can be used in the dish, it's most often made with re...",https://www.tasteatlas.com/moro-de-habichuelas/wheretoeat,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,n/a
https://www.tasteatlas.com/yaniqueque,https://cdn.tasteatlas.com//images/dishes/26846db0c9184ac8b01ae77d40cba2c8.jpg?mw=660,13,Flatbread,https://www.tasteatlas.com/Flatbreads,Yaniqueque,,,,,"Yaniqueque or  is a Dominican fried bread with a crispy and crunchy texture. It is made with flour, salt, melted butter, and baking powder. The dough is rolled into thin circles with crimped edges, and it is then fried in hot oil ...",https://www.tasteatlas.com/yaniqueque/wheretoeat,https://www.tasteatlas.com/Flour,,https://www.tasteatlas.com/Butter,,https://www.tasteatlas.com/baking-powder,,https://www.tasteatlas.com/Salt,,https://www.tasteatlas.com/ketchup,,https://www.tasteatlas.com/cinnamon,,yanikeke,n/a
